,Model,ara-Arab,deu-Latn,eng-Latn,hin-Deva,spa-Latn,vie-Latn,zho-Hans
25,multilingual-e5-large-instruct,75.9575,78.52025,74.788875,77.28202777777777,79.32375,77.1505,77.033
26,voyage-3,74.09949999999999,77.60000000000001,77.334125,76.7796388888889,77.4495,76.01325,75.226
27,BidirLM-Omni-2.5B-Embedding,73.47,76.57724999999999,79.808375,76.40505555555556,76.8585,74.46775,76.812
28,Solon-embeddings-large-0.1,72.94475,77.7235,75.43575,75.56602777777778,77.3655,74.92925,74.9065
29,bge-m3,71.8475,77.822,73.286625,75.46855555555555,77.74325,75.50574999999999,75.5635
30,bilingual-embedding-large,73.57525,75.52775,75.82275,75.26541666666667,77.27625,74.89874999999999,75.02825
31,jina-embeddings-v3,72.90225,78.24849999999999,74.43475000000001,75.29275,76.83324999999999,74.40299999999999,74.54175000000001
32,BidirLM-1B-Embedding,72.3665,76.32525,77.382125,74.9966388888889,74.76724999999999,73.519,74.317
33,F2LLM-v2-0.6B,72.6035,76.21475,76.21962500000001,74.75908333333334,75.04975,72.61425,75.5295
34,jina-embeddings-v4,71.13175000000001,75.76350000000001,77.346375,74.18166666666667,75.59325,72.64725,73.91375
35,voyage-3.5,69.4735,76.0425,75.966,74.40372222222223,75.744,72.8915,72.03375000000001
36,snowflake-arctic-embed-l-v2.0,69.33,75.66475,74.849625,74.69922222222222,76.42925,73.72775,72.60575
37,harrier-oss-v1-0.6b,70.85950000000001,75.35674999999999,73.236375,74.13711111111111,74.91325,73.31375,75.504
38,BidirLM-1.7B-Embedding,71.185,73.72,77.16062500000001,73.83675000000001,72.64550000000001,71.52275,74.426
39,text-multilingual-embedding-002,70.60775,74.06825,75.468375,73.49191666666667,74.1675,71.5595,71.68275
40,gte-multilingual-base,68.772,75.34425,72.5275,71.89765517241379,74.65849999999999,73.005,73.737
41,Qwen3-Embedding-0.6B,67.28425,73.68325,74.1185,72.01336111111112,74.36175,70.30625,72.31450000000001
42,bilingual-embedding-base,68.7955,74.40249999999999,70.57187499999999,72.04169444444443,74.62225000000001,71.438,70.784
43,F2LLM-v2-330M,68.1535,73.40050000000001,72.80575,71.95922222222222,73.06475,69.47675,71.98875
44,GritLM-8x7B,66.75125,72.09575000000001,74.6915,70.08041666666666,72.18,66.682,69.03275
45,multilingual-e5-base,67.93475,72.73275,68.48925,71.42608333333334,74.245,70.07275,68.8855
46,bge-m3-custom-fr,65.96925,73.68275,69.171875,70.3421388888889,71.7725,69.12025,69.08024999999999
47,harrier-oss-v1-270m,65.86975,70.4555,69.39687500000001,69.71377777777778,72.75025,68.1045,69.80525
48,GritLM-7B,62.475,71.177,75.285125,69.26530555555556,71.481,64.44975,67.39725
49,gte-Qwen2-1.5B-instruct,64.76675,71.7535,70.75425,69.09686111111112,71.095,66.8315,69.05950000000001
50,text-embedding-3-large,65.27525,71.25075,73.85962500000001,68.20869444444443,69.84825000000001,67.77075,66.19850000000001
51,KaLM-embedding-multilingual-mini-v1,63.803999999999995,73.32724999999999,71.119,69.0858611111111,71.354,65.8275,69.4525
52,Cohere-embed-multilingual-light-v3.0,64.7025,71.31875,68.98525,69.62777777777778,72.65225,65.741,65.41825
53,inf-retriever-v1-1.5b,63.8075,70.9395,69.773375,69.17075,70.00625000000001,67.58325,67.5465
54,bilingual-embedding-small,63.92249999999999,70.607,68.47300000000001,68.3013888888889,71.64200000000001,65.60875,65.89425
55,Linq-Embed-Mistral,61.54925,69.47175,72.42337500000001,67.67108333333334,69.00874999999999,63.471,66.1215
56,multilingual-e5-small,63.943250000000006,68.6615,67.698375,68.25294285714286,72.33575,64.93675,64.1645
57,F2LLM-v2-160M,61.97174999999999,67.6545,67.960375,66.8116388888889,67.76950000000001,64.16975000000001,67.40575
58,NV-Embed-v1,57.03549999999999,70.51575,72.43525,65.60230555555555,67.93475,62.60775000000001,63.89925000000001
59,SFR-Embedding-Mistral,61.371750000000006,67.556,71.30262499999999,66.81366666666668,66.26825000000001,62.420500000000004,65.61375000000001
60,gte-Qwen1.5-7B-instruct,60.2375,68.937,66.20575,64.13369444444444,67.78775,63.007250000000006,65.48875
61,NV-Embed-v2,57.344249999999995,68.61125,73.116,66.14794444444443,68.0215,60.91599999999999,60.304
62,voyage-3-lite,61.8895,68.03675,65.568125,66.20488888888889,67.453,63.22,63.125750000000004
63,e5-mistral-7b-instruct,58.607,64.61925,68.7315,64.631,62.854,61.03925,63.16425
64,F2LLM-v2-80M,56.99575,64.40050000000001,64.29825,62.77725000000001,63.8915,60.05875,62.81625
65,SFR-Embedding-2_R,57.1685,64.07975,67.694875,63.31561111111112,63.428,58.044,61.16775
66,paraphrase-multilingual-mpnet-base-v2,59.24850000000001,65.351,57.247625,59.0776111111111,63.429249999999996,60.4015,61.88100000000001
67,jasper_en_vision_language_v1,48.6565,65.28,67.41125,59.588166666666666,64.36474999999999,57.601749999999996,63.342
68,granite-embedding-278m-multilingual,54.19575,67.9235,63.513125,62.33241666666667,66.31575000000001,57.379250000000006,60.32275
69,snowflake-arctic-embed-m-v2.0,53.363749999999996,68.81775,64.178,63.08580555555555,66.9965,52.786,57.913500000000006
70,BidirLM-0.6B-Embedding,56.279999999999994,62.056,62.446875,61.05708333333334,60.282250000000005,56.8835,61.693999999999996
71,Arabic-all-nli-triplet-Matryoshka,57.8365,63.205,56.18625,58.8715,62.548249999999996,58.808499999999995,61.140249999999995
72,Arabic-labse-Matryoshka,57.37225,62.17475,57.204,58.70505555555555,63.63099999999999,57.953500000000005,59.78525
73,granite-embedding-107m-multilingual,51.771,64.86175,59.062375,58.430388888888885,63.7525,50.379,57.12975
74,BidirLM-270M-Embedding,49.713249999999995,59.48949999999999,61.700874999999996,58.18052777777778,58.01825,54.833,57.95475
75,stella_en_1.5B_v5,44.729,60.446749999999994,64.30475,55.21502777777778,59.778,52.059,59.633500000000005
76,paraphrase-multilingual-MiniLM-L12-v2,54.638000000000005,59.351,52.424749999999996,54.96108333333333,59.6495,55.4565,59.2165
77,arabic-english-sts-matryoshka,54.70125,57.1875,53.212625,53.003083333333336,56.661249999999995,53.46300000000001,55.989
78,LaBSE,54.437749999999994,55.49275,51.47024999999999,53.535361111111115,57.207750000000004,52.95225,57.70375
79,Arabic-MiniLM-L12-v2-all-nli-triplet,51.079750000000004,55.937000000000005,49.5585,52.65780555555556,57.7995,52.56375,55.72525
80,STS-multilingual-mpnet-base-v2,50.197,54.08075,47.92225,50.085166666666666,54.04625000000001,49.59475,52.685
81,KaLM-embedding-multilingual-mini-instruct-v1,35.7165,52.96475,56.569250000000004,46.433722222222215,47.156000000000006,35.742,42.72425
82,potion-multilingual-128M,37.41875,42.69425,37.557249999999996,40.71252777777777,41.7615,35.055,40.0725
83,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,25.874999999999996,35.02525,43.458625,36.342305555555555,32.85375,30.72475,37.063
84,text-embedding-3-small,27.44875,36.47625,38.814,34.163970588235294,34.93725,28.883,30.655250000000002
85,embedder-100p,11.036750000000001,49.762499999999996,43.276375,28.02497222222222,34.952,30.903000000000002,17.61975
86,static-similarity-mrl-multilingual-v1,25.532500000000002,34.3435,36.232749999999996,31.837333333333333,31.892750000000003,27.682499999999997,32.18
87,text2vec-base-multilingual,32.323249999999994,29.154000000000003,26.10325,27.03138888888889,31.466499999999996,28.195000000000004,23.349999999999998
88,sgpt-bloom-7b1-msmarco,18.95125,22.546499999999998,31.16475,24.423694444444443,26.76525,24.515500000000003,17.74725
89,udever-bloom-1b1,21.55775,12.80625,28.81975,26.843333333333337,28.359250000000003,27.7655,19.973249999999997
90,speed-embedding-7b-instruct,12.59775,18.897,23.559874999999998,26.79208571428572,16.362750000000002,19.692999999999998,20.04225
91,Cohere-embed-english-v3.0,8.8835,16.39025,23.03,13.821638888888888,15.079499999999998,10.8005,9.016
92,stella_en_400M_v5,6.31125,18.45425,23.488375,12.557388888888891,15.368500000000001,10.7165,8.90275
93,e5-base-v2,6.697749999999999,14.63275,20.816875,11.10875,12.1145,9.26875,9.389
94,e5-large-v2,6.86075,14.588000000000001,21.907125,11.179749999999999,13.850999999999999,9.4715,8.363
95,sentence_croissant_alpha_v0.4,7.569000000000001,14.012250000000002,18.984375,10.711166666666665,13.825,8.99075,10.27325
96,nomic-embed-text-v1-unsupervised,7.04675,10.175999999999998,19.079625,9.501777777777779,10.389000000000001,7.23525,9.18775
97,sentence_croissant_alpha_v0.3,5.80825,12.4115,18.9385,9.296194444444444,11.964,7.9502500000000005,9.11875
98,sentence_croissant_alpha_v0.2,7.119250000000001,11.9825,17.4925,9.539083333333334,11.3695,6.752,8.8935
99,mmlw-e5-large,6.15025,12.146749999999999,19.2225,8.389722222222222,11.12075,7.1347499999999995,7.306
100,e5-large,5.8825,10.7305,18.56325,7.735249999999999,9.49675,7.767250000000001,8.11225
101,Cohere-embed-english-light-v3.0,5.2585,10.191500000000001,18.805374999999998,8.373305555555556,9.6705,7.785500000000001,7.89625
102,snowflake-arctic-embed-l,5.856,10.56225,18.971,6.8533333333333335,9.03275,7.53,7.338749999999999
103,udever-bloom-3b,15.062249999999999,7.065499999999999,8.156,15.401085714285715,10.377,11.98625,11.225999999999999
104,GIST-large-Embedding-v0,6.062250000000001,8.845249999999998,18.43825,8.022444444444444,8.6715,7.44475,7.3542499999999995
105,USER-bge-m3,5.42725,12.157499999999999,10.899000000000001,8.503666666666666,12.4395,9.0645,8.32875
106,nomic-embed-text-v1-ablated,6.22775,9.831249999999999,16.99325,8.558583333333333,8.17925,6.357500000000001,7.982749999999999
107,bge-large-en-v1.5,5.9624999999999995,8.753,17.1875,7.099833333333333,8.473,7.26475,7.1685
108,snowflake-arctic-embed-m-v1.5,4.8735,9.64725,17.745375000000003,7.286194444444444,9.217500000000001,6.820749999999999,7.332999999999999
109,snowflake-arctic-embed-m,4.2535,9.41125,19.213375,6.868194444444445,9.855500000000001,6.88725,7.34275
110,baseline-bm25s,6.18525,9.6415,18.566374999999997,13.874666666666668,7.9885,7.703500000000001,2.94675
111,snowflake-arctic-embed-m-long,5.251250000000001,9.004249999999999,18.2195,6.7476111111111114,8.491750000000001,7.03975,6.65475
112,granite-embedding-125m-english,4.667250000000001,8.8035,19.272875,7.699111111111111,8.5405,6.81475,6.590999999999999
113,UAE-Large-V1,5.4385,8.16075,17.251499999999997,6.997666666666666,8.26975,6.94775,7.124749999999999
114,udever-bloom-7b1,7.829749999999999,6.57775,11.093,13.62982857142857,14.18525,11.375250000000001,5.0035
115,nomic-embed-text-v1,6.067,8.24225,15.899875,7.517194444444445,7.6617500000000005,6.492000000000001,7.747
116,gte-large,5.365,8.86975,18.033375000000003,6.414111111111111,8.145249999999999,6.79825,6.6135
117,e5-base-4k,4.91325,10.164000000000001,17.13925,7.045916666666667,9.025250000000002,6.1129999999999995,6.558750000000001
118,LaBSE-en-ru,5.533,8.35075,14.19475,6.066611111111111,8.3345,6.863999999999999,7.399
119,mxbai-embed-large-v1,5.119,7.84925,16.840125,6.665388888888889,8.033750000000001,6.999750000000001,6.9175
120,granite-embedding-30m-english,5.07925,8.020750000000001,17.614,6.602722222222222,7.928,6.781000000000001,6.944999999999999
121,e5-small-v2,3.965,8.305499999999999,17.826625,6.761944444444444,7.9555,6.705500000000001,6.54275
122,e5-base,4.30825,8.16125,17.23725,5.860305555555556,8.20925,6.1215,6.6495
123,bge-base-en-v1.5,4.83525,8.098999999999998,16.65725,6.699388888888888,7.338500000000001,5.956250000000001,6.76925
124,LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,4.859999999999999,6.79,12.159625,13.219805555555556,6.436999999999999,6.19025,7.353499999999999
125,e5-small,4.89225,7.1259999999999994,16.104,5.5841666666666665,7.8265,5.7540000000000004,7.451
126,GIST-Embedding-v0,4.50325,7.187,17.191875,6.64438888888889,7.117999999999999,6.4232499999999995,6.53425
127,gte-base,4.84375,6.92875,17.212125,5.917138888888889,7.2835,5.872999999999999,6.672000000000001
128,snowflake-arctic-embed-s,4.7517499999999995,7.522000000000001,16.877875,5.664916666666667,7.49925,5.9944999999999995,6.5345
129,stella-base-en-v2,4.4799999999999995,7.51975,16.637125,6.504333333333332,7.2325,6.50775,6.2955
130,mmlw-e5-small,5.3395,8.13425,15.022625000000001,5.898305555555556,7.68225,5.02025,5.42975
131,jina-embedding-b-en-v1,4.399,9.283,8.8055,6.304793103448275,8.06475,5.432,6.3585
132,LaBSE-ru-turbo,4.348,8.72825,15.430250000000001,5.588361111111111,7.359,6.09525,5.77975
133,mmlw-e5-base,3.589,8.1535,17.63575,5.926805555555555,7.2379999999999995,5.58125,4.338
134,NoInstruct-small-Embedding-v0,4.7517499999999995,7.2242500000000005,15.01375,5.424166666666666,6.739249999999999,5.95625,5.83175
135,nomic-embed-text-v1.5,4.8759999999999994,7.0665000000000004,13.593749999999998,6.205444444444445,6.1155,5.2635,6.133249999999999
136,Ivysaur,5.40325,5.969250000000001,13.510875,5.663166666666666,5.5440000000000005,5.534,6.55925
137,mmlw-roberta-large,4.9885,7.8015,15.613625,5.005833333333333,6.38575,4.52375,5.009
138,GIST-small-Embedding-v0,4.640750000000001,6.673,15.058625000000001,5.191416666666667,6.939999999999999,5.70075,5.6145
139,bge-small-en-v1.5,4.52525,7.033,14.915000000000001,5.225833333333333,6.0795,5.4835,5.881749999999999
140,all-mpnet-base-v2,3.272,7.734000000000001,16.220125,5.353285714285715,6.509000000000001,4.814749999999999,5.966
141,silma-embeddding-matryoshka-v0.1,7.077,5.6335,6.8565000000000005,4.850694444444445,5.632,4.97725,6.142250000000001
142,jina-embedding-s-en-v1,4.37175,7.756499999999999,7.155,5.534827586206896,6.569750000000001,5.099500000000001,5.939
143,snowflake-arctic-embed-xs,2.96775,6.25925,14.660375,5.059777777777778,7.2669999999999995,5.92075,6.055
144,all-MiniLM-L12-v2,3.8922499999999998,6.356249999999999,14.733374999999999,5.396914285714286,6.1465000000000005,5.86575,5.309
145,USER-base,4.7,6.092250000000001,5.4895,5.219433333333334,6.554500000000001,6.383750000000001,5.49275
146,Arabert-all-nli-triplet-Matryoshka,6.394,5.157,5.494625,4.5728333333333335,4.87875,4.8340000000000005,6.50025
147,gte-small,3.6865,6.70125,14.615999999999998,4.743694444444444,6.22275,5.42175,5.39425
148,MedEmbed-small-v0.1,3.86175,6.62275,14.048374999999998,4.944750000000001,5.435,4.914750000000001,5.62725
149,mmlw-roberta-base,3.60725,7.0095,14.826125000000001,4.488194444444445,5.45625,4.5115,4.9165
150,German_Semantic_STS_V2,3.7925,7.444000000000001,7.259875,4.030944444444445,5.16125,3.9044999999999996,3.95275
151,gemma-2b-embeddings,3.77975,5.3205,2.1062499999999997,6.809666666666667,3.42725,4.31975,4.5735
152,GIST-all-MiniLM-L6-v2,2.186,6.0925,12.959999999999999,4.245666666666667,5.55575,4.55225,4.41175
153,rubert-tiny-turbo,3.37,5.0465,7.565625000000001,3.7554166666666666,4.473,4.51075,4.196
154,ru-en-RoSBERTa,2.8872500000000003,4.638000000000001,12.935374999999999,3.304305555555556,4.273000000000001,4.3702499999999995,3.64625
155,udever-bloom-560m,6.88925,1.90275,1.52075,5.873583333333333,2.31325,2.59925,3.09725
156,cai-lunaris-text-embeddings,2.94525,4.666250000000001,10.42375,3.517777777777778,4.90375,3.167,3.7585
157,Bulbasaur,2.4480000000000004,3.322,9.97675,3.3070277777777783,3.4167499999999995,3.39275,4.74475
158,all-MiniLM-L6-v2,2.2327500000000002,4.191000000000001,12.558,3.2341388888888893,4.146000000000001,3.1155000000000004,2.3575
159,slx-v0.1,2.23275,4.191000000000001,12.558,3.2341388888888893,4.146000000000001,3.1155,2.3575
160,Marbert-all-nli-triplet-Matryoshka,4.302250000000001,3.00975,3.6138749999999997,2.8601111111111117,2.807,2.6062499999999997,4.626250000000001
161,Venusaur,2.0347500000000003,2.8825,6.89225,3.1550277777777773,3.3505,2.815,3.5795
162,rubert-base-cased-sentence,2.3,3.9060000000000006,3.202875,2.541055555555556,2.56475,3.0315000000000003,3.63025
163,rubert-tiny2,2.3747499999999997,2.817,3.85675,2.5153333333333334,2.7667499999999996,3.29825,3.5860000000000003
164,Arabic-mpnet-base-all-nli-triplet,2.3877500000000005,3.1759999999999997,2.3975,3.5270555555555556,2.43425,2.4025000000000003,2.646
165,Wartortle,1.9067500000000002,2.682,7.724375,3.05625,2.3467499999999997,2.53425,3.0102499999999996
166,M2V_base_glove,3.4839999999999995,3.051,5.880875,2.377527777777778,2.39875,2.4867500000000002,2.237
167,gte-micro-v4,1.8547500000000001,2.72825,10.36525,2.3655,2.137,2.5090000000000003,3.1544999999999996
168,Squirtle,1.92025,2.37975,6.055624999999999,2.9315277777777777,2.5065,1.9475,2.7722499999999997
169,M2V_base_glove_subword,1.67725,2.3865000000000003,3.873,2.983888888888889,2.48625,2.086,2.554
170,gte-micro,1.71175,2.5020000000000002,5.965249999999999,2.140388888888889,1.9737500000000001,1.9625,2.82625
171,sbert_large_mt_nlu_ru,2.0955000000000004,2.70275,2.360625,1.8964166666666666,2.221,2.2715,2.316
172,M2V_base_output,1.5575,2.4547499999999998,3.167125,2.8769444444444443,2.2009999999999996,2.003,2.63375
173,potion-base-8M,1.5514999999999999,2.2662500000000003,5.264625,2.8514722222222217,1.91575,1.865,2.5215
174,potion-base-4M,1.6004999999999998,2.006,4.251375,2.7423333333333333,2.094,1.9132500000000001,2.3162499999999997
175,rubert-tiny,2.0557499999999997,1.965,1.9224999999999999,1.6006944444444444,1.97075,2.044,2.211
176,Hinvec,,,49.17825,56.60016666666666,,,
177,potion-base-2M,1.6465,2.13075,3.1511250000000004,2.5666111111111114,1.8755000000000002,1.8110000000000002,2.1117500000000002
178,sbert_large_nlu_ru,1.934,2.191,1.7101250000000001,1.5719999999999998,1.8152500000000003,1.6147500000000001,2.1225
179,rubert-base-cased,1.6300000000000001,2.2384999999999997,0.9465000000000001,1.5722333333333331,2.20925,1.66925,2.037
180,distilrubert-small-cased-conversational,1.5897499999999998,1.56125,1.135,1.386388888888889,1.56625,1.83225,2.179
181,jina-embeddings-v2-base-en,1.7975,2.00175,0.8160000000000001,1.666277777777778,1.55825,1.70225,1.22675
182,SearchMap_Preview,,,28.92533333333333,12.992,,,
183,baseline-random-encoder,1.8835000000000002,1.6395,0.86075,1.165722222222222,1.3535,1.3475,1.47375
184,ternary-weight-embedding,1.41075,1.7017499999999999,0.9523750000000001,1.1866111111111113,1.55825,1.36075,1.6802500000000002
185,jina-embeddings-v2-small-en,1.019,1.6222500000000002,1.53575,1.2273333333333334,1.4580000000000002,1.2925,1.6555
186,deberta-v1-base,1.49025,1.429,0.9896250000000001,1.0833333333333335,1.403,1.29925,1.60375
187,Arabic-Triplet-Matryoshka-V2,5.437250000000001,,,5.437250000000001,,,
188,voyage-large-2-instruct,,,,66.884,,,
189,gemini-embedding-2-preview,,,,62.35000000000001,,,
190,MoD-Embedding,,,,60.488,,,
191,Cohere-embed-v4.0,,,,59.116,,,
192,Cohere-embed-v4.0 (output_dtype=int8),,,,58.940000000000005,,,
193,voyage-4-large (embed_dim=2048),,,,58.274,,,
194,Octen-Embedding-4B,,,,57.74700000000001,,,
195,Octen-Embedding-8B-INT8,,,,57.63399999999999,,,
196,Octen-Embedding-4B-INT8,,,,56.928,,,
197,voyage-4-large,,,,56.869,,,
198,PIXIE-Rune-v1.0,,,,56.186,,,
199,voyage-4,,,,54.906,,,
200,Cohere-embed-v4.0 (output_dtype=binary),,,,54.251000000000005,,,
201,voyage-4-lite,,,,53.378,,,
202,Octen-Embedding-0.6B,,,,51.014,,,
203,voyage-3.5 (output_dtype=int8),,,,49.216,,,
204,bge-m3-unsupervised,,,,45.792,,,
205,voyage-3.5 (output_dtype=binary),,,,41.095,,,
206,M2V_multilingual_output,,,,16.88,,,
207,granite-embedding-english-r2,,,,5.252,,,
208,static-retrieval-mrl-en-v1,,,,4.124,,,
209,bge-large-en,,,,2.833,,,
210,gte-base-en-v1.5,,,,2.154,,,
211,granite-embedding-small-english-r2,,,,1.764,,,
212,bge-base-en,,,,1.253,,,
213,bge-large-zh-v1.5,,,,0.28600000000000003,,,
214,multi-qa-MiniLM-L6-cos-v1,,,,0.27,,,
215,bge-base-zh-v1.5,,,,0.18,,,
216,text2vec-base-chinese,,,,0.18,,,
217,bge-small-zh-v1.5,,,,0.0,,,
