,Model,BelebeleRetrieval,MIRACLRetrievalHardNegatives,MLQARetrieval,WikipediaRetrievalMultilingual
85,multilingual-e5-small,62.097625,55.944,67.58588461538461,
86,Cohere-embed-english-v3.0,29.33375,10.758,12.867153846153847,32.597
87,embedder-100p,30.96875,5.513,30.545653846153847,13.602
88,LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,23.190625,14.771,8.366769230769231,51.707
89,e5-large-v2,28.056625,2.384,11.004269230769232,21.160999999999998
90,e5-base-v2,26.322625,1.881,10.890538461538462,22.762
91,nomic-embed-text-v1-unsupervised,25.186500000000002,1.8880000000000001,9.2675,24.569
92,text2vec-base-multilingual,19.312124999999998,12.06,28.559076923076926,25.796999999999997
93,stella_en_400M_v5,28.779875,1.22,12.4235,20.674
94,sentence_croissant_alpha_v0.4,22.567,3.459,10.881961538461539,18.245
95,nomic-embed-text-v1-ablated,23.36325,2.968,8.093576923076922,22.34
96,sentence_croissant_alpha_v0.3,23.442625,2.8770000000000002,9.422423076923076,14.923
97,Cohere-embed-english-light-v3.0,24.710124999999998,2.856,8.514346153846155,12.668
98,granite-embedding-125m-english,24.628375,2.496,7.588923076923076,17.135
99,GIST-large-Embedding-v0,23.653000000000002,2.215,8.038192307692308,18.61
100,sentence_croissant_alpha_v0.2,21.194000000000003,2.23,9.352076923076922,17.737
101,speed-embedding-7b-instruct,38.051875,,20.17,72.066
102,snowflake-arctic-embed-m-v1.5,23.087000000000003,1.685,7.712653846153847,8.49
103,e5-large,24.38625,0.4,8.352038461538463,11.132
104,GIST-Embedding-v0,22.873125,1.309,6.66573076923077,12.762
105,UAE-Large-V1,22.51175,1.4869999999999999,7.429115384615384,9.232999999999999
106,nomic-embed-text-v1,21.13975,1.02,7.536384615384615,16.996
107,bge-base-en-v1.5,22.5895,1.048,6.845230769230769,12.272
108,stella-base-en-v2,21.3855,1.094,6.670115384615384,12.311
109,bge-large-en-v1.5,22.490000000000002,1.093,7.6593846153846155,7.187
110,snowflake-arctic-embed-m,24.512125,0.424,7.657423076923077,5.078
111,mmlw-e5-large,21.59,0.326,9.1585,8.355
112,mxbai-embed-large-v1,21.79075,0.899,7.163653846153846,8.118
113,e5-base-4k,21.167375,0.415,7.483884615384616,9.377
114,granite-embedding-30m-english,20.906000000000002,0.874,7.139807692307692,9.464
115,multilingual-e5-large,72.773875,,77.24526923076922,
116,snowflake-arctic-embed-m-long,23.767,0.246,7.300076923076923,7.779999999999999
117,e5-small-v2,24.027375,0.11900000000000001,6.862307692307692,10.928
118,snowflake-arctic-embed-l,24.479,0.28600000000000003,7.908038461538462,3.6929999999999996
119,gemma-2b-embeddings,5.934749999999999,7.175,4.904384615384616,20.931
120,nomic-embed-text-v1.5,18.969625,0.781,6.139192307692308,12.407
121,udever-bloom-560m,5.016,7.882,3.828653846153846,24.138
122,gte-large,23.1235,0.319,7.257807692307693,4.373
123,gte-multilingual-base,,52.461,72.78361538461537,
124,gte-base,22.55875,0.373,6.435923076923077,5.928
125,e5-base,22.33175,0.609,6.592499999999999,3.9669999999999996
126,Ivysaur,17.927,0.319,5.924884615384615,9.9
127,udever-bloom-3b,12.89075,,12.157153846153847,46.736
128,udever-bloom-7b1,15.8275,,10.327653846153845,40.952
129,Arabic-mpnet-base-all-nli-triplet,4.999125,1.883,2.7327307692307694,12.848
130,e5-small,21.6445,0.28600000000000003,6.396461538461538,3.286
131,GIST-small-Embedding-v0,19.4415,0.309,5.947115384615385,4.721
132,snowflake-arctic-embed-s,22.579125,0.18,6.362153846153847,3.322
133,NoInstruct-small-Embedding-v0,19.73975,0.27,6.115384615384616,5.276
134,M2V_base_glove_subword,7.197125,2.016,2.4200769230769232,8.375
135,Wartortle,13.541125000000001,1.0370000000000001,2.631923076923077,8.988
136,Squirtle,11.3065,1.2229999999999999,2.4659999999999997,8.449
137,mmlw-e5-base,18.655749999999998,0.18,6.332615384615384,5.138
138,potion-base-8M,8.62625,1.786,2.2595,8.068999999999999
139,M2V_base_output,6.30925,1.817,2.3405769230769233,7.701
140,snowflake-arctic-embed-xs,19.0595,0.28600000000000003,5.7013461538461545,3.6290000000000004
141,MedEmbed-small-v0.1,19.148875,0.155,5.372923076923077,6.460000000000001
142,bge-small-en-v1.5,19.754125000000002,0.107,5.859884615384615,4.813
143,potion-base-4M,7.457374999999999,1.709,2.1903846153846156,7.409000000000001
144,text-embedding-3-small,46.720625,,32.222846153846156,
145,LaBSE-ru-turbo,18.536250000000003,0.18,6.403192307692309,2.5989999999999998
146,Bulbasaur,14.961750000000002,0.319,3.4526153846153846,5.521
147,gte-small,19.753,0.079,5.460192307692308,4.213
148,Venusaur,11.89,0.3,2.995692307692308,6.618
149,potion-base-2M,5.878875,1.6340000000000001,2.076346153846154,6.271
150,gte-micro-v4,14.955124999999999,0.41000000000000003,2.468807692307692,4.654
151,mmlw-roberta-large,18.224125,0.123,5.913730769230769,2.78
152,SearchMap_Preview,37.506499999999996,,11.763,
153,mmlw-e5-small,17.43925,0.0,6.473538461538461,3.599
154,LaBSE-en-ru,16.46025,0.0,6.972615384615385,3.034
155,GIST-all-MiniLM-L6-v2,17.188625,0.0,4.593384615384615,5.6610000000000005
156,mmlw-roberta-base,16.146874999999998,0.18,5.3256538461538465,2.488
157,all-mpnet-base-v2,20.25825,0.53,5.761153846153847,
158,USER-bge-m3,,0.28600000000000003,9.32,3.45
159,all-MiniLM-L6-v2,16.71325,0.0,3.4028076923076926,5.775
160,slx-v0.1,16.71325,0.0,3.4028076923076926,5.775
161,all-MiniLM-L12-v2,19.57075,0.338,5.625807692307692,
162,ru-en-RoSBERTa,15.8195,0.18,3.846653846153846,0.814
163,German_Semantic_STS_V2,8.724,0.14300000000000002,4.574269230769231,1.8769999999999998
164,gemini-embedding-2-preview,,62.35000000000001,,
165,gte-micro,9.564875,0.034,2.136615384615385,4.127
166,jina-embeddings-v2-base-en,0.8521250000000001,0.0,1.4169615384615384,17.531
167,silma-embeddding-matryoshka-v0.1,8.288374999999998,0.0,5.476923076923076,2.332
168,MoD-Embedding,,60.488,,
169,cai-lunaris-text-embeddings,11.809750000000001,0.0,3.992653846153846,2.081
170,rubert-tiny-turbo,9.212875,0.0,4.195423076923078,2.229
171,Arabert-all-nli-triplet-Matryoshka,5.783875,0.0,5.2232692307692306,2.693
172,Cohere-embed-v4.0,,59.116,,
173,Cohere-embed-v4.0 (output_dtype=int8),,58.940000000000005,,
174,voyage-4-large (embed_dim=2048),,58.274,,
175,Octen-Embedding-4B,,57.74700000000001,,
176,Octen-Embedding-8B-INT8,,57.63399999999999,,
177,Octen-Embedding-4B-INT8,,56.928,,
178,M2V_base_glove,7.0302500000000006,0.075,2.6428076923076924,0.699
179,voyage-4-large,,56.869,,
180,PIXIE-Rune-v1.0,,56.186,,
181,rubert-tiny2,4.991874999999999,0.0,2.8031923076923078,1.374
182,voyage-4,,54.906,,
183,rubert-base-cased-sentence,4.406375,0.0,2.8218076923076927,1.373
184,Marbert-all-nli-triplet-Matryoshka,4.125,0.0,3.2242307692307697,1.168
185,Cohere-embed-v4.0 (output_dtype=binary),,54.251000000000005,,
186,voyage-4-lite,,53.378,,
187,Octen-Embedding-0.6B,,51.014,,
188,sbert_large_mt_nlu_ru,2.96725,0.0,2.107423076923077,1.057
189,voyage-3.5 (output_dtype=int8),,49.216,,
190,USER-base,,0.0,5.631,2.622
191,rubert-tiny,2.6625,0.0,1.8255000000000001,0.39899999999999997
192,sbert_large_nlu_ru,2.3435,0.0,1.7403461538461538,0.756
193,jina-embedding-b-en-v1,,0.28600000000000003,6.76776923076923,
194,voyage-large-2-instruct,,,,66.884
195,bge-m3-unsupervised,,45.792,,
196,jina-embeddings-v2-small-en,2.085125,0.0,1.2668076923076923,0.8909999999999999
197,distilrubert-small-cased-conversational,2.1054999999999997,0.0,1.5249615384615385,0.33999999999999997
198,Hinvec,44.119625,,,
199,ternary-weight-embedding,1.40375,0.0,1.3405,0.17500000000000002
200,voyage-3.5 (output_dtype=binary),,41.095,,
201,deberta-v1-base,1.555875,0.0,1.236615384615385,0.075
202,jina-embedding-s-en-v1,,0.28600000000000003,5.919038461538461,
203,baseline-random-encoder,1.144625,0.0,1.3154615384615385,0.0
204,M2V_multilingual_output,,16.88,,
205,granite-embedding-english-r2,,5.252,,
206,rubert-base-cased,,0.0,1.715423076923077,0.8869999999999999
207,static-retrieval-mrl-en-v1,,4.124,,
208,bge-large-en,,2.833,,
209,gte-base-en-v1.5,,2.154,,
210,granite-embedding-small-english-r2,,1.764,,
211,bge-base-en,,1.253,,
212,Arabic-Triplet-Matryoshka-V2,,,5.437250000000001,
213,bge-large-zh-v1.5,,0.28600000000000003,,
214,multi-qa-MiniLM-L6-cos-v1,,0.27,,
215,bge-base-zh-v1.5,,0.18,,
216,text2vec-base-chinese,,0.18,,
217,bge-small-zh-v1.5,,0.0,,
