query_id,bge_m3_ndcg10,snowflake_ndcg10,delta
Q248,1.000000,1.000000,0.000000
Q249,1.000000,1.000000,0.000000
Q25,1.000000,1.000000,0.000000
Q250,1.000000,1.000000,0.000000
Q251,1.000000,0.630930,0.369070
Q252,1.000000,1.000000,0.000000
Q253,1.000000,1.000000,0.000000
Q254,1.000000,0.386853,0.613147
Q255,1.000000,0.289065,0.710935
Q256,1.000000,1.000000,0.000000
Q257,0.630930,0.000000,0.630930
Q258,1.000000,0.000000,1.000000
Q259,1.000000,1.000000,0.000000
Q26,1.000000,1.000000,0.000000
Q260,1.000000,0.630930,0.369070
Q261,1.000000,1.000000,0.000000
Q262,1.000000,1.000000,0.000000
Q263,1.000000,1.000000,0.000000
Q264,1.000000,1.000000,0.000000
Q265,1.000000,1.000000,0.000000
Q266,0.386853,0.000000,0.386853
Q267,1.000000,0.630930,0.369070
Q268,1.000000,1.000000,0.000000
Q269,1.000000,1.000000,0.000000
Q27,1.000000,1.000000,0.000000
Q270,0.630930,0.000000,0.630930
Q271,1.000000,0.000000,1.000000
Q272,1.000000,0.000000,1.000000
Q273,1.000000,0.000000,1.000000
Q274,1.000000,1.000000,0.000000
Q275,1.000000,0.386853,0.613147
Q276,1.000000,0.430677,0.569323
Q277,1.000000,0.386853,0.613147
Q278,1.000000,0.000000,1.000000
Q279,1.000000,0.000000,1.000000
Q28,1.000000,1.000000,0.000000
Q280,0.000000,0.000000,0.000000
Q281,1.000000,0.000000,1.000000
Q282,1.000000,0.630930,0.369070
Q283,1.000000,0.301030,0.698970
Q284,1.000000,0.000000,1.000000
Q285,1.000000,0.000000,1.000000
Q286,1.000000,1.000000,0.000000
Q287,1.000000,0.430677,0.569323
Q288,1.000000,0.000000,1.000000
Q289,1.000000,1.000000,0.000000
Q29,1.000000,1.000000,0.000000
Q290,1.000000,0.000000,1.000000
Q291,1.000000,1.000000,0.000000
Q292,1.000000,0.500000,0.500000
Q293,1.000000,0.430677,0.569323
Q294,1.000000,1.000000,0.000000
Q295,1.000000,1.000000,0.000000
Q296,1.000000,1.000000,0.000000
Q297,1.000000,0.386853,0.613147
Q298,1.000000,0.500000,0.500000
Q299,1.000000,0.000000,1.000000
Q3,1.000000,1.000000,0.000000
Q30,1.000000,0.000000,1.000000
Q300,0.000000,0.000000,0.000000
Q301,0.333333,0.000000,0.333333
Q302,1.000000,0.630930,0.369070
Q303,0.630930,0.000000,0.630930
Q304,1.000000,1.000000,0.000000
Q305,1.000000,0.289065,0.710935
Q306,1.000000,1.000000,0.000000
Q307,1.000000,1.000000,0.000000
Q308,1.000000,1.000000,0.000000
Q309,1.000000,1.000000,0.000000
Q31,1.000000,1.000000,0.000000
Q310,1.000000,1.000000,0.000000
Q311,1.000000,0.500000,0.500000
Q312,1.000000,0.500000,0.500000
Q313,1.000000,1.000000,0.000000
Q314,0.630930,0.000000,0.630930
Q315,1.000000,1.000000,0.000000
Q316,1.000000,0.000000,1.000000
Q317,1.000000,0.630930,0.369070
Q318,1.000000,1.000000,0.000000
Q319,1.000000,1.000000,0.000000
Q32,1.000000,1.000000,0.000000
Q320,1.000000,0.000000,1.000000
Q321,1.000000,0.000000,1.000000
Q322,1.000000,1.000000,0.000000
Q323,1.000000,0.000000,1.000000
Q324,0.500000,0.000000,0.500000
Q325,1.000000,1.000000,0.000000
Q326,1.000000,1.000000,0.000000
Q327,0.630930,0.000000,0.630930
Q328,0.000000,0.000000,0.000000
Q329,0.630930,0.000000,0.630930
Q33,1.000000,1.000000,0.000000
Q330,1.000000,0.000000,1.000000
Q331,1.000000,1.000000,0.000000
Q332,1.000000,0.356207,0.643793
Q333,1.000000,1.000000,0.000000
Q334,1.000000,0.315465,0.684535
Q335,1.000000,0.630930,0.369070
Q336,1.000000,1.000000,0.000000
Q337,1.000000,0.315465,0.684535
Q338,1.000000,1.000000,0.000000
Q339,0.500000,0.000000,0.500000
Q34,1.000000,0.630930,0.369070
Q340,1.000000,1.000000,0.000000
Q341,1.000000,0.000000,1.000000
Q342,1.000000,0.000000,1.000000
Q343,1.000000,0.630930,0.369070
Q344,1.000000,0.301030,0.698970
Q345,1.000000,0.356207,0.643793
Q346,1.000000,1.000000,0.000000
Q347,1.000000,0.630930,0.369070
Q348,1.000000,0.000000,1.000000
Q349,0.630930,0.000000,0.630930
Q35,1.000000,1.000000,0.000000
Q350,1.000000,1.000000,0.000000
Q351,1.000000,1.000000,0.000000
Q352,1.000000,1.000000,0.000000
Q353,1.000000,1.000000,0.000000
Q354,1.000000,0.630930,0.369070
Q355,1.000000,1.000000,0.000000
Q356,0.430677,0.000000,0.430677
Q357,0.500000,0.000000,0.500000
Q358,1.000000,0.000000,1.000000
Q359,1.000000,0.000000,1.000000
Q36,1.000000,1.000000,0.000000
Q360,0.315465,0.000000,0.315465
Q361,1.000000,1.000000,0.000000
Q362,1.000000,0.630930,0.369070
Q363,1.000000,0.000000,1.000000
Q364,1.000000,1.000000,0.000000
Q365,1.000000,1.000000,0.000000
Q366,1.000000,1.000000,0.000000
Q367,1.000000,1.000000,0.000000
Q368,1.000000,0.315465,0.684535
Q369,1.000000,0.000000,1.000000
Q37,1.000000,1.000000,0.000000
Q370,1.000000,1.000000,0.000000
Q371,1.000000,1.000000,0.000000
Q372,1.000000,1.000000,0.000000
Q373,1.000000,1.000000,0.000000
Q374,1.000000,1.000000,0.000000
Q375,1.000000,1.000000,0.000000
Q376,1.000000,0.000000,1.000000
Q377,1.000000,0.000000,1.000000
Q378,1.000000,1.000000,0.000000
Q379,1.000000,0.301030,0.698970
Q38,1.000000,1.000000,0.000000
Q380,1.000000,1.000000,0.000000
Q381,1.000000,1.000000,0.000000
Q382,1.000000,1.000000,0.000000
Q383,1.000000,1.000000,0.000000
Q384,1.000000,0.430677,0.569323
Q385,1.000000,1.000000,0.000000
Q386,1.000000,1.000000,0.000000
Q387,1.000000,1.000000,0.000000
Q388,1.000000,1.000000,0.000000
Q389,1.000000,1.000000,0.000000
Q39,1.000000,1.000000,0.000000
Q390,1.000000,1.000000,0.000000
Q391,1.000000,1.000000,0.000000
Q392,1.000000,0.000000,1.000000
Q393,1.000000,0.000000,1.000000
Q394,1.000000,0.000000,1.000000
Q395,1.000000,0.000000,1.000000
Q396,1.000000,0.000000,1.000000
Q397,1.000000,1.000000,0.000000
Q398,1.000000,0.630930,0.369070
Q399,0.386853,0.430677,-0.043824
Q4,0.315465,0.000000,0.315465
Q40,1.000000,1.000000,0.000000
Q400,1.000000,1.000000,0.000000
Q401,0.630930,0.000000,0.630930
Q402,1.000000,0.000000,1.000000
Q403,1.000000,1.000000,0.000000
Q404,1.000000,1.000000,0.000000
Q405,1.000000,1.000000,0.000000
Q406,1.000000,0.630930,0.369070
Q407,1.000000,1.000000,0.000000
Q408,1.000000,1.000000,0.000000
Q409,1.000000,1.000000,0.000000
Q41,1.000000,1.000000,0.000000
Q410,1.000000,0.333333,0.666667
Q411,1.000000,1.000000,0.000000
Q412,1.000000,1.000000,0.000000
Q413,0.630930,0.000000,0.630930
Q414,1.000000,0.000000,1.000000
Q415,1.000000,1.000000,0.000000
Q416,1.000000,0.630930,0.369070
Q417,0.500000,0.000000,0.500000
Q418,1.000000,1.000000,0.000000
Q419,0.000000,0.000000,0.000000
Q42,1.000000,1.000000,0.000000
Q420,1.000000,1.000000,0.000000
Q421,1.000000,1.000000,0.000000
Q422,1.000000,1.000000,0.000000
Q423,1.000000,0.500000,0.500000
Q424,1.000000,0.430677,0.569323
Q425,1.000000,1.000000,0.000000
Q426,1.000000,1.000000,0.000000
Q427,1.000000,1.000000,0.000000
Q428,1.000000,0.000000,1.000000
Q429,0.630930,0.000000,0.630930
Q43,1.000000,1.000000,0.000000
Q430,1.000000,1.000000,0.000000
Q431,1.000000,0.000000,1.000000
Q432,0.630930,0.000000,0.630930
Q433,0.630930,0.000000,0.630930
Q434,1.000000,0.000000,1.000000
Q435,1.000000,0.630930,0.369070
Q436,1.000000,1.000000,0.000000
Q437,1.000000,1.000000,0.000000
Q438,1.000000,0.500000,0.500000
Q439,1.000000,0.500000,0.500000
Q44,1.000000,1.000000,0.000000
Q440,1.000000,0.630930,0.369070
Q441,1.000000,1.000000,0.000000
Q442,1.000000,1.000000,0.000000
Q443,0.630930,0.000000,0.630930
Q444,1.000000,0.000000,1.000000
Q445,1.000000,1.000000,0.000000
Q446,1.000000,1.000000,0.000000
Q447,1.000000,0.430677,0.569323
Q448,0.630930,0.500000,0.130930
Q449,1.000000,0.315465,0.684535
Q45,1.000000,1.000000,0.000000
Q450,1.000000,1.000000,0.000000
Q451,1.000000,1.000000,0.000000
Q452,1.000000,1.000000,0.000000
Q453,1.000000,1.000000,0.000000
Q454,1.000000,1.000000,0.000000
Q455,1.000000,1.000000,0.000000
Q456,1.000000,0.500000,0.500000
Q457,1.000000,0.000000,1.000000
Q458,0.630930,0.000000,0.630930
Q459,0.333333,0.000000,0.333333
Q46,1.000000,1.000000,0.000000
Q460,1.000000,0.630930,0.369070
Q461,1.000000,1.000000,0.000000
Q462,1.000000,0.386853,0.613147
Q463,0.630930,0.000000,0.630930
Q464,1.000000,1.000000,0.000000
Q465,1.000000,1.000000,0.000000
Q466,1.000000,1.000000,0.000000
Q467,1.000000,0.000000,1.000000
Q468,1.000000,0.500000,0.500000
Q469,1.000000,0.356207,0.643793
Q47,1.000000,1.000000,0.000000
Q470,1.000000,1.000000,0.000000
Q471,0.500000,0.356207,0.143793
Q472,0.630930,0.356207,0.274723
Q473,0.386853,0.000000,0.386853
Q474,1.000000,1.000000,0.000000
Q475,0.630930,0.630930,0.000000
Q476,1.000000,1.000000,0.000000
Q477,1.000000,1.000000,0.000000
Q478,1.000000,0.000000,1.000000
Q479,1.000000,0.000000,1.000000
Q48,1.000000,1.000000,0.000000
Q480,1.000000,0.000000,1.000000
Q481,1.000000,0.301030,0.698970
Q482,1.000000,1.000000,0.000000
Q483,1.000000,1.000000,0.000000
Q484,1.000000,1.000000,0.000000
Q485,1.000000,1.000000,0.000000
Q486,1.000000,0.430677,0.569323
Q487,0.630930,0.000000,0.630930
Q488,1.000000,0.630930,0.369070
Q489,1.000000,1.000000,0.000000
Q49,1.000000,1.000000,0.000000
Q490,1.000000,1.000000,0.000000
Q491,1.000000,1.000000,0.000000
Q492,1.000000,1.000000,0.000000
Q493,1.000000,1.000000,0.000000
Q494,1.000000,0.630930,0.369070
Q495,1.000000,1.000000,0.000000
Q496,1.000000,1.000000,0.000000
Q497,0.500000,0.000000,0.500000
Q498,0.500000,0.630930,-0.130930
Q499,0.630930,0.630930,0.000000
Q5,1.000000,0.000000,1.000000
Q50,1.000000,0.000000,1.000000
Q500,1.000000,0.000000,1.000000
Q501,1.000000,0.630930,0.369070
Q502,1.000000,0.630930,0.369070
Q503,1.000000,0.630930,0.369070
Q504,1.000000,0.289065,0.710935
Q505,1.000000,0.000000,1.000000
Q506,1.000000,0.000000,1.000000
Q507,1.000000,0.630930,0.369070
Q508,1.000000,0.000000,1.000000
Q509,0.430677,0.000000,0.430677
Q51,1.000000,1.000000,0.000000
Q510,1.000000,1.000000,0.000000
Q511,1.000000,1.000000,0.000000
Q512,0.000000,0.000000,0.000000
Q513,0.430677,0.000000,0.430677
Q514,1.000000,0.000000,1.000000
Q515,1.000000,0.000000,1.000000
Q516,1.000000,0.301030,0.698970
Q517,1.000000,0.000000,1.000000
Q518,1.000000,0.289065,0.710935
Q519,0.333333,0.000000,0.333333
Q52,1.000000,1.000000,0.000000
Q520,1.000000,1.000000,0.000000
Q521,1.000000,1.000000,0.000000
Q522,1.000000,0.430677,0.569323
Q523,1.000000,0.630930,0.369070
Q524,1.000000,1.000000,0.000000
Q525,1.000000,0.630930,0.369070
Q526,0.630930,0.000000,0.630930
Q527,0.333333,0.000000,0.333333
Q528,0.000000,0.000000,0.000000
Q529,0.000000,0.000000,0.000000
Q53,1.000000,1.000000,0.000000
Q530,1.000000,0.500000,0.500000
Q531,1.000000,0.356207,0.643793
Q532,1.000000,1.000000,0.000000
Q533,1.000000,0.000000,1.000000
Q534,1.000000,1.000000,0.000000
Q535,1.000000,1.000000,0.000000
Q536,1.000000,0.000000,1.000000
Q537,1.000000,1.000000,0.000000
Q538,1.000000,1.000000,0.000000
Q539,1.000000,1.000000,0.000000
Q54,1.000000,0.630930,0.369070
Q540,1.000000,1.000000,0.000000
Q541,1.000000,0.333333,0.666667
Q542,1.000000,0.000000,1.000000
Q543,1.000000,0.000000,1.000000
Q544,1.000000,0.000000,1.000000
Q545,1.000000,0.430677,0.569323
Q546,1.000000,1.000000,0.000000
Q547,0.000000,0.000000,0.000000
Q548,1.000000,0.386853,0.613147
Q549,1.000000,0.356207,0.643793
Q55,1.000000,1.000000,0.000000
Q550,1.000000,1.000000,0.000000
Q551,1.000000,1.000000,0.000000
Q552,1.000000,0.500000,0.500000
Q553,1.000000,1.000000,0.000000
Q554,1.000000,0.630930,0.369070
Q555,1.000000,0.000000,1.000000
Q556,0.500000,0.000000,0.500000
Q557,0.386853,0.000000,0.386853
Q558,1.000000,0.000000,1.000000
Q559,1.000000,0.500000,0.500000
Q56,1.000000,0.000000,1.000000
Q560,1.000000,1.000000,0.000000
Q561,0.630930,0.315465,0.315465
Q562,0.000000,0.000000,0.000000
Q563,0.000000,0.000000,0.000000
Q564,1.000000,1.000000,0.000000
Q565,1.000000,1.000000,0.000000
Q566,0.630930,0.000000,0.630930
Q567,1.000000,1.000000,0.000000
Q568,1.000000,0.500000,0.500000
Q569,0.000000,0.000000,0.000000
Q57,1.000000,0.000000,1.000000
Q570,1.000000,1.000000,0.000000
Q571,1.000000,1.000000,0.000000
Q572,1.000000,1.000000,0.000000
Q573,1.000000,1.000000,0.000000
Q574,1.000000,0.356207,0.643793
Q575,1.000000,0.630930,0.369070
Q576,0.430677,0.000000,0.430677
Q577,1.000000,1.000000,0.000000
Q578,1.000000,1.000000,0.000000
Q579,1.000000,0.000000,1.000000
Q58,1.000000,1.000000,0.000000
Q580,1.000000,0.000000,1.000000
Q581,1.000000,1.000000,0.000000
Q582,1.000000,0.630930,0.369070
Q583,0.430677,0.356207,0.074469
Q584,1.000000,0.630930,0.369070
Q585,1.000000,1.000000,0.000000
Q586,1.000000,1.000000,0.000000
Q587,0.500000,0.000000,0.500000
Q588,1.000000,0.630930,0.369070
Q589,1.000000,0.500000,0.500000
Q59,1.000000,1.000000,0.000000
Q590,1.000000,0.000000,1.000000
Q591,1.000000,0.500000,0.500000
Q592,0.630930,0.630930,0.000000
Q593,1.000000,0.500000,0.500000
Q594,1.000000,1.000000,0.000000
Q595,1.000000,0.430677,0.569323
Q596,1.000000,0.000000,1.000000
Q597,1.000000,1.000000,0.000000
Q598,1.000000,1.000000,0.000000
Q599,1.000000,1.000000,0.000000
Q6,1.000000,0.000000,1.000000
Q60,1.000000,0.301030,0.698970
Q600,0.000000,0.000000,0.000000
Q601,1.000000,0.000000,1.000000
Q602,0.386853,0.386853,0.000000
Q603,0.356207,0.000000,0.356207
Q604,1.000000,1.000000,0.000000
Q605,1.000000,1.000000,0.000000
Q606,1.000000,1.000000,0.000000
Q607,1.000000,0.301030,0.698970
Q608,1.000000,0.000000,1.000000
Q609,1.000000,0.430677,0.569323
Q61,1.000000,0.000000,1.000000
Q610,1.000000,0.000000,1.000000
Q611,1.000000,0.386853,0.613147
Q612,1.000000,0.630930,0.369070
Q613,0.315465,0.000000,0.315465
Q614,1.000000,1.000000,0.000000
Q615,1.000000,0.000000,1.000000
Q616,1.000000,0.386853,0.613147
Q617,1.000000,0.000000,1.000000
Q618,1.000000,0.000000,1.000000
Q619,1.000000,0.500000,0.500000
Q62,1.000000,1.000000,0.000000
Q620,1.000000,0.386853,0.613147
Q621,1.000000,0.630930,0.369070
Q622,1.000000,0.000000,1.000000
Q623,1.000000,0.315465,0.684535
Q624,1.000000,0.000000,1.000000
Q625,1.000000,0.000000,1.000000
Q626,1.000000,0.000000,1.000000
Q627,1.000000,1.000000,0.000000
Q628,0.630930,0.315465,0.315465
Q629,1.000000,0.630930,0.369070
Q63,1.000000,1.000000,0.000000
Q630,1.000000,1.000000,0.000000
Q631,1.000000,1.000000,0.000000
Q632,1.000000,1.000000,0.000000
Q633,1.000000,1.000000,0.000000
Q634,1.000000,0.000000,1.000000
Q635,1.000000,1.000000,0.000000
Q636,1.000000,1.000000,0.000000
Q637,1.000000,0.301030,0.698970
Q638,1.000000,0.000000,1.000000
Q639,1.000000,0.000000,1.000000
Q64,1.000000,1.000000,0.000000
Q640,1.000000,0.000000,1.000000
Q641,1.000000,1.000000,0.000000
Q642,1.000000,1.000000,0.000000
Q643,1.000000,0.000000,1.000000
Q644,0.000000,0.000000,0.000000
Q645,0.430677,0.301030,0.129647
Q646,1.000000,0.630930,0.369070
Q647,1.000000,1.000000,0.000000
Q648,1.000000,1.000000,0.000000
Q649,1.000000,1.000000,0.000000
Q65,1.000000,1.000000,0.000000
Q650,1.000000,1.000000,0.000000
Q651,1.000000,1.000000,0.000000
Q652,1.000000,1.000000,0.000000
Q653,1.000000,1.000000,0.000000
Q654,1.000000,1.000000,0.000000
Q655,1.000000,1.000000,0.000000
Q656,1.000000,1.000000,0.000000
Q657,1.000000,1.000000,0.000000
Q658,1.000000,1.000000,0.000000
Q659,1.000000,0.630930,0.369070
Q66,1.000000,1.000000,0.000000
Q660,1.000000,1.000000,0.000000
Q661,1.000000,0.630930,0.369070
Q662,1.000000,0.000000,1.000000
Q663,1.000000,0.333333,0.666667
Q664,1.000000,1.000000,0.000000
Q665,1.000000,1.000000,0.000000
Q666,1.000000,1.000000,0.000000
Q667,1.000000,1.000000,0.000000
Q668,1.000000,1.000000,0.000000
Q669,1.000000,1.000000,0.000000
Q67,1.000000,1.000000,0.000000
Q670,1.000000,1.000000,0.000000
Q671,1.000000,0.500000,0.500000
Q672,1.000000,0.356207,0.643793
Q673,1.000000,1.000000,0.000000
Q674,1.000000,1.000000,0.000000
Q675,1.000000,0.356207,0.643793
Q676,1.000000,0.630930,0.369070
Q677,1.000000,1.000000,0.000000
Q678,1.000000,1.000000,0.000000
Q679,1.000000,1.000000,0.000000
Q68,1.000000,1.000000,0.000000
Q680,0.000000,0.000000,0.000000
Q681,1.000000,0.315465,0.684535
Q682,1.000000,1.000000,0.000000
Q683,1.000000,1.000000,0.000000
Q684,0.630930,0.630930,0.000000
Q685,1.000000,1.000000,0.000000
Q686,1.000000,1.000000,0.000000
Q687,1.000000,0.000000,1.000000
Q688,1.000000,0.430677,0.569323
Q689,1.000000,1.000000,0.000000
Q69,1.000000,1.000000,0.000000
Q690,1.000000,0.630930,0.369070
Q691,1.000000,0.500000,0.500000
Q692,1.000000,1.000000,0.000000
Q693,1.000000,0.000000,1.000000
Q694,1.000000,0.500000,0.500000
Q695,1.000000,0.315465,0.684535
Q696,1.000000,0.000000,1.000000
Q697,1.000000,0.000000,1.000000
Q698,1.000000,0.430677,0.569323
Q699,1.000000,1.000000,0.000000
Q7,1.000000,0.430677,0.569323
Q70,1.000000,0.630930,0.369070
Q700,1.000000,1.000000,0.000000
Q701,1.000000,0.630930,0.369070
Q702,1.000000,0.630930,0.369070
Q703,1.000000,1.000000,0.000000
Q704,1.000000,1.000000,0.000000
Q705,1.000000,0.000000,1.000000
Q706,1.000000,1.000000,0.000000
Q707,1.000000,1.000000,0.000000
Q708,1.000000,0.000000,1.000000
Q709,1.000000,0.000000,1.000000
Q71,1.000000,1.000000,0.000000
Q710,1.000000,1.000000,0.000000
Q711,1.000000,0.000000,1.000000
Q712,1.000000,1.000000,0.000000
Q713,1.000000,0.000000,1.000000
Q714,1.000000,0.430677,0.569323
Q715,1.000000,1.000000,0.000000
Q716,1.000000,1.000000,0.000000
Q717,1.000000,1.000000,0.000000
Q718,1.000000,1.000000,0.000000
Q719,1.000000,0.333333,0.666667
Q72,1.000000,1.000000,0.000000
Q720,1.000000,0.386853,0.613147
Q721,1.000000,1.000000,0.000000
Q722,1.000000,1.000000,0.000000
Q723,0.356207,0.000000,0.356207
Q724,1.000000,1.000000,0.000000
Q725,1.000000,0.430677,0.569323
Q726,0.630930,1.000000,-0.369070
Q727,0.630930,1.000000,-0.369070
Q728,1.000000,1.000000,0.000000
Q729,1.000000,1.000000,0.000000
Q73,1.000000,1.000000,0.000000
Q730,1.000000,0.000000,1.000000
Q731,0.000000,0.000000,0.000000
Q732,0.000000,0.000000,0.000000
Q733,1.000000,0.000000,1.000000
Q734,1.000000,1.000000,0.000000
Q735,0.500000,0.000000,0.500000
Q736,1.000000,0.000000,1.000000
Q737,0.630930,0.000000,0.630930
Q738,1.000000,0.301030,0.698970
Q739,1.000000,0.000000,1.000000
Q74,1.000000,1.000000,0.000000
Q740,1.000000,0.386853,0.613147
Q741,1.000000,1.000000,0.000000
Q742,1.000000,1.000000,0.000000
Q743,1.000000,1.000000,0.000000
Q744,1.000000,1.000000,0.000000
Q745,1.000000,0.000000,1.000000
Q746,1.000000,1.000000,0.000000
Q747,1.000000,1.000000,0.000000
Q748,1.000000,1.000000,0.000000
Q749,1.000000,1.000000,0.000000
Q75,1.000000,0.500000,0.500000
Q750,1.000000,0.386853,0.613147
Q751,0.500000,0.315465,0.184535
Q752,1.000000,1.000000,0.000000
Q753,1.000000,1.000000,0.000000
Q754,1.000000,1.000000,0.000000
Q755,1.000000,0.333333,0.666667
Q756,1.000000,1.000000,0.000000
Q757,1.000000,1.000000,0.000000
Q758,1.000000,1.000000,0.000000
