model_id,language_iso,lang_avg_ndcg,tier
BidirLM-2.5B,hin,0.7094875,curated
granite-311m,hin,0.626975,curated
jina-v5-nano,hin,0.7218800000000001,curated
ml-e5-small,ara,0.48035,curated
bge-m3,ara,0.5968033333333334,curated
Qwen3-0.6B,ara,0.5636000000000001,curated
Qwen3-4B,ara,0.7565200000000001,curated
Qwen3-8B,ara,0.8271866666666666,curated
nemotron-8b,ara,0.79753,curated
harrier-0.6b,ara,0.58887,curated
voyage-3.5,ara,0.60152,curated
KaLM-Gemma3-12B,ara,0.7879466666666666,curated
embeddinggemma-300m,ara,0.61444,curated
inf-retriever-v1,ara,0.7105899999999999,curated
F2LLM-v2-4B,ara,0.7372033333333334,curated
F2LLM-v2-8B,ara,0.7645966666666667,curated
F2LLM-v2-14B,ara,0.7792666666666666,curated
BOOM-4B,ara,0.70212,curated
jina-v5-small,ara,0.6880566666666666,curated
pplx-embed-0.6b,ara,0.6371866666666667,curated
pplx-embed-4b,ara,0.7150533333333332,curated
zembed-1,ara,0.6881900000000001,curated
GritLM-7B,ara,0.5786466666666668,curated
Seed1.6-embed,ara,0.6810666666666667,curated
BidirLM-1B,ara,0.6489133333333333,curated
BidirLM-2.5B,ara,0.6809666666666668,curated
granite-311m,ara,0.4939366666666666,curated
jina-v5-nano,ara,0.6771699999999999,curated
ml-e5-small,zho,0.6269899999999999,curated
bge-m3,zho,0.7451166666666666,curated
Qwen3-0.6B,zho,0.7293666666666666,curated
Qwen3-4B,zho,0.7828733333333333,curated
Qwen3-8B,zho,0.8028133333333334,curated
nemotron-8b,zho,0.8012,curated
harrier-0.6b,zho,0.7364766666666668,curated
voyage-3.5,zho,0.7088599999999999,curated
KaLM-Gemma3-12B,zho,0.7688966666666667,curated
embeddinggemma-300m,zho,0.7681566666666666,curated
inf-retriever-v1,zho,0.7487266666666667,curated
F2LLM-v2-4B,zho,0.7398266666666666,curated
F2LLM-v2-8B,zho,0.7488333333333334,curated
F2LLM-v2-14B,zho,0.7570633333333333,curated
BOOM-4B,zho,0.76559,curated
jina-v5-small,zho,0.7630533333333333,curated
pplx-embed-0.6b,zho,0.77515,curated
pplx-embed-4b,zho,0.7767733333333333,curated
zembed-1,zho,0.7623433333333334,curated
GritLM-7B,zho,0.6696366666666665,curated
Seed1.6-embed,zho,0.7750400000000001,curated
BidirLM-1B,zho,0.74411,curated
BidirLM-2.5B,zho,0.74416,curated
granite-311m,zho,0.6880999999999999,curated
jina-v5-nano,zho,0.7492899999999999,curated
bge-m3,deu,0.771705,curated
Qwen3-0.6B,deu,0.7564175,curated
Qwen3-4B,deu,0.821975,curated
Qwen3-8B,deu,0.8372125,curated
nemotron-8b,deu,0.830745,curated
harrier-0.6b,deu,0.7586725,curated
voyage-3.5,deu,0.7590399999999999,curated
KaLM-Gemma3-12B,deu,0.80696,curated
embeddinggemma-300m,deu,0.7936775,curated
inf-retriever-v1,deu,0.80257,curated
F2LLM-v2-4B,deu,0.7821125,curated
F2LLM-v2-8B,deu,0.7927474999999999,curated
F2LLM-v2-14B,deu,0.7940875000000001,curated
BOOM-4B,deu,0.7944825,curated
jina-v5-small,deu,0.7973075,curated
pplx-embed-0.6b,deu,0.805645,curated
pplx-embed-4b,deu,0.8251850000000001,curated
zembed-1,deu,0.7854924999999999,curated
GritLM-7B,deu,0.76248,curated
Seed1.6-embed,deu,0.7884774999999999,curated
BidirLM-1B,deu,0.76001,curated
BidirLM-2.5B,deu,0.7741825,curated
granite-311m,deu,0.7266475,curated
jina-v5-nano,deu,0.7952025,curated
ml-e5-small,spa,0.63539,curated
bge-m3,spa,0.7164933333333333,curated
Qwen3-0.6B,spa,0.7137266666666666,curated
Qwen3-4B,spa,0.7709633333333333,curated
Qwen3-8B,spa,0.79541,curated
nemotron-8b,spa,0.78573,curated
harrier-0.6b,spa,0.7216633333333333,curated
voyage-3.5,spa,0.6973666666666668,curated
KaLM-Gemma3-12B,spa,0.7549066666666665,curated
embeddinggemma-300m,spa,0.7474,curated
inf-retriever-v1,spa,0.7468866666666667,curated
F2LLM-v2-4B,spa,0.7281333333333334,curated
F2LLM-v2-8B,spa,0.7358933333333333,curated
F2LLM-v2-14B,spa,0.73958,curated
BOOM-4B,spa,0.74079,curated
jina-v5-small,spa,0.7501666666666668,curated
pplx-embed-0.6b,spa,0.7603666666666667,curated
pplx-embed-4b,spa,0.7687533333333333,curated
zembed-1,spa,0.72465,curated
GritLM-7B,spa,0.6977066666666666,curated
Seed1.6-embed,spa,0.7458266666666667,curated
BidirLM-1B,spa,0.7164266666666667,curated
BidirLM-2.5B,spa,0.7263266666666667,curated
granite-311m,spa,0.6713733333333334,curated
jina-v5-nano,spa,0.74338,curated
ml-e5-small,rus,0.7135750000000001,curated
bge-m3,rus,0.816175,curated
Qwen3-0.6B,rus,0.7624850000000001,curated
Qwen3-4B,rus,0.832965,curated
Qwen3-8B,rus,0.8614850000000001,curated
nemotron-8b,rus,0.8589,curated
harrier-0.6b,rus,0.786265,curated
voyage-3.5,rus,0.7645649999999999,curated
KaLM-Gemma3-12B,rus,0.817385,curated
embeddinggemma-300m,rus,0.80314,curated
inf-retriever-v1,rus,0.800935,curated
F2LLM-v2-4B,rus,0.792565,curated
F2LLM-v2-8B,rus,0.804185,curated
F2LLM-v2-14B,rus,0.80489,curated
BOOM-4B,rus,0.80751,curated
jina-v5-small,rus,0.81423,curated
pplx-embed-0.6b,rus,0.8206100000000001,curated
pplx-embed-4b,rus,0.824125,curated
zembed-1,rus,0.7708649999999999,curated
GritLM-7B,rus,0.730845,curated
Seed1.6-embed,rus,0.76998,curated
BidirLM-1B,rus,0.790535,curated
BidirLM-2.5B,rus,0.800235,curated
granite-311m,rus,0.706555,curated
jina-v5-nano,rus,0.799825,curated
ml-e5-small,fra,0.681335,curated
bge-m3,fra,0.763755,curated
Qwen3-0.6B,fra,0.73804,curated
Qwen3-4B,fra,0.777055,curated
Qwen3-8B,fra,0.803995,curated
nemotron-8b,fra,0.79067,curated
harrier-0.6b,fra,0.75351,curated
voyage-3.5,fra,0.668555,curated
KaLM-Gemma3-12B,fra,0.762885,curated
embeddinggemma-300m,fra,0.767865,curated
inf-retriever-v1,fra,0.7330099999999999,curated
F2LLM-v2-4B,fra,0.75427,curated
F2LLM-v2-8B,fra,0.75004,curated
F2LLM-v2-14B,fra,0.7541100000000001,curated
BOOM-4B,fra,0.7578400000000001,curated
jina-v5-small,fra,0.770605,curated
pplx-embed-0.6b,fra,0.7750950000000001,curated
pplx-embed-4b,fra,0.7662100000000001,curated
zembed-1,fra,0.71409,curated
GritLM-7B,fra,0.65696,curated
Seed1.6-embed,fra,0.729975,curated
BidirLM-1B,fra,0.7582500000000001,curated
BidirLM-2.5B,fra,0.75403,curated
granite-311m,fra,0.7106600000000001,curated
jina-v5-nano,fra,0.763235,curated
ml-e5-small,kor,0.651605,curated
bge-m3,kor,0.79188,curated
Qwen3-0.6B,kor,0.7406999999999999,curated
Qwen3-4B,kor,0.81343,curated
Qwen3-8B,kor,0.83304,curated
nemotron-8b,kor,0.839055,curated
harrier-0.6b,kor,0.74392,curated
voyage-3.5,kor,0.74779,curated
KaLM-Gemma3-12B,kor,0.7863450000000001,curated
embeddinggemma-300m,kor,0.795145,curated
inf-retriever-v1,kor,0.770775,curated
F2LLM-v2-4B,kor,0.763325,curated
F2LLM-v2-8B,kor,0.7918449999999999,curated
F2LLM-v2-14B,kor,0.7806550000000001,curated
BOOM-4B,kor,0.78037,curated
jina-v5-small,kor,0.7973049999999999,curated
pplx-embed-0.6b,kor,0.80416,curated
pplx-embed-4b,kor,0.81768,curated
zembed-1,kor,0.769275,curated
GritLM-7B,kor,0.73122,curated
Seed1.6-embed,kor,0.7782100000000001,curated
BidirLM-1B,kor,0.777355,curated
BidirLM-2.5B,kor,0.77277,curated
granite-311m,kor,0.7092499999999999,curated
jina-v5-nano,kor,0.78729,curated
bge-m3,ben,0.7240833333333333,curated
Qwen3-0.6B,ben,0.6878433333333334,curated
Qwen3-4B,ben,0.8273566666666667,curated
Qwen3-8B,ben,0.8667633333333334,curated
nemotron-8b,ben,0.8545866666666666,curated
harrier-0.6b,ben,0.6444366666666667,curated
voyage-3.5,ben,0.7267766666666667,curated
KaLM-Gemma3-12B,ben,0.8403133333333334,curated
embeddinggemma-300m,ben,0.7471766666666667,curated
inf-retriever-v1,ben,0.7690633333333334,curated
F2LLM-v2-4B,ben,0.8009833333333334,curated
F2LLM-v2-8B,ben,0.82371,curated
F2LLM-v2-14B,ben,0.84177,curated
BOOM-4B,ben,0.7705166666666666,curated
jina-v5-small,ben,0.7746599999999999,curated
pplx-embed-0.6b,ben,0.7328800000000001,curated
pplx-embed-4b,ben,0.7799666666666667,curated
zembed-1,ben,0.7511833333333332,curated
GritLM-7B,ben,0.7046033333333334,curated
Seed1.6-embed,ben,0.7776933333333332,curated
BidirLM-1B,ben,0.7278966666666667,curated
BidirLM-2.5B,ben,0.72803,curated
granite-311m,ben,0.64513,curated
jina-v5-nano,ben,0.7428333333333333,curated
ml-e5-small,vie,0.60826,curated
bge-m3,vie,0.77475,curated
Qwen3-0.6B,vie,0.780235,curated
Qwen3-4B,vie,0.85516,curated
Qwen3-8B,vie,0.889135,curated
nemotron-8b,vie,0.86518,curated
harrier-0.6b,vie,0.76572,curated
voyage-3.5,vie,0.802,curated
KaLM-Gemma3-12B,vie,0.8622799999999999,curated
embeddinggemma-300m,vie,0.804405,curated
inf-retriever-v1,vie,0.838785,curated
F2LLM-v2-4B,vie,0.83046,curated
F2LLM-v2-8B,vie,0.84358,curated
F2LLM-v2-14B,vie,0.8498749999999999,curated
BOOM-4B,vie,0.8135,curated
jina-v5-small,vie,0.83318,curated
pplx-embed-0.6b,vie,0.82279,curated
pplx-embed-4b,vie,0.86557,curated
zembed-1,vie,0.8256950000000001,curated
GritLM-7B,vie,0.74101,curated
Seed1.6-embed,vie,0.844065,curated
BidirLM-1B,vie,0.800035,curated
BidirLM-2.5B,vie,0.815905,curated
granite-311m,vie,0.69712,curated
jina-v5-nano,vie,0.8237,curated
ml-e5-small,ind,0.664855,curated
bge-m3,ind,0.741165,curated
Qwen3-0.6B,ind,0.7094499999999999,curated
Qwen3-4B,ind,0.755925,curated
Qwen3-8B,ind,0.7781750000000001,curated
nemotron-8b,ind,0.77243,curated
harrier-0.6b,ind,0.71989,curated
voyage-3.5,ind,0.684715,curated
KaLM-Gemma3-12B,ind,0.74075,curated
embeddinggemma-300m,ind,0.7289,curated
inf-retriever-v1,ind,0.72158,curated
F2LLM-v2-4B,ind,0.71384,curated
F2LLM-v2-8B,ind,0.716505,curated
F2LLM-v2-14B,ind,0.7212149999999999,curated
BOOM-4B,ind,0.73668,curated
jina-v5-small,ind,0.73326,curated
pplx-embed-0.6b,ind,0.739205,curated
pplx-embed-4b,ind,0.73565,curated
zembed-1,ind,0.711905,curated
GritLM-7B,ind,0.669565,curated
Seed1.6-embed,ind,0.713355,curated
BidirLM-1B,ind,0.730175,curated
BidirLM-2.5B,ind,0.7229749999999999,curated
granite-311m,ind,0.6610499999999999,curated
jina-v5-nano,ind,0.724715,curated
bge-m3,fas,0.8052833333333332,curated
Qwen3-0.6B,fas,0.7290633333333334,curated
Qwen3-4B,fas,0.8131866666666667,curated
Qwen3-8B,fas,0.8370066666666668,curated
nemotron-8b,fas,0.8377433333333334,curated
harrier-0.6b,fas,0.73893,curated
voyage-3.5,fas,0.76181,curated
KaLM-Gemma3-12B,fas,0.8142,curated
embeddinggemma-300m,fas,0.8056866666666668,curated
inf-retriever-v1,fas,0.7868533333333333,curated
F2LLM-v2-4B,fas,0.78997,curated
F2LLM-v2-8B,fas,0.8009466666666666,curated
F2LLM-v2-14B,fas,0.80003,curated
BOOM-4B,fas,0.7771733333333334,curated
jina-v5-small,fas,0.7905066666666666,curated
pplx-embed-0.6b,fas,0.80493,curated
pplx-embed-4b,fas,0.8130633333333334,curated
zembed-1,fas,0.7475766666666668,curated
GritLM-7B,fas,0.7041266666666667,curated
Seed1.6-embed,fas,0.72049,curated
BidirLM-1B,fas,0.77772,curated
BidirLM-2.5B,fas,0.76348,curated
granite-311m,fas,0.7180533333333333,curated
jina-v5-nano,fas,0.7876599999999999,curated
ml-e5-small,swa,0.64535,curated
bge-m3,swa,0.81134,curated
Qwen3-0.6B,swa,0.481545,curated
Qwen3-4B,swa,0.674955,curated
Qwen3-8B,swa,0.76654,curated
nemotron-8b,swa,0.82855,curated
harrier-0.6b,swa,0.68781,curated
voyage-3.5,swa,0.5861149999999999,curated
KaLM-Gemma3-12B,swa,0.8273299999999999,curated
embeddinggemma-300m,swa,0.70116,curated
inf-retriever-v1,swa,0.596,curated
F2LLM-v2-4B,swa,0.7371,curated
F2LLM-v2-8B,swa,0.76622,curated
F2LLM-v2-14B,swa,0.76338,curated
BOOM-4B,swa,0.562685,curated
jina-v5-small,swa,0.6030800000000001,curated
pplx-embed-0.6b,swa,0.7712300000000001,curated
pplx-embed-4b,swa,0.7717700000000001,curated
zembed-1,swa,0.512705,curated
GritLM-7B,swa,0.6234599999999999,curated
Seed1.6-embed,swa,0.6816599999999999,curated
BidirLM-1B,swa,0.7172099999999999,curated
BidirLM-2.5B,swa,0.50994,curated
granite-311m,swa,0.625475,curated
jina-v5-nano,swa,0.6007,curated
ml-e5-small,tha,0.745965,curated
bge-m3,tha,0.853405,curated
Qwen3-0.6B,tha,0.791885,curated
Qwen3-4B,tha,0.861235,curated
Qwen3-8B,tha,0.896535,curated
nemotron-8b,tha,0.8877349999999999,curated
harrier-0.6b,tha,0.79061,curated
voyage-3.5,tha,0.77275,curated
KaLM-Gemma3-12B,tha,0.861,curated
embeddinggemma-300m,tha,0.83649,curated
inf-retriever-v1,tha,0.82001,curated
F2LLM-v2-4B,tha,0.8323050000000001,curated
F2LLM-v2-8B,tha,0.850545,curated
F2LLM-v2-14B,tha,0.85553,curated
BOOM-4B,tha,0.83563,curated
jina-v5-small,tha,0.848835,curated
pplx-embed-0.6b,tha,0.842025,curated
pplx-embed-4b,tha,0.837315,curated
zembed-1,tha,0.80138,curated
GritLM-7B,tha,0.6431450000000001,curated
Seed1.6-embed,tha,0.780835,curated
BidirLM-1B,tha,0.83571,curated
BidirLM-2.5B,tha,0.81585,curated
granite-311m,tha,0.7227600000000001,curated
jina-v5-nano,tha,0.84242,curated
ml-e5-small,tel,0.7444599999999999,curated
bge-m3,tel,0.866995,curated
Qwen3-0.6B,tel,0.72138,curated
Qwen3-4B,tel,0.86602,curated
Qwen3-8B,tel,0.90659,curated
nemotron-8b,tel,0.87595,curated
harrier-0.6b,tel,0.77608,curated
voyage-3.5,tel,0.751715,curated
KaLM-Gemma3-12B,tel,0.87447,curated
embeddinggemma-300m,tel,0.8292299999999999,curated
inf-retriever-v1,tel,0.61402,curated
F2LLM-v2-4B,tel,0.853655,curated
F2LLM-v2-8B,tel,0.867955,curated
F2LLM-v2-14B,tel,0.8766849999999999,curated
BOOM-4B,tel,0.81488,curated
jina-v5-small,tel,0.844795,curated
pplx-embed-0.6b,tel,0.815485,curated
pplx-embed-4b,tel,0.82389,curated
zembed-1,tel,0.7216899999999999,curated
GritLM-7B,tel,0.486745,curated
Seed1.6-embed,tel,0.783155,curated
BidirLM-1B,tel,0.821305,curated
BidirLM-2.5B,tel,0.8019000000000001,curated
granite-311m,tel,0.7232350000000001,curated
jina-v5-nano,tel,0.7998149999999999,curated
