,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
57,58,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),94%,0.113,0.305,768.0,8192.0,57.16,57.16,57.16
58,59,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),88%,0.358,0.494,896.0,512.0,50.84,50.84,50.84
59,60,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,1024.0,512.0,45.41,45.41,45.41
60,61,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,55.79,55.79,55.79
61,62,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),100%,0.304,0.56,1024.0,514.0,55.1,55.1,55.1
62,63,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),94%,0.304,0.56,1024.0,514.0,53.71,53.71,53.71
63,64,[bge-m3](https://huggingface.co/BAAI/bge-m3),94%,0.312,0.568,1024.0,8194.0,54.6,54.6,54.6
64,65,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),100%,0.316,0.572,1024.0,8194.0,55.76,55.76,55.76
65,66,[F2LLM-v2-160M](https://huggingface.co/codefuse-ai/F2LLM-v2-160M),83%,0.062,0.159,640.0,40960.0,54.08,54.08,54.08
66,67,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),88%,0.086,0.278,768.0,512.0,52.2,52.2,52.2
67,68,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,0.304,0.335,1024.0,512.0,41.21,41.21,41.21
68,69,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),94%,0.304,0.335,1024.0,512.0,40.41,40.41,40.41
69,70,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),94%,0.312,0.568,1024.0,8194.0,53.26,53.26,53.26
70,71,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),100%,0.304,0.335,1024.0,512.0,39.66,39.66,39.66
71,72,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),94%,0.086,0.278,768.0,514.0,52.72,52.72,52.72
72,73,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),100%,0.022,0.033,384.0,512.0,39.84,39.84,39.84
73,74,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,0.304,0.335,1024.0,512.0,40.3,40.3,40.3
74,75,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),88%,,0.435,4096.0,8192.0,42.58,42.58,42.58
75,76,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,0.304,0.335,1024.0,514.0,40.06,40.06,40.06
76,77,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),100%,0.086,0.278,768.0,514.0,52.96,52.96,52.96
77,78,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),88%,0.086,0.125,768.0,512.0,39.26,39.26,39.26
78,79,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100%,0.086,0.109,768.0,512.0,38.69,38.69,38.69
79,80,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),94%,,0.137,768.0,8192.0,40.66,40.66,40.66
80,81,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),94%,,0.137,768.0,2048.0,39.3,39.3,39.3
81,82,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),94%,,0.137,768.0,8192.0,40.74,40.74,40.74
82,83,[F2LLM-v2-80M](https://huggingface.co/codefuse-ai/F2LLM-v2-80M),83%,0.032,0.08,320.0,40960.0,50.13,50.13,50.13
83,84,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),100%,0.086,0.109,768.0,512.0,39.33,39.33,39.33
84,85,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),94%,0.304,0.335,1024.0,512.0,39.0,39.0,39.0
85,86,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),94%,7.022,7.153,4096.0,32768.0,43.07,43.07,43.07
86,87,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,41.78,41.78,41.78
87,88,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),94%,0.086,0.109,768.0,512.0,38.45,38.45,38.45
88,89,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),94%,0.086,0.109,768.0,512.0,38.61,38.61,38.61
89,90,[BidirLM-270M-Embedding](https://huggingface.co/BidirLM/BidirLM-270M-Embedding),94%,0.1,0.268,640.0,512.0,48.74,48.74,48.74
90,91,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,0.086,0.109,768.0,512.0,40.49,40.49,40.49
91,92,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),100%,0.022,0.118,384.0,512.0,49.55,49.55,49.55
92,93,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),88%,0.011,0.107,384.0,512.0,48.08,48.08,48.08
93,94,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),94%,0.312,0.359,1024.0,8194.0,43.3,43.3,43.3
94,95,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,0.304,0.335,1024.0,512.0,38.23,38.23,38.23
95,96,[baseline-bm25s](https://github.com/xhluca/bm25s),⚠️ NA,,,,,44.14,44.14,44.14
96,97,[e5-large](https://huggingface.co/intfloat/e5-large),100%,0.304,0.335,1024.0,512.0,38.5,38.5,38.5
97,98,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),94%,0.022,0.033,384.0,512.0,37.22,37.22,37.22
98,99,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,0.021,0.033,384.0,512.0,39.38,39.38,39.38
99,100,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),94%,0.022,0.118,384.0,512.0,50.91,50.91,50.91
100,101,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️ NA,0.022,0.033,384.0,512.0,37.81,37.81,37.81
101,102,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),83%,0.022,0.033,384.0,512.0,35.16,35.16,35.16
102,103,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),88%,0.011,0.03,384.0,512.0,36.43,36.43,36.43
103,104,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),94%,0.022,0.033,512.0,512.0,36.26,36.26,36.26
104,105,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),100%,1.214,1.28,2048.0,2048.0,38.35,38.35,38.35
105,106,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,0.086,0.109,768.0,512.0,35.86,35.86,35.86
106,107,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️ NA,0.022,0.033,384.0,512.0,35.99,35.99,35.99
107,108,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,0.086,0.278,768.0,512.0,39.76,39.76,39.76
108,109,[e5-base](https://huggingface.co/intfloat/e5-base),100%,0.086,0.109,768.0,512.0,37.69,37.69,37.69
109,110,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),100%,1.214,1.28,2048.0,2048.0,37.27,37.27,37.27
110,111,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100%,0.085,0.11,768.0,512.0,37.96,37.96,37.96
111,112,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100%,0.011,0.023,384.0,512.0,35.23,35.23,35.23
112,113,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),94%,,0.137,768.0,8192.0,37.05,37.05,37.05
113,114,[Euler-Legal-Embedding-V1](https://huggingface.co/Mira190/Euler-Legal-Embedding-V1),94%,6.946,7.567,4096.0,1536.0,,,
114,115,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,0.086,0.109,,512.0,35.28,35.28,35.28
115,116,[e5-small](https://huggingface.co/intfloat/e5-small),100%,0.021,0.033,384.0,512.0,36.25,36.25,36.25
116,117,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),100%,0.0,0.108,1024.0,,41.21,41.21,41.21
117,118,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,0.086,0.278,768.0,514.0,38.47,38.47,38.47
118,119,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),100%,0.089,0.112,,4096.0,36.78,36.78,36.78
119,120,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100%,0.086,0.109,768.0,384.0,33.8,33.8,33.8
120,121,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),94%,,0.137,768.0,8192.0,34.09,34.09,34.09
121,122,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100%,0.022,0.118,384.0,512.0,36.61,36.61,36.61
122,123,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),⚠️ NA,6.041,7.068,4096.0,,35.27,35.27,35.27
123,124,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,0.011,0.023,384.0,512.0,34.42,34.42,34.42
124,125,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️ NA,0.011,0.023,384.0,512.0,32.51,32.51,32.51
125,126,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100%,0.011,0.023,384.0,256.0,32.51,32.51,32.51
126,127,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),⚠️ NA,0.086,0.278,768.0,514.0,32.9,32.9,32.9
127,128,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),94%,0.011,0.023,384.0,512.0,33.3,33.3,33.3
128,129,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),94%,0.304,0.56,1024.0,514.0,33.33,33.33,33.33
129,130,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),100%,1.214,1.28,2048.0,2048.0,36.48,36.48,36.48
130,131,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),88%,0.0,0.128,256.0,,37.86,37.86,37.86
131,132,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100%,0.022,0.033,384.0,256.0,33.37,33.37,33.37
132,133,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️ NA,0.086,0.471,768.0,512.0,36.98,36.98,36.98
133,134,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,0.019,0.035,512.0,512.0,34.7,34.7,34.7
134,135,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),94%,0.086,0.278,768.0,514.0,30.79,30.79,30.79
135,136,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100%,0.022,0.118,384.0,512.0,35.06,35.06,35.06
136,137,[mmlw-roberta-large](https://huggingface.co/sdadas/mmlw-roberta-large),100%,0.304,0.435,1024.0,514.0,31.75,31.75,31.75
137,138,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),83%,0.086,0.278,768.0,514.0,34.66,34.66,34.66
138,139,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),100%,0.086,0.124,768.0,514.0,30.39,30.39,30.39
139,140,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,0.086,0.471,768.0,512.0,33.17,33.17,33.17
140,141,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),94%,0.303,0.404,1024.0,512.0,32.68,32.68,32.68
141,142,[mmlw-e5-small](https://huggingface.co/sdadas/mmlw-e5-small),94%,0.022,0.118,384.0,512.0,31.05,31.05,31.05
142,143,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,0.007,0.019,384.0,512.0,30.54,30.54,30.54
143,144,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),94%,0.0,0.008,256.0,,28.63,28.63,28.63
144,145,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),⚠️ NA,0.006,0.017,384.0,512.0,29.88,29.88,29.88
145,146,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,0.022,0.118,384.0,256.0,26.99,26.99,26.99
146,147,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️ NA,0.304,0.56,1024.0,514.0,31.72,31.72,31.72
147,148,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),94%,0.0,0.004,128.0,,27.23,27.23,27.23
148,149,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️ NA,6.98,7.111,,32768.0,,,
149,150,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),100%,7.022,7.153,4096.0,32768.0,30.57,30.57,30.57
150,151,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),94%,0.006,0.017,384.0,512.0,27.21,27.21,27.21
151,152,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100%,0.087,0.129,768.0,512.0,28.51,28.51,28.51
152,153,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,0.006,0.017,384.0,512.0,26.16,26.16,26.16
153,154,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,0.404,0.435,4096.0,8192.0,,,
154,155,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),94%,0.0,0.002,64.0,,23.99,23.99,23.99
155,156,[LaBSE-en-ru](https://huggingface.co/cointegrated/LaBSE-en-ru),100%,0.087,0.129,768.0,512.0,24.79,24.79,24.79
156,157,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),94%,0.0,0.008,256.0,,24.74,24.74,24.74
157,158,[USER-base](https://huggingface.co/deepvk/USER-base),100%,0.388,0.427,768.0,512.0,27.22,27.22,27.22
158,159,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️ NA,0.004,0.016,384.0,512.0,25.64,25.64,25.64
159,160,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),94%,0.0,0.102,256.0,,24.38,24.38,24.38
160,161,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),94%,0.004,0.016,384.0,512.0,24.85,24.85,24.85
161,162,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),94%,0.0,0.103,256.0,,24.12,24.12,24.12
162,163,[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/),100%,,,1024.0,32000.0,,,
163,164,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),⚠️ NA,0.304,0.335,1024.0,512.0,23.49,23.49,23.49
164,165,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),100%,0.003,0.029,312.0,2048.0,21.26,21.26,21.26
165,166,[German_Semantic_STS_V2](https://huggingface.co/aari1995/German_Semantic_STS_V2),⚠️ NA,0.304,0.336,1024.0,512.0,21.8,21.8,21.8
166,167,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),100%,0.017,0.033,512.0,8192.0,13.45,13.45,13.45
167,168,[silma-embeddding-matryoshka-v0.1](https://huggingface.co/silma-ai/silma-embeddding-matryoshka-v0.1),⚠️ NA,0.086,0.135,768.0,512.0,15.75,15.75,15.75
168,169,[voyage-large-2-instruct](https://blog.voyageai.com/2024/05/05/voyage-large-2-instruct-instruction-tuned-and-rank-1-on-mteb/),100%,,,1024.0,16000.0,,,
169,170,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100%,0.114,0.137,768.0,8192.0,10.7,10.7,10.7
170,171,[rubert-tiny2](https://huggingface.co/cointegrated/rubert-tiny2),100%,0.003,0.029,312.0,2048.0,14.35,14.35,14.35
171,172,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100%,0.086,0.135,768.0,512.0,12.74,12.74,12.74
172,173,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),⚠️ NA,,0.099,1024.0,512.0,10.63,10.63,10.63
173,174,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100%,0.086,0.109,768.0,514.0,13.12,13.12,13.12
174,175,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100%,0.086,0.163,768.0,512.0,9.19,9.19,9.19
175,176,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100%,0.015,0.107,768.0,512.0,11.29,11.29,11.29
176,177,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),100%,0.68,1.065,,,,,
