,Model,AILAStatutes,ArguAna,BelebeleRetrieval,CovidRetrieval,HagridRetrieval,LEMBPasskeyRetrieval,LegalBenchCorporateLobbying,MIRACLRetrievalHardNegatives,MLQARetrieval,SCIDOCS,SpartQA,StackOverflowQA,StatcanDialogueDatasetRetrieval,TRECCOVID,TempReasonL1,TwitterHjerneRetrieval,WikipediaRetrievalMultilingual,WinoGrande
10,F2LLM-v2-8B,44.979,63.0,83.57542819148935,79.544,98.896,84.75,94.78,64.9336111111111,78.10036734693877,27.97,15.228,97.04899999999999,48.71475,58.647000000000006,1.722,84.405,91.080125,73.25500000000001
11,Seed1.6-embedding-1215,26.699,80.638,79.00444414893617,85.765,98.896,99.25,95.69,59.23827777777778,82.47273469387754,25.826999999999998,20.477,97.2,39.23375,61.934999999999995,2.758,65.16199999999999,91.80987499999999,76.763
12,harrier-oss-v1-0.6b,37.692,64.987,77.4189255319149,83.566,98.836,76.75,94.247,66.35294444444445,72.9975306122449,23.365,84.68900000000001,93.694,47.01375,86.952,31.91,64.34,85.075625,83.684
13,pplx-embed-v1-0.6b,59.838,65.935,72.85500797872339,77.374,98.76899999999999,76.75,94.363,68.56183333333334,78.98453061224488,22.829,9.171999999999999,90.652,41.137,85.90100000000001,1.432,70.042,90.9783125,71.851
14,jina-embeddings-v4,50.131,66.962,74.28991755319149,80.182,98.822,69.75,94.844,62.924722222222215,74.89959183673469,21.476,30.240000000000002,91.429,58.06825,80.35799999999999,1.323,84.38,88.46181250000001,67.268
15,F2LLM-v2-4B,40.461000000000006,62.393,81.08053989361701,78.90700000000001,98.822,84.5,94.48100000000001,63.804944444444445,77.2,26.771,12.76,96.748,48.644,57.69800000000001,1.46,81.71000000000001,90.7996875,68.819
16,harrier-oss-v1-270m,35.687999999999995,63.632,73.95702127659575,81.599,98.896,82.75,94.238,62.17700000000001,67.58082653061224,21.468999999999998,60.592,89.605,39.607000000000006,82.102,18.275,60.126000000000005,84.341625,78.175
17,jina-embeddings-v5-text-small,53.300000000000004,65.071,77.51298670212765,80.104,98.76899999999999,80.5,93.997,66.58633333333334,77.58764285714285,23.04,11.454,93.394,46.2555,78.486,0.928,71.545,90.5845625,58.647000000000006
18,voyage-3,42.489,60.955999999999996,76.53593882978723,88.471,98.61999999999999,94.75,94.543,57.66877777777778,75.68997959183675,21.429000000000002,10.728,94.33500000000001,49.17075,80.46,1.233,86.646,89.7291875,67.744
19,voyage-3.5,47.821000000000005,50.827,75.57094680851064,80.456,98.97,96.5,95.318,59.24761111111111,75.78317346938775,21.343999999999998,6.551,94.657,42.98075,80.949,1.555,85.327,92.24962500000001,46.044000000000004
20,Qwen3-Embedding-0.6B,79.018,70.965,68.73828457446808,84.761,98.758,84.75,94.517,61.22650000000001,72.78776530612244,24.407,10.585,89.994,33.633,90.518,1.022,60.040000000000006,87.133875,50.792
21,gte-Qwen2-7B-instruct,33.765,54.565,77.5392420212766,81.041,99.045,38.5,95.21,51.58155555555556,78.69177551020408,23.48,18.777,84.345,37.8685,80.374,2.177,68.635,88.971875,66.808
22,gte-Qwen2-1.5B-instruct,34.886,69.72,66.58554521276596,80.794,98.694,38.25,94.843,63.227944444444454,72.89005102040817,24.976000000000003,18.627,90.274,33.253,85.382,1.3259999999999998,67.008,87.7718125,65.61099999999999
23,Linq-Embed-Mistral,39.228,69.649,70.57427659574469,74.663,98.896,37.75,95.379,55.336055555555554,70.46224489795918,21.932,8.408,91.709,46.9695,87.09700000000001,4.601999999999999,40.841,90.7656875,52.068999999999996
24,voyage-3-large,52.196,66.777,80.17622074468085,,98.822,96.75,96.958,60.075555555555546,83.24698979591835,27.226,5.365,95.704,50.618249999999996,81.405,2.856,85.971,92.88618749999999,45.303
25,BidirLM-Omni-2.5B-Embedding,40.505,57.044,75.15075,81.28,98.832,48.0,95.157,63.76527777777778,74.8038775510204,23.317,4.661,94.11,38.471500000000006,80.887,1.6500000000000001,75.634,87.49675,57.984
26,jina-embeddings-v5-text-nano,51.516,65.699,75.3111170212766,78.03,98.78099999999999,81.5,94.524,65.80394444444445,77.03260204081633,22.604,6.277000000000001,92.337,33.052749999999996,77.601,1.238,74.015,89.95456250000001,53.405
27,embeddinggemma-300m,37.374,71.53500000000001,72.38063829787235,78.934,98.919,60.75000000000001,95.07600000000001,66.19755555555555,78.94633673469389,18.429000000000002,10.676,86.473,46.26625,80.35,0.9979999999999999,72.04,89.9950625,59.402
28,zembed-1,37.851,49.516,77.74963829787234,80.30199999999999,99.02499999999999,94.5,95.00800000000001,59.66838888888889,77.48037755102041,22.220000000000002,3.8850000000000002,92.57300000000001,47.886250000000004,78.39399999999999,1.637,77.563,90.6500625,54.413
29,NV-Embed-v2,31.582,70.074,69.79431648936169,59.205,98.896,42.75,95.203,55.542388888888894,70.61384693877551,21.901,11.514000000000001,92.931,19.5475,88.851,6.503,45.574,90.826875,49.74
30,F2LLM-v2-1.7B,33.36,60.23500000000001,78.06917021276595,76.968,98.87,85.0,94.662,62.77405555555555,75.50925510204081,23.907999999999998,16.558999999999997,95.667,38.01575,54.208,1.1560000000000001,79.298,90.0908125,51.07000000000001
31,inf-retriever-v1-1.5b,34.69,81.503,66.05966755319149,86.711,98.646,77.25,95.004,62.34755555555556,72.93028571428573,26.337,8.564,91.315,31.310499999999998,72.363,1.1769999999999998,70.459,88.92824999999999,67.738
32,SFR-Embedding-Mistral,37.467,67.171,69.59641489361702,73.06700000000001,98.822,29.75,94.83200000000001,58.410666666666664,69.3089081632653,19.908,8.807,92.278,46.63700000000001,87.599,3.592,76.062,90.9736875,45.645
33,GritLM-7B,41.8,63.171,71.70350531914895,73.40100000000001,98.673,38.25,94.999,51.67933333333333,72.74202040816327,24.409,9.354999999999999,93.367,45.75875,74.313,7.164,43.266,91.7721875,53.696999999999996
34,text-embedding-3-large,41.85,57.992,68.79388031914894,68.432,99.045,69.75,95.222,56.93777777777779,73.24698979591837,23.071,7.4399999999999995,92.43900000000001,31.098,79.562,2.1260000000000003,82.489,89.242875,29.110000000000003
35,gte-Qwen1.5-7B-instruct,31.461,62.644999999999996,59.946167553191486,80.87299999999999,98.747,38.25,94.513,42.85888888888889,70.11052040816325,27.694000000000003,16.955000000000002,91.01700000000001,35.308499999999995,72.72,1.8399999999999999,64.255,85.80393749999999,64.79899999999999
36,BOOM_4B_v1,39.17,57.925000000000004,77.27886436170212,80.065,98.92999999999999,85.0,94.48299999999999,65.59322222222222,77.25994897959183,11.06,7.167,93.418,49.370000000000005,83.06,1.005,75.323,90.985625,32.651
37,BidirLM-1.7B-Embedding,35.252,55.391999999999996,74.85209308510639,82.92500000000001,98.646,38.5,94.348,66.08583333333333,73.08041836734694,22.131,9.195,93.157,37.62675,82.46,0.745,73.547,85.8470625,55.003
38,SFR-Embedding-2_R,41.682,56.592,65.65772606382978,72.05,98.572,37.75,93.563,46.74411111111112,65.08361224489796,24.687,8.838,92.378,48.161750000000005,88.437,2.983,77.4,90.1375,32.1
39,GritLM-8x7B,39.044000000000004,59.538999999999994,70.57933776595745,71.435,98.721,37.75,94.312,48.838888888888896,71.14567346938775,23.247999999999998,8.657,86.211,33.925,81.357,3.6350000000000002,79.321,89.9813125,37.968
40,F2LLM-v2-0.6B,31.887999999999998,59.252,72.66673138297872,77.271,98.84100000000001,82.25,94.758,59.62905555555555,72.38613265306122,22.189,14.771999999999998,94.34700000000001,32.03625,49.821,1.329,71.348,88.24175,44.342999999999996
41,NV-Embed-v1,42.902,68.205,65.50401861702127,58.094,98.896,42.5,95.06400000000001,48.757666666666665,71.02973469387754,20.19,3.9530000000000003,92.61,18.84575,85.883,3.443,45.521,90.164125,20.143
42,Cohere-embed-multilingual-v3.0,29.692,55.105000000000004,81.08666755319149,77.121,98.84100000000001,38.25,93.758,68.03383333333333,76.07983673469387,19.339000000000002,4.658,89.415,24.20775,83.372,0.909,76.754,90.87112499999999,58.44200000000001
43,e5-mistral-7b-instruct,34.535,61.653000000000006,68.28947074468086,73.111,98.795,30.75,94.60300000000001,58.02816666666666,67.0686836734694,16.314999999999998,10.035,91.018,44.826,87.034,3.595,33.405,90.9265,39.513999999999996
44,jasper_en_vision_language_v1,31.923000000000002,65.204,62.011976063829785,73.553,98.543,62.25000000000001,94.383,27.725055555555556,66.5655918367347,24.637999999999998,10.635,85.675,35.5805,86.732,1.3010000000000002,34.564,83.2000625,47.656
45,multilingual-e5-large-instruct,29.659000000000002,58.47599999999999,80.91880585106382,75.798,98.678,37.75,94.25,57.71855555555556,76.16448979591837,19.238,13.536999999999999,85.816,33.67,82.509,1.197,36.855,91.59349999999999,54.272
46,snowflake-arctic-embed-l-v2.0,22.82,59.11,74.0231675531915,78.526,98.687,77.25,93.8,66.53066666666666,73.0980612244898,20.276,5.736,86.938,19.058249999999997,83.633,1.0030000000000001,44.523,90.495125,55.034000000000006
47,text-multilingual-embedding-002,34.902,53.81399999999999,79.92118085106384,74.239,99.128,69.0,93.08,59.35222222222223,71.05305102040816,17.96,0.05,89.823,29.9595,81.452,1.208,91.255,88.8990625,39.211
48,stella_en_1.5B_v5,28.124,57.06,60.11458244680852,78.28500000000001,98.721,38.25,94.676,20.902277777777776,62.26880612244897,26.769,4.390000000000001,89.52,37.43725,83.842,1.429,45.019,78.904375,45.327
49,voyage-3-lite,35.032999999999994,60.138999999999996,71.11597340425531,74.909,98.69200000000001,84.75,94.528,48.65950000000001,68.4669387755102,19.119,0.45199999999999996,89.412,28.27925,76.499,1.849,72.655,89.11274999999999,41.167
50,KaLM-embedding-multilingual-mini-v1,34.71,56.713,67.45883776595744,82.09100000000001,98.598,38.5,92.95400000000001,55.75344444444445,72.0082857142857,20.241,10.569,92.367,33.59725,78.374,1.963,23.294999999999998,85.872,29.914
51,BidirLM-0.6B-Embedding,28.538000000000004,52.744,66.1115585106383,81.26100000000001,98.847,38.5,93.124,62.63633333333334,66.15711224489796,21.549,5.856,90.86800000000001,37.3915,81.52199999999999,0.42300000000000004,64.169,83.918875,42.55
52,snowflake-arctic-embed-m-v2.0,28.114,57.877,61.30694148936171,70.42500000000001,98.847,57.99999999999999,93.523,61.476166666666664,62.3029081632653,20.321,3.746,90.679,21.589,80.342,0.985,23.334,87.8250625,66.334
53,F2LLM-v2-330M,26.226,58.01,69.90965425531914,75.478,98.694,76.25,93.73599999999999,57.876888888888885,69.79959183673469,19.936,13.135,92.002,24.535,52.932,1.325,64.56,87.637,34.897
54,BidirLM-1B-Embedding,33.018,54.11,76.57920744680851,79.76100000000001,98.707,38.5,92.491,65.5753888888889,72.71541836734694,20.834,1.657,88.935,30.747999999999998,82.931,0.248,68.839,85.9220625,26.174999999999997
55,text-embedding-3-small,28.335,55.486000000000004,55.409470744680846,61.06700000000001,98.78099999999999,38.5,93.903,27.242,55.47270408163265,20.796999999999997,6.627,88.672,24.116,77.903,2.348,70.883,75.321,31.526
56,Solon-embeddings-large-0.1,28.919,56.925000000000004,79.45721542553193,71.261,98.84100000000001,34.75,92.752,58.13311111111111,74.07529591836735,20.430999999999997,2.506,86.063,21.712500000000002,61.867000000000004,1.076,75.412,90.80612500000001,47.455999999999996
57,gte-multilingual-base,33.572,58.284000000000006,89.199,80.61399999999999,98.545,55.50000000000001,90.547,64.17405555555555,72.1895918367347,18.257,5.286,87.081,21.7355,57.668,1.084,68.92,83.999,42.207
58,KaLM-embedding-multilingual-mini-instruct-v1,37.6,56.569,58.06740691489362,82.76599999999999,98.646,54.75,85.9,28.169222222222224,50.937673469387754,20.429,7.4910000000000005,92.801,21.42125,79.536,1.583,34.227000000000004,79.9549375,24.248
59,Cohere-embed-english-v3.0,26.381,61.521,35.39927925531915,27.82,98.694,38.5,93.642,23.155333333333335,27.407938775510203,20.314,3.743,89.352,23.5,81.919,1.5070000000000001,41.637,64.91612500000001,57.935
60,Cohere-embed-multilingual-light-v3.0,29.119,53.369,72.37323138297873,72.969,98.753,38.0,92.636,63.28211111111111,66.72688775510204,17.1,5.402,81.46600000000001,22.624499999999998,78.93,0.9450000000000001,60.683,88.02025,61.865
61,bilingual-embedding-large,25.162000000000003,55.888000000000005,80.55823138297873,73.348,98.694,38.5,93.074,51.17761111111112,73.96082653061225,18.829,6.0089999999999995,89.398,33.481,52.92,1.111,73.114,88.673875,37.977
62,multilingual-e5-large,20.842,54.357,77.90888563829787,75.614,98.91,38.25,89.716,59.229,75.66102040816327,17.447,5.645,88.89,10.62875,71.15,1.1440000000000001,35.219,91.112,54.98499999999999
63,bge-m3,29.042,54.038,78.1585505319149,77.512,98.76899999999999,59.0,90.342,69.59111111111112,74.80581632653062,16.308,7.492,80.597,21.86025,54.852000000000004,0.989,37.823,89.87475,41.723
64,jina-embeddings-v3,32.773,43.288,73.41020212765957,78.546,98.694,38.0,93.431,62.57661111111111,73.39366326530613,19.919999999999998,0.65,90.794,39.196999999999996,77.742,0.575,73.015,89.13481250000001,18.57
65,F2LLM-v2-160M,26.905,54.010999999999996,62.87028989361703,72.488,98.694,69.0,91.51899999999999,52.16405555555556,65.04422448979592,17.548,14.484,87.356,21.51075,54.333,1.1780000000000002,57.25,83.9498125,43.16
66,granite-embedding-278m-multilingual,26.081,55.24400000000001,62.19613829787234,58.044,98.61999999999999,38.5,91.316,59.44894444444445,62.98780612244899,17.721,10.924,78.45,30.14,68.573,0.8920000000000001,34.977000000000004,85.0581875,60.376
67,UAE-Large-V1,24.455,66.14999999999999,30.494992021276595,19.997999999999998,98.836,37.5,92.002,18.75877777777778,22.7939693877551,22.980999999999998,2.503,82.092,21.875999999999998,76.271,1.614,13.116,56.73106249999999,53.605000000000004
68,GIST-large-Embedding-v0,30.302,63.38,31.116768617021272,18.505,98.847,37.5,93.04599999999999,14.544166666666666,23.013571428571428,24.062,4.704,82.187,26.048499999999997,69.12700000000001,1.4789999999999999,15.062999999999999,55.350875,39.068999999999996
69,bge-m3-custom-fr,22.264,51.591,75.82951595744682,67.96,98.76899999999999,75.75,91.53999999999999,61.40227777777778,69.27666326530613,14.024000000000001,10.456,80.171,17.3725,44.867000000000004,1.01,31.471,89.52875,55.444
70,snowflake-arctic-embed-l,27.365000000000002,59.086000000000006,31.208662234042556,1.8800000000000001,98.795,38.5,93.43599999999999,18.58627777777778,24.280020408163264,21.361,0.65,89.673,21.021,80.716,1.73,7.392,54.82225,43.3
71,multilingual-e5-base,20.371,44.206,70.72227925531915,73.482,98.76599999999999,38.25,88.968,62.76438888888889,70.24126530612244,17.168,7.914000000000001,85.113,13.721,69.492,0.7230000000000001,42.163000000000004,88.75087500000001,56.177
72,snowflake-arctic-embed-s,27.328000000000003,56.874,28.131263297872337,0.13899999999999998,98.901,38.5,93.463,16.855666666666664,19.822326530612244,19.42,2.786,83.047,22.0465,81.388,1.693,17.928,51.3020625,57.422
73,mxbai-embed-large-v1,24.754,65.469,29.74103989361702,18.701999999999998,98.836,35.75,91.814,17.78,22.39379591836735,23.101,1.51,80.874,19.128999999999998,75.53,1.59,15.540999999999999,54.9699375,47.988
74,stella_en_400M_v5,31.608000000000004,60.9,36.112074468085105,15.857,98.4,36.0,93.586,10.086611111111111,27.44561224489796,23.224,4.082,85.492,41.96475,76.64800000000001,0.951,27.671,55.54956250000001,40.827999999999996
75,e5-large-v2,17.633,46.427,33.899255319148935,19.586000000000002,98.97,38.5,91.495,16.577,26.141479591836735,20.498,10.366,89.929,16.9745,66.636,1.7659999999999998,8.533,65.5714375,51.524
76,bilingual-embedding-base,19.904,51.867,75.6231755319149,72.64699999999999,98.69200000000001,38.5,89.604,53.951611111111106,71.42401020408164,16.927,6.3229999999999995,84.22,16.515,49.443,0.768,64.751,86.87587500000001,55.18300000000001
77,granite-embedding-125m-english,30.845,58.401,33.373755319148934,2.9819999999999998,98.78099999999999,38.75,92.245,16.346333333333334,22.901714285714288,24.146,0.638,89.846,30.71375,69.259,1.434,5.915,52.696875,37.477
78,snowflake-arctic-embed-m-v1.5,28.101,59.53000000000001,28.49975265957447,8.654,98.92999999999999,35.5,94.286,16.080499999999997,21.599642857142857,21.490000000000002,0.213,89.617,23.1155,84.634,1.2349999999999999,4.716,49.5569375,30.717
79,nomic-embed-text-v1-unsupervised,23.055999999999997,54.812000000000005,32.40088031914893,19.467000000000002,98.471,48.5,93.69,14.851666666666668,23.698979591836736,20.169999999999998,6.9,75.436,22.869,62.202999999999996,1.6789999999999998,14.506,63.208625,55.998000000000005
80,snowflake-arctic-embed-m-long,21.624,60.364,30.272880319148936,0.4,98.847,36.0,93.313,12.649055555555556,22.7235,20.47,2.574,89.846,10.3455,81.69800000000001,1.5699999999999998,11.559,48.369625,64.711
81,nomic-embed-text-v1-ablated,18.298000000000002,54.662,29.846502659574465,21.562,98.843,39.75,92.352,15.902222222222223,21.439857142857143,18.695999999999998,5.854,73.40100000000001,15.23475,82.312,1.273,30.217,61.260437499999995,52.473000000000006
82,F2LLM-v2-80M,18.766,51.437,57.66729255319149,70.206,98.471,53.25,92.227,49.03911111111111,61.16840816326531,17.299,14.999,84.226,16.19125,54.995000000000005,1.312,46.683,80.6944375,33.664
83,snowflake-arctic-embed-m,29.624,56.436,30.823061170212767,0.8540000000000001,98.836,38.0,93.715,16.16738888888889,22.398051020408165,21.096999999999998,0.358,90.591,21.13525,79.646,1.17,8.05,52.8940625,46.056000000000004
84,bge-large-en-v1.5,23.063,64.51599999999999,30.672239361702125,17.176,98.76899999999999,36.75,90.767,18.485555555555557,22.989244897959185,22.63,2.993,83.072,21.005499999999998,74.696,1.459,14.726,59.013312500000005,19.183
85,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,30.214000000000002,57.483,38.869819148936166,8.39,98.69200000000001,14.75,81.542,29.232888888888887,39.833224489795924,22.497,2.145,79.02799999999999,40.58,77.69200000000001,0.718,18.224999999999998,77.665875,57.74700000000001
86,Cohere-embed-english-light-v3.0,25.724000000000004,50.806,29.534380319148934,23.796,98.63199999999999,35.75,91.552,18.616944444444446,21.793602040816324,18.098,3.662,81.777,20.4975,79.364,1.4409999999999998,32.422000000000004,56.0791875,62.405
87,GIST-Embedding-v0,27.535999999999998,62.62,29.35283510638298,18.898,98.78099999999999,21.0,92.662,12.94161111111111,20.389142857142854,23.469,2.637,81.159,24.329,69.60300000000001,1.224,13.799,51.7049375,40.046
88,bge-base-en-v1.5,23.346,63.751999999999995,29.37189361702128,23.207,98.829,18.000000000000004,91.672,17.404222222222224,20.76330612244898,21.725,3.367,80.228,22.52825,78.02900000000001,1.073,31.509999999999998,56.41437500000001,13.761999999999999
89,BidirLM-270M-Embedding,22.436,50.855,56.67020478723405,75.854,98.76899999999999,35.75,93.171,55.81027777777777,59.101214285714285,18.071,2.783,78.934,21.01175,76.424,0.128,48.78,80.8283125,2.0060000000000002
90,e5-base-v2,19.608999999999998,44.568000000000005,31.84071542553192,14.883,98.698,38.0,91.916,15.045444444444446,24.456714285714288,18.681,7.840999999999999,87.849,15.96025,69.633,1.735,39.628,61.5363125,46.989
91,bilingual-embedding-small,25.879,53.593999999999994,70.73439361702127,72.7,98.74199999999999,38.25,91.12700000000001,47.06183333333334,66.6303163265306,16.203,3.025,75.57300000000001,16.286,46.788999999999994,0.8370000000000001,38.095,85.6656875,44.663000000000004
92,granite-embedding-107m-multilingual,21.668000000000003,51.663000000000004,55.115630319148934,59.721000000000004,98.694,28.250000000000004,89.43900000000001,57.24788888888889,60.47348979591837,17.380000000000003,8.652,66.57600000000001,27.499249999999996,62.815,0.709,17.061,81.87675,60.524
93,USER-bge-m3,26.69,49.951,91.67266666666666,0.121,98.76899999999999,60.75000000000001,90.594,30.494944444444442,28.441846938775512,16.154,7.582,79.292,20.33625,51.01599999999999,0.901,21.387,72.5034375,32.792
94,gte-large,23.233,57.158,32.32109840425532,19.652,98.673,38.0,91.462,16.405444444444445,23.400704081632654,23.44,1.696,82.489,8.951250000000002,70.22,1.617,23.332,58.7901875,17.335
95,baseline-bm25s,21.618000000000002,49.275999999999996,36.866821808510636,15.245000000000001,97.619,100.0,90.946,25.409,21.06861224489796,15.783,21.435000000000002,70.26,6.053,62.314,1.1320000000000001,25.955000000000002,78.0714375,55.443
96,e5-large,22.899,49.352000000000004,31.265021276595746,4.01,98.604,38.5,91.608,16.487111111111112,23.109520408163263,20.116999999999997,1.745,82.84700000000001,12.32875,78.31700000000001,1.7389999999999999,8.658000000000001,60.48525,50.999
97,GIST-small-Embedding-v0,31.625999999999998,59.12,25.004784574468086,16.297,98.76899999999999,26.75,91.446,10.569666666666668,18.040336734693877,21.889,4.807,74.494,24.9085,69.14,1.447,15.084,46.1924375,34.44
98,e5-small-v2,20.214,41.794,28.173813829787235,18.663,98.772,38.0,91.46600000000001,14.849666666666666,20.453551020408163,17.714,13.83,83.53,11.463499999999998,74.373,1.51,30.469,55.025124999999996,48.562
99,multilingual-e5-small,19.011,39.088,66.2927579787234,72.821,98.545,38.25,89.474,60.0925,63.84725510204081,13.896,5.431,81.94200000000001,10.32975,72.287,0.795,58.176,88.66199999999999,37.464
100,NoInstruct-small-Embedding-v0,28.410999999999998,57.593,25.437784574468086,21.477,98.76899999999999,30.75,91.852,12.64033333333333,17.94041836734694,21.823,0.5910000000000001,73.456,23.5155,80.118,1.124,11.558,48.054125000000006,35.429
101,MedEmbed-small-v0.1,23.633000000000003,61.587,25.42809042553192,15.128,98.843,15.75,91.864,13.630722222222225,18.335051020408162,20.278,3.212,75.601,11.78125,77.699,1.4080000000000001,16.8,52.291062499999995,9.621
102,granite-embedding-30m-english,19.67,56.355999999999995,28.302196808510637,2.421,98.832,38.5,91.75,12.8445,20.48645918367347,22.542,4.634,83.92699999999999,21.044500000000003,63.098,1.0030000000000001,5.737,45.3113125,39.21
103,bge-small-en-v1.5,23.005,60.348,25.962023936170215,14.968,98.76899999999999,21.0,90.315,15.878166666666665,18.92626530612245,20.518,3.553,78.046,14.22775,75.52499999999999,1.415,27.246,52.628750000000004,10.283000000000001
104,sentence_croissant_alpha_v0.4,22.533,52.089,34.4078829787234,24.07,98.322,30.75,89.154,16.768833333333333,29.398153061224484,15.231,6.311,77.473,16.21625,60.495,1.8689999999999998,8.459999999999999,60.179125,46.556999999999995
105,gte-base,22.275,57.12199999999999,29.971271276595747,19.123,98.63199999999999,31.0,91.814,14.44311111111111,21.160714285714285,23.132,2.879,80.54599999999999,11.523,68.783,1.22,7.866,55.542125,8.359
106,gte-small,24.066000000000003,55.440999999999995,27.277037234042556,23.535,98.694,35.25,92.007,14.92511111111111,19.401612244897958,21.382,2.9690000000000003,78.119,6.31125,66.52900000000001,1.518,13.353000000000002,53.64656250000001,13.309000000000001
107,paraphrase-multilingual-mpnet-base-v2,22.236,48.908,54.39205585106382,28.852,98.519,7.75,87.617,27.19388888888889,61.162285714285716,13.965,5.686,43.111,18.9505,37.872,1.939,36.681000000000004,71.79181249999999,49.013
108,e5-base,17.721999999999998,51.410999999999994,29.298090425531914,1.6400000000000001,98.471,35.0,89.47500000000001,14.0755,20.333561224489795,18.990000000000002,3.173,81.659,10.786500000000002,79.63799999999999,1.532,16.781,56.395875,51.983000000000004
109,sentence_croissant_alpha_v0.3,22.549,44.385000000000005,34.71818617021277,29.787999999999997,98.68299999999999,27.500000000000004,89.96300000000001,17.084944444444446,28.69707142857143,15.312999999999999,8.497,75.374,12.1565,60.587,1.849,7.462000000000001,60.561437500000004,35.619
110,jina-embedding-b-en-v1,23.112,49.006,56.108000000000004,0.077,98.996,38.0,89.243,12.6855,20.20637755102041,17.626,6.991,77.214,13.978750000000002,60.571,0.656,4.186999999999999,59.888,54.767999999999994
111,snowflake-arctic-embed-xs,23.363999999999997,52.081,23.103061170212765,0.542,98.91499999999999,24.5,92.72399999999999,14.019222222222222,16.823489795918366,18.355,3.013,82.76299999999999,17.5785,79.431,1.126,6.904000000000001,44.084,34.811
112,nomic-embed-text-v1,16.255,49.258,28.523074468085102,18.656,98.397,24.25,92.732,12.040611111111112,20.72565306122449,18.293,6.268999999999999,70.958,14.597,79.923,1.5879999999999999,13.513,56.2760625,44.564
113,Euler-Legal-Embedding-V1,90.03,73.971,89.0886170212766,,,,95.332,,78.90493877551022,28.316999999999997,3.9919999999999995,95.635,43.114,90.513,1.248,,91.1414375,42.044
114,stella-base-en-v2,19.698,60.626999999999995,27.96265159574468,14.017,98.836,17.5,91.205,11.15788888888889,19.45161224489796,18.583,6.801,78.807,19.3615,64.792,0.91,9.708,50.11331249999999,25.429000000000002
115,e5-small,20.782999999999998,46.693,26.04653989361702,1.5070000000000001,98.545,37.75,90.205,13.996111111111109,18.61634693877551,16.419,4.315,71.501,7.65425,76.777,1.704,19.154,54.1130625,46.726
116,static-similarity-mrl-multilingual-v1,16.628999999999998,44.107,37.77348404255319,45.659,97.271,100.0,85.336,18.841444444444445,41.302867346938775,10.891,15.681000000000001,50.102000000000004,3.0182499999999997,35.368,0.898,24.82,65.7781875,48.285
117,Arabic-all-nli-triplet-Matryoshka,19.511,43.974999999999994,54.61790691489361,33.562999999999995,98.519,11.25,83.769,29.272944444444445,59.7200612244898,12.864999999999998,3.9579999999999997,30.623,11.894499999999999,38.51,1.9140000000000001,33.225,76.68424999999999,48.617
