,Model,MIRACLRetrievalHardNegatives
125,GIST-Embedding-v0,23.646
126,Wartortle,23.366
127,static-similarity-mrl-multilingual-v1,23.188
128,LaBSE,23.073
129,Squirtle,22.527
130,granite-embedding-30m-english,22.496
131,gte-micro,22.242
132,e5-large-v2,21.808
133,multi-qa-MiniLM-L6-cos-v1,21.706
134,GIST-large-Embedding-v0,21.604
135,NoInstruct-small-Embedding-v0,21.519
136,nomic-embed-text-v1,21.512999999999998
137,potion-multilingual-128M,20.272000000000002
138,ru-en-RoSBERTa,19.77
139,jina-embedding-b-en-v1,19.726
140,LaBSE-ru-turbo,19.659
141,all-MiniLM-L12-v2,19.378999999999998
142,bge-base-zh-v1.5,19.274
143,stella-base-en-v2,19.244
144,GIST-small-Embedding-v0,18.729000000000003
145,nomic-embed-text-v1.5,18.38
146,static-retrieval-mrl-en-v1,18.329
147,jina-embedding-s-en-v1,17.51
148,jasper_en_vision_language_v1,17.410999999999998
149,paraphrase-multilingual-mpnet-base-v2,17.236
150,slx-v0.1,17.11
151,all-MiniLM-L6-v2,17.11
152,stella_en_1.5B_v5,16.023
153,Arabic-all-nli-triplet-Matryoshka,15.758
154,sentence_croissant_alpha_v0.3,15.302
155,M2V_multilingual_output,14.707
156,sentence_croissant_alpha_v0.4,14.698
157,Arabic-MiniLM-L12-v2-all-nli-triplet,14.194
158,stella_en_400M_v5,13.827
159,gte-base-en-v1.5,13.71
160,all-mpnet-base-v2,13.535
161,bge-large-zh-v1.5,12.623000000000001
162,e5-base-4k,12.556000000000001
163,GIST-all-MiniLM-L6-v2,11.975
164,mmlw-roberta-base,11.732
165,sentence_croissant_alpha_v0.2,11.558
166,mmlw-e5-base,11.515
167,paraphrase-multilingual-MiniLM-L12-v2,11.036
168,M2V_base_glove_subword,10.678
169,potion-base-8M,10.577
170,LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,10.375
171,rubert-tiny-turbo,9.462
172,potion-base-4M,9.397
173,bge-small-zh-v1.5,9.341000000000001
174,M2V_base_glove,9.278
175,arabic-english-sts-matryoshka,9.048
176,embedder-100p,9.007
177,M2V_base_output,8.828999999999999
178,text2vec-base-multilingual,8.601
179,LaBSE-en-ru,7.822
180,USER-base,7.383000000000001
181,mmlw-e5-small,7.180000000000001
182,udever-bloom-1b1,6.9879999999999995
183,STS-multilingual-mpnet-base-v2,6.865
184,mmlw-roberta-large,6.3549999999999995
185,potion-base-2M,6.339
186,cai-lunaris-text-embeddings,5.904
187,mmlw-e5-large,5.584
188,text2vec-base-chinese,5.267
189,German_Semantic_STS_V2,3.853
190,udever-bloom-560m,2.038
191,distilrubert-small-cased-conversational,1.9529999999999998
192,Arabic-mpnet-base-all-nli-triplet,1.323
193,Arabert-all-nli-triplet-Matryoshka,1.151
194,rubert-base-cased-sentence,1.012
195,gemma-2b-embeddings,0.98
196,rubert-tiny,0.826
197,ternary-weight-embedding,0.7929999999999999
198,rubert-tiny2,0.759
199,jina-embeddings-v2-small-en,0.713
200,deberta-v1-base,0.709
201,silma-embeddding-matryoshka-v0.1,0.622
202,sbert_large_mt_nlu_ru,0.536
203,sbert_large_nlu_ru,0.179
204,rubert-base-cased,0.086
205,Marbert-all-nli-triplet-Matryoshka,0.082
206,baseline-random-encoder,0.0
207,jina-embeddings-v2-base-en,0.0
