,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
23,24,[harrier-oss-v1-0.6b](https://huggingface.co/microsoft/harrier-oss-v1-0.6b),0%,0.44,0.596,1024.0,32768.0,68.64,68.64,68.64
24,25,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,68.55,68.55,68.55
25,26,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),0%,0.022,0.118,384.0,512.0,68.48,68.48,68.48
26,27,[BidirLM-1.7B-Embedding](https://huggingface.co/BidirLM/BidirLM-1.7B-Embedding),0%,1.409,1.721,2048.0,512.0,68.46,68.46,68.46
27,28,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),0%,,,768.0,2048.0,68.38,68.38,68.38
28,29,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),0%,0.304,0.56,1024.0,514.0,68.37,68.37,68.37
29,30,[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),0%,3.634,4.022,2560.0,32768.0,68.28,68.28,68.28
30,31,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,67.78,67.78,67.78
31,32,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,0.304,0.56,1024.0,514.0,67.66,67.66,67.66
32,33,[F2LLM-v2-1.7B](https://huggingface.co/codefuse-ai/F2LLM-v2-1.7B),0%,1.41,1.721,2048.0,40960.0,67.64,67.64,67.64
33,34,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,67.13,67.13,67.13
34,35,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,66.93,66.93,66.93
35,36,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),0%,,,2048.0,32768.0,66.61,66.61,66.61
36,37,[USER-bge-m3](https://huggingface.co/deepvk/USER-base),0%,0.312,0.359,1024.0,8194.0,66.57,66.57,66.57
37,38,[harrier-oss-v1-270m](https://huggingface.co/microsoft/harrier-oss-v1-270m),0%,0.1,0.268,640.0,32768.0,66.29,66.29,66.29
38,39,[PIXIE-Rune-v1.0](https://huggingface.co/telepix/PIXIE-Rune-v1.0),0%,0.312,0.568,1024.0,6144.0,65.73,65.73,65.73
39,40,[voyage-4-lite](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,65.47,65.47,65.47
40,41,[Octen-Embedding-8B](https://huggingface.co/Octen/Octen-Embedding-8B),0%,6.946,7.567,4096.0,32768.0,65.07,65.07,65.07
41,42,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),0%,7.109,7.24,4096.0,32768.0,64.89,64.89,64.89
42,43,[Octen-Embedding-4B](https://huggingface.co/Octen/Octen-Embedding-4B),0%,3.634,4.022,2560.0,32768.0,64.15,64.15,64.15
43,44,[Octen-Embedding-8B-INT8](https://huggingface.co/Octen/Octen-Embedding-8B-INT8),0%,6.946,7.567,1024.0,32768.0,63.93,63.93,63.93
44,45,[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),⚠️ NA,0.113,0.212,768.0,8192.0,63.44,63.44,63.44
45,46,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),0%,6.98,7.111,4096.0,32768.0,63.13,63.13,63.13
46,47,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),100%,1.31,1.543,1536.0,32768.0,62.99,62.99,62.99
47,48,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,1.31,1.543,8960.0,32768.0,62.7,62.7,62.7
48,49,[Octen-Embedding-4B-INT8](https://huggingface.co/Octen/Octen-Embedding-4B-INT8),0%,3.634,4.022,1024.0,32768.0,62.26,62.26,62.26
49,50,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),0%,6.98,7.111,4096.0,32768.0,62.16,62.16,62.16
50,51,[F2LLM-v2-0.6B](https://huggingface.co/codefuse-ai/F2LLM-v2-0.6B),0%,0.441,0.596,1024.0,40960.0,62.09,62.09,62.09
51,52,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),100%,0.086,0.278,768.0,514.0,62.01,62.01,62.01
52,53,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),0%,6.98,7.111,4096.0,32768.0,61.88,61.88,61.88
53,54,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),⚠️ NA,0.44,0.596,1024.0,32768.0,61.79,61.79,61.79
54,55,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),0%,0.086,0.278,768.0,512.0,61.27,61.27,61.27
55,56,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,60.84,60.84,60.84
56,57,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),100%,3.624,3.935,2048.0,32768.0,59.95,59.95,59.95
57,58,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),100%,0.316,0.572,1024.0,8194.0,59.61,59.61,59.61
58,59,[BOOM_4B_v1](https://huggingface.co/ICT-TIME-and-Querit/BOOM_4B_v1),0%,3.633,4.022,2560.0,32768.0,59.53,59.53,59.53
59,60,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),100%,0.304,0.56,1024.0,514.0,59.36,59.36,59.36
60,61,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,1024.0,32000.0,59.18,59.18,59.18
61,62,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),0%,0.011,0.107,384.0,512.0,59.11,59.11,59.11
62,63,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),0%,0.358,0.494,896.0,512.0,58.99,58.99,58.99
63,64,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),0%,7.719,7.85,4096.0,32768.0,58.91,58.91,58.91
64,65,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),⚠️ NA,,,1536.0,128000.0,58.28,58.28,58.28
65,66,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,58.19,58.19,58.19
66,67,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),100%,6.526,7.069,3584.0,32768.0,57.93,57.93,57.93
67,68,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),0%,0.312,0.568,1024.0,8192.0,57.3,57.3,57.3
68,69,[F2LLM-v2-330M](https://huggingface.co/codefuse-ai/F2LLM-v2-330M),0%,0.198,0.334,896.0,40960.0,57.28,57.28,57.28
69,70,[BidirLM-0.6B-Embedding](https://huggingface.co/BidirLM/BidirLM-0.6B-Embedding),0%,0.44,0.596,1024.0,512.0,57.19,57.19,57.19
70,71,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),0%,13.0,57.92,32768.0,32768.0,56.73,56.73,56.73
71,72,[BidirLM-Omni-2.5B-Embedding](https://huggingface.co/BidirLM/BidirLM-Omni-2.5B-Embedding),0%,2.13,2.445,2048.0,32768.0,56.72,56.72,56.72
72,73,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,55.02,55.02,55.02
73,74,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,53.88,53.88,53.88
74,75,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),100%,0.022,0.118,384.0,512.0,53.73,53.73,53.73
75,76,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),0%,0.113,0.305,768.0,8192.0,52.38,52.38,52.38
76,77,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),0%,7.719,7.85,4096.0,32768.0,51.17,51.17,51.17
77,78,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),0%,6.98,7.111,4096.0,32768.0,51.07,51.07,51.07
78,79,[F2LLM-v2-160M](https://huggingface.co/codefuse-ai/F2LLM-v2-160M),0%,0.062,0.159,640.0,40960.0,50.46,50.46,50.46
79,80,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,512.0,32000.0,50.32,50.32,50.32
80,81,[zembed-1](https://huggingface.co/zeroentropy/zembed-1),⚠️ NA,3.634,4.022,2560.0,32768.0,49.71,49.71,49.71
81,82,[BidirLM-270M-Embedding](https://huggingface.co/BidirLM/BidirLM-270M-Embedding),0%,0.1,0.268,640.0,512.0,49.19,49.19,49.19
82,83,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),0%,0.44,0.596,1024.0,32768.0,49.04,49.04,49.04
83,84,[Octen-Embedding-0.6B](https://huggingface.co/Octen/Octen-Embedding-0.6B),0%,0.44,0.596,1024.0,32768.0,48.85,48.85,48.85
84,85,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,6.526,7.069,3584.0,32768.0,47.12,47.12,47.12
85,86,[F2LLM-v2-80M](https://huggingface.co/codefuse-ai/F2LLM-v2-80M),0%,0.032,0.08,320.0,40960.0,46.7,46.7,46.7
86,87,[baseline-bm25s](https://github.com/xhluca/bm25s),⚠️ NA,,,,,40.95,40.95,40.95
87,88,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,6.477,7.099,4096.0,32768.0,38.77,38.77,38.77
88,89,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),0%,7.022,7.153,4096.0,32768.0,37.53,37.53,37.53
89,90,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),0%,0.358,0.494,896.0,512.0,36.95,36.95,36.95
90,91,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),100%,0.304,0.335,1024.0,512.0,33.72,33.72,33.72
91,92,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),100%,0.304,0.335,1024.0,512.0,33.7,33.7,33.7
92,93,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),100%,0.086,0.109,768.0,512.0,33.65,33.65,33.65
93,94,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),100%,0.086,0.109,768.0,512.0,31.78,31.78,31.78
94,95,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),100%,0.086,0.109,768.0,512.0,31.61,31.61,31.61
95,96,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),100%,0.022,0.033,384.0,512.0,31.08,31.08,31.08
96,97,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,31.01,31.01,31.01
97,98,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),100%,0.022,0.033,512.0,512.0,30.78,30.78,30.78
98,99,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100%,0.086,0.109,768.0,512.0,30.45,30.45,30.45
99,100,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100%,0.011,0.023,384.0,512.0,30.44,30.44,30.44
100,101,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),100%,0.304,0.335,1024.0,512.0,29.89,29.89,29.89
101,102,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),⚠️ NA,6.041,7.068,4096.0,,29.73,29.73,29.73
102,103,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),0%,0.028,0.048,384.0,8192.0,29.11,29.11,29.11
103,104,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,0.304,0.335,1024.0,512.0,28.77,28.77,28.77
104,105,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️ NA,0.022,0.033,384.0,512.0,28.21,28.21,28.21
105,106,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),100%,,0.137,768.0,8192.0,28.16,28.16,28.16
106,107,[e5-large](https://huggingface.co/intfloat/e5-large),100%,0.304,0.335,1024.0,512.0,27.95,27.95,27.95
107,108,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),0%,0.11,0.149,768.0,8192.0,27.77,27.77,27.77
108,109,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),100%,,0.137,768.0,8192.0,27.35,27.35,27.35
109,110,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,0.304,0.335,1024.0,512.0,27.3,27.3,27.3
110,111,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),0%,0.086,0.125,768.0,512.0,27.15,27.15,27.15
111,112,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),⚠️ NA,0.006,0.017,384.0,512.0,26.88,26.88,26.88
112,113,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,0.304,0.335,1024.0,512.0,26.53,26.53,26.53
113,114,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,0.021,0.033,384.0,512.0,26.27,26.27,26.27
114,115,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,0.086,0.109,768.0,512.0,26.16,26.16,26.16
115,116,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️ NA,0.086,0.471,768.0,512.0,25.92,25.92,25.92
116,117,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,0.011,0.023,384.0,512.0,25.77,25.77,25.77
117,118,[e5-small](https://huggingface.co/intfloat/e5-small),100%,0.021,0.033,384.0,512.0,25.66,25.66,25.66
118,119,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,1024.0,512.0,25.34,25.34,25.34
119,120,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️ NA,0.004,0.016,384.0,512.0,25.26,25.26,25.26
120,121,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),100%,0.022,0.033,384.0,512.0,25.17,25.17,25.17
121,122,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),100%,,0.137,768.0,2048.0,25.05,25.05,25.05
122,123,[e5-base](https://huggingface.co/intfloat/e5-base),100%,0.086,0.109,768.0,512.0,24.95,24.95,24.95
123,124,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,0.086,0.109,768.0,512.0,24.52,24.52,24.52
124,125,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,0.007,0.019,384.0,512.0,23.96,23.96,23.96
125,126,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),100%,0.086,0.109,768.0,512.0,23.65,23.65,23.65
126,127,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),100%,0.006,0.017,384.0,512.0,23.37,23.37,23.37
127,128,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),100%,0.0,0.108,1024.0,,23.19,23.19,23.19
128,129,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,0.086,0.471,768.0,512.0,23.07,23.07,23.07
129,130,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),100%,0.004,0.016,384.0,512.0,22.53,22.53,22.53
130,131,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),0%,0.011,0.03,384.0,512.0,22.5,22.5,22.5
131,132,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,0.006,0.017,384.0,512.0,22.24,22.24,22.24
132,133,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,0.304,0.335,1024.0,514.0,21.81,21.81,21.81
133,134,[multi-qa-MiniLM-L6-cos-v1](https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1),100%,0.011,0.023,384.0,512.0,21.71,21.71,21.71
134,135,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),100%,0.304,0.335,1024.0,512.0,21.6,21.6,21.6
135,136,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️ NA,0.022,0.033,384.0,512.0,21.52,21.52,21.52
136,137,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),100%,,0.137,768.0,8192.0,21.51,21.51,21.51
137,138,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),0%,0.0,0.128,256.0,,20.27,20.27,20.27
138,139,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),0%,0.303,0.404,1024.0,512.0,19.77,19.77,19.77
139,140,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100%,0.085,0.11,768.0,512.0,19.73,19.73,19.73
140,141,[LaBSE-ru-turbo](https://huggingface.co/sergeyzh/LaBSE-ru-turbo),100%,0.087,0.129,768.0,512.0,19.66,19.66,19.66
141,142,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100%,0.022,0.033,384.0,256.0,19.38,19.38,19.38
142,143,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),100%,0.093,0.109,768.0,512.0,19.27,19.27,19.27
143,144,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,0.086,0.109,,512.0,19.24,19.24,19.24
144,145,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),100%,0.022,0.033,384.0,512.0,18.73,18.73,18.73
145,146,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),100%,,0.137,768.0,8192.0,18.38,18.38,18.38
146,147,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),0%,0.0,0.031,1024.0,,18.33,18.33,18.33
147,148,[jina-embedding-s-en-v1](https://huggingface.co/jinaai/jina-embedding-s-en-v1),100%,0.019,0.035,512.0,512.0,17.51,17.51,17.51
148,149,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),0%,1.332,1.565,8960.0,131072.0,17.41,17.41,17.41
149,150,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,0.086,0.278,768.0,512.0,17.24,17.24,17.24
150,151,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️ NA,0.011,0.023,384.0,512.0,17.11,17.11,17.11
151,151,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100%,0.011,0.023,384.0,256.0,17.11,17.11,17.11
152,153,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),0%,1.307,1.54,8960.0,131072.0,16.02,16.02,16.02
153,154,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,0.086,0.278,768.0,514.0,15.76,15.76,15.76
154,155,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),100%,1.214,1.28,2048.0,2048.0,15.3,15.3,15.3
155,156,[M2V_multilingual_output](https://huggingface.co/minishlab/M2V_multilingual_output),⚠️ NA,0.0,0.128,256.0,,14.71,14.71,14.71
156,157,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),100%,1.214,1.28,2048.0,2048.0,14.7,14.7,14.7
157,158,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100%,0.022,0.118,384.0,512.0,14.19,14.19,14.19
158,159,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),0%,,0.435,4096.0,8192.0,13.83,13.83,13.83
159,160,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),⚠️ NA,0.113,0.137,768.0,8192.0,13.71,13.71,13.71
160,161,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100%,0.086,0.109,768.0,384.0,13.54,13.54,13.54
161,162,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),100%,0.313,0.335,1024.0,512.0,12.62,12.62,12.62
162,163,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),100%,0.089,0.112,,4096.0,12.56,12.56,12.56
163,164,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),100%,0.011,0.023,384.0,512.0,11.97,11.97,11.97
164,165,[mmlw-roberta-base](https://huggingface.co/sdadas/mmlw-roberta-base),100%,0.086,0.124,768.0,514.0,11.73,11.73,11.73
165,166,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),100%,1.214,1.28,2048.0,2048.0,11.56,11.56,11.56
166,167,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),0%,0.086,0.278,768.0,514.0,11.52,11.52,11.52
167,168,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100%,0.022,0.118,384.0,512.0,11.04,11.04,11.04
168,169,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),100%,0.0,0.103,256.0,,10.68,10.68,10.68
169,170,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),100%,0.0,0.008,256.0,,10.58,10.58,10.58
170,171,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),100%,7.022,7.153,4096.0,32768.0,10.38,10.38,10.38
171,172,[rubert-tiny-turbo](https://huggingface.co/sergeyzh/rubert-tiny-turbo),100%,0.003,0.029,312.0,2048.0,9.46,9.46,9.46
172,173,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),100%,0.0,0.004,128.0,,9.4,9.4,9.4
173,174,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),100%,0.023,0.033,512.0,512.0,9.34,9.34,9.34
174,175,[M2V_base_glove](https://huggingface.co/minishlab/M2V_base_glove),100%,0.0,0.102,256.0,,9.28,9.28,9.28
175,176,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️ NA,0.304,0.56,1024.0,514.0,9.05,9.05,9.05
176,177,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),⚠️ NA,0.086,0.278,768.0,514.0,9.01,9.01,9.01
