variant,roster,language_iso,n_models,kendall_tau,tau_ci_lo,tau_ci_hi,inversion_rate
baseline_global,relaxed,ind,53,0.6777939042089985,0.5198807198977506,0.8038384222093244,0.16110304789550073
baseline_global,relaxed,tel,53,0.656023222060958,0.4988977062972153,0.7831867440592336,0.17198838896952104
baseline_global,relaxed,kor,53,0.6835994194484761,0.524942303046786,0.8137472283813748,0.15820029027576196
baseline_global,relaxed,swa,53,0.6734397677793905,0.517037037037037,0.7985224916319698,0.1632801161103048
baseline_global,relaxed,fas,53,0.6923076923076924,0.5293244246473646,0.8212703101920238,0.15384615384615385
baseline_global,relaxed,tha,53,0.6748911465892599,0.5147492625368733,0.8007381445561667,0.1625544267053701
baseline_global,relaxed,rus,53,0.6487663280116112,0.5077296751211982,0.7584695903561883,0.17561683599419448
baseline_global,relaxed,zho,53,0.6821480406386067,0.5463237868821744,0.7918254279511923,0.15892597968069666
baseline_global,relaxed,deu,53,0.7358490566037736,0.5988038356799992,0.8427328848933048,0.1320754716981132
baseline_global,relaxed,ben,53,0.7227866473149492,0.5771477545816942,0.835920177383592,0.1386066763425254
baseline_global,relaxed,ara,53,0.725689404934688,0.5881040892193308,0.8325956904350684,0.137155297532656
baseline_global,relaxed,spa,28,0.9206349206349207,0.845293154374742,0.9776536312849161,0.03968253968253968
baseline_global,relaxed,vie,53,0.7445573294629899,0.6144192189408246,0.8478581979320533,0.12772133526850507
lang_macro_loo,relaxed,ita,53,0.7648766328011611,0.6338028169014085,0.8679525222551928,0.11756168359941944
lang_macro_loo,relaxed,jpn,53,0.8563134978229319,0.7876067008457698,0.9094283593170008,0.07184325108853411
lang_macro_loo,relaxed,hin,53,0.888243831640058,0.8060659867861941,0.9452662721893491,0.05587808417997097
lang_macro_loo,relaxed,fra,53,0.8113207547169812,0.7199992630803241,0.8858413639733136,0.09433962264150944
lang_macro_loo,relaxed,ind,53,0.8505079825834543,0.76837258348564,0.912202380952381,0.07474600870827286
lang_macro_loo,relaxed,tel,53,0.8301886792452832,0.7459332671747559,0.8958352695167288,0.08490566037735849
lang_macro_loo,relaxed,kor,53,0.8809869375907112,0.8148148148148148,0.9304733727810652,0.059506531204644414
lang_macro_loo,relaxed,swa,53,0.7242380261248186,0.5931815610859729,0.8324715976168905,0.1378809869375907
lang_macro_loo,relaxed,fas,53,0.9013062409288825,0.8329637841832964,0.9497050713514129,0.04934687953555878
lang_macro_loo,relaxed,tha,53,0.8925979680696663,0.8244805375044902,0.9437037037037035,0.05370101596516691
lang_macro_loo,relaxed,rus,53,0.8403483309143687,0.7779411764705882,0.8941176470588237,0.07982583454281568
lang_macro_loo,relaxed,zho,53,0.8490566037735849,0.7634885439763489,0.9146076510322364,0.07547169811320754
lang_macro_loo,relaxed,deu,53,0.8635703918722787,0.7881481481481479,0.9218289085545724,0.06821480406386067
lang_macro_loo,relaxed,ben,53,0.8751814223512338,0.8038348082595872,0.9288902047865777,0.062409288824383166
lang_macro_loo,relaxed,ara,53,0.8606676342525399,0.7741655720102252,0.9211309523809523,0.06966618287373004
lang_macro_loo,relaxed,spa,28,0.9206349206349207,0.814194924769818,0.989041095890411,0.03968253968253968
lang_macro_loo,relaxed,vie,53,0.8548621190130625,0.7676453716201507,0.9199999999999999,0.07256894049346879
baseline_global,intersection,MEDIAN,28,0.8465608465608466,,,0.07671957671957672
baseline_global,relaxed,MEDIAN,53,0.6835994194484761,,,0.15820029027576196
lang_macro_loo,intersection,MEDIAN,28,0.8835978835978835,,,0.0582010582010582
lang_macro_loo,relaxed,MEDIAN,53,0.8563134978229319,,,0.07184325108853411
