fork,model,in_curated_roster,n_tasks_scored,coverage_full,coverage_retrieval,fork_score_full,fork_score_retrieval
ruMTEB,KaLM-Gemma3-12B,True,7,0.3043,0.3333,,
ruMTEB,pplx-embed-4b,True,0,0.0,0.0,,
ruMTEB,inf-retriever-v1,True,1,0.0435,0.3333,,
ruMTEB,F2LLM-v2-14B,True,23,1.0,1.0,0.7076304782608694,0.7635966666666666
ruMTEB,Seed1.6-embed,True,4,0.1739,0.0,,
ruMTEB,F2LLM-v2-8B,True,23,1.0,1.0,0.7046242608695653,0.75671
ruMTEB,pplx-embed-0.6b,True,0,0.0,0.0,,
ruMTEB,granite-311m,True,4,0.1739,0.0,,
ruMTEB,jina-v5-small,True,8,0.3478,0.3333,,
ruMTEB,F2LLM-v2-4B,True,23,1.0,1.0,0.6934197391304348,0.7373666666666666
ruMTEB,voyage-3.5,True,5,0.2174,0.0,,
ruMTEB,jina-v5-nano,True,8,0.3478,0.3333,,
ruMTEB,zembed-1,True,4,0.1739,0.0,,
ruMTEB,embeddinggemma-300m,True,23,1.0,1.0,0.6517632173913043,0.7150466666666667
ruMTEB,BOOM-4B,True,5,0.2174,0.0,,
ruMTEB,BidirLM-2.5B,True,4,0.1739,0.0,,
ruMTEB,GritLM-7B,True,23,1.0,1.0,0.650313090800983,0.55519
ruMTEB,BidirLM-1B,True,4,0.1739,0.0,,
ruMTEB,granite-97m-r2,False,4,0.1739,0.0,,
C-MTEB,Qwen3-0.6B,True,31,0.9688,1.0,0.6636862580645161,0.7102525
C-MTEB,Qwen3-4B,True,31,0.9688,1.0,0.7230033548387097,0.77027375
C-MTEB,Qwen3-8B,True,31,0.9688,1.0,0.7387841935483871,0.78206875
C-MTEB,nemotron-8b,True,3,0.0938,0.125,,
C-MTEB,harrier-0.6b,True,3,0.0938,0.125,,
C-MTEB,bge-m3,True,5,0.1562,0.25,,
C-MTEB,ml-e5-small,True,13,0.4062,0.25,,
C-MTEB,KaLM-Gemma3-12B,True,3,0.0938,0.125,,
C-MTEB,pplx-embed-4b,True,1,0.0312,0.125,,
C-MTEB,inf-retriever-v1,True,8,0.25,1.0,,0.75961875
C-MTEB,F2LLM-v2-14B,True,31,0.9688,1.0,0.6827482258064517,0.73692625
C-MTEB,Seed1.6-embed,True,3,0.0938,0.125,,
C-MTEB,F2LLM-v2-8B,True,31,0.9688,1.0,0.6775242903225807,0.73572125
C-MTEB,pplx-embed-0.6b,True,1,0.0312,0.125,,
C-MTEB,granite-311m,True,3,0.0938,0.125,,
C-MTEB,jina-v5-small,True,3,0.0938,0.125,,
C-MTEB,F2LLM-v2-4B,True,31,0.9688,1.0,0.6717311935483871,0.72706875
C-MTEB,voyage-3.5,True,3,0.0938,0.125,,
C-MTEB,jina-v5-nano,True,3,0.0938,0.125,,
C-MTEB,zembed-1,True,3,0.0938,0.125,,
C-MTEB,embeddinggemma-300m,True,3,0.0938,0.125,,
C-MTEB,BOOM-4B,True,5,0.1562,0.25,,
C-MTEB,BidirLM-2.5B,True,3,0.0938,0.125,,
C-MTEB,GritLM-7B,True,23,0.7188,1.0,0.5961391094198369,0.6508
C-MTEB,BidirLM-1B,True,3,0.0938,0.125,,
C-MTEB,granite-97m-r2,False,3,0.0938,0.125,,
VN-MTEB,Qwen3-0.6B,True,0,0.0,0.0,,
VN-MTEB,Qwen3-4B,True,0,0.0,0.0,,
VN-MTEB,Qwen3-8B,True,0,0.0,0.0,,
VN-MTEB,nemotron-8b,True,0,0.0,0.0,,
VN-MTEB,harrier-0.6b,True,0,0.0,0.0,,
VN-MTEB,bge-m3,True,50,1.0,1.0,0.53580912,0.39841208333333333
VN-MTEB,ml-e5-small,True,50,1.0,1.0,0.47968575999999996,0.34124249999999995
VN-MTEB,KaLM-Gemma3-12B,True,0,0.0,0.0,,
VN-MTEB,pplx-embed-4b,True,0,0.0,0.0,,
VN-MTEB,inf-retriever-v1,True,0,0.0,0.0,,
VN-MTEB,F2LLM-v2-14B,True,50,1.0,1.0,0.6353414399999999,0.47241
VN-MTEB,Seed1.6-embed,True,0,0.0,0.0,,
VN-MTEB,F2LLM-v2-8B,True,50,1.0,1.0,0.63279666,0.4695375
VN-MTEB,pplx-embed-0.6b,True,0,0.0,0.0,,
VN-MTEB,granite-311m,True,0,0.0,0.0,,
VN-MTEB,jina-v5-small,True,0,0.0,0.0,,
VN-MTEB,F2LLM-v2-4B,True,50,1.0,1.0,0.6270717,0.46495250000000005
VN-MTEB,voyage-3.5,True,0,0.0,0.0,,
VN-MTEB,jina-v5-nano,True,0,0.0,0.0,,
VN-MTEB,zembed-1,True,0,0.0,0.0,,
VN-MTEB,embeddinggemma-300m,True,0,0.0,0.0,,
VN-MTEB,BOOM-4B,True,0,0.0,0.0,,
VN-MTEB,BidirLM-2.5B,True,0,0.0,0.0,,
VN-MTEB,GritLM-7B,True,0,0.0,0.0,,
VN-MTEB,BidirLM-1B,True,0,0.0,0.0,,
VN-MTEB,granite-97m-r2,False,0,0.0,0.0,,
