,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
18,19,[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct),⚠️ NA,1.31,1.543,8960.0,32768.0,81.06,81.06,81.06
19,20,[BidirLM-1B-Embedding](https://huggingface.co/BidirLM/BidirLM-1B-Embedding),50%,0.698,1.0,1152.0,512.0,81.02,81.02,81.02
20,21,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),100%,6.526,7.069,3584.0,32768.0,80.02,80.02,80.02
21,22,[BidirLM-Omni-2.5B-Embedding](https://huggingface.co/BidirLM/BidirLM-Omni-2.5B-Embedding),50%,2.13,2.445,2048.0,32768.0,80.02,80.02,80.02
22,23,[F2LLM-v2-4B](https://huggingface.co/codefuse-ai/F2LLM-v2-4B),50%,3.634,4.022,2560.0,40960.0,79.93,79.93,79.93
23,23,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),50%,,,2048.0,32768.0,79.15,79.15,79.15
24,25,[harrier-oss-v1-0.6b](https://huggingface.co/microsoft/harrier-oss-v1-0.6b),50%,0.44,0.596,1024.0,32768.0,80.4,80.4,80.4
25,25,[jina-embeddings-v4](https://huggingface.co/jinaai/jina-embeddings-v4),100%,3.624,3.935,2048.0,32768.0,79.86,79.86,79.86
26,27,[zembed-1](https://huggingface.co/zeroentropy/zembed-1),⚠️ NA,3.634,4.022,2560.0,32768.0,79.23,79.23,79.23
27,28,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),100%,1.31,1.543,1536.0,32768.0,79.29,79.29,79.29
28,29,[voyage-3-large](https://blog.voyageai.com/2025/01/07/voyage-3-large/),100%,,,1024.0,32000.0,77.52,77.52,77.52
29,30,[BidirLM-0.6B-Embedding](https://huggingface.co/BidirLM/BidirLM-0.6B-Embedding),50%,0.44,0.596,1024.0,512.0,78.96,78.96,78.96
30,31,[F2LLM-v2-1.7B](https://huggingface.co/codefuse-ai/F2LLM-v2-1.7B),50%,1.41,1.721,2048.0,40960.0,78.1,78.1,78.1
31,32,[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0),50%,0.312,0.568,1024.0,8192.0,78.67,78.67,78.67
32,33,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),100%,0.316,0.572,1024.0,8194.0,78.62,78.62,78.62
33,33,[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct),⚠️ NA,6.526,7.069,3584.0,32768.0,75.71,75.71,75.71
34,33,[voyage-3.5](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,77.45,77.45,77.45
35,36,[Qwen3-Embedding-0.6B](https://huggingface.co/Qwen/Qwen3-Embedding-0.6B),50%,0.44,0.596,1024.0,32768.0,77.5,77.5,77.5
36,37,[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,3072.0,8191.0,76.97,76.97,76.97
37,38,[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2),50%,7.719,7.85,4096.0,32768.0,76.75,76.75,76.75
38,39,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),50%,7.109,7.24,4096.0,32768.0,73.32,73.32,73.32
39,40,[bge-m3-custom-fr](https://huggingface.co/manu/bge-m3-custom-fr),50%,0.312,0.568,1024.0,8194.0,76.89,76.89,76.89
40,41,[F2LLM-v2-0.6B](https://huggingface.co/codefuse-ai/F2LLM-v2-0.6B),50%,0.441,0.596,1024.0,40960.0,75.41,75.41,75.41
41,41,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,0.304,0.56,1024.0,514.0,75.2,75.2,75.2
42,43,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),50%,0.086,0.278,768.0,514.0,76.23,76.23,76.23
43,44,[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large),100%,0.304,0.56,1024.0,514.0,73.21,73.21,73.21
44,45,[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct),50%,0.304,0.56,1024.0,514.0,74.43,74.43,74.43
45,46,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),50%,0.086,0.278,768.0,512.0,75.39,75.39,75.39
46,46,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,75.24,75.24,75.24
47,48,[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,1024.0,32000.0,72.56,72.56,72.56
48,48,[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),50%,,,768.0,2048.0,74.94,74.94,74.94
49,50,[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1),50%,7.719,7.85,4096.0,32768.0,72.79,72.79,72.79
50,51,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),50%,0.022,0.118,384.0,512.0,74.02,74.02,74.02
51,52,[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral),50%,6.98,7.111,4096.0,32768.0,74.28,74.28,74.28
52,53,[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral),50%,6.98,7.111,4096.0,32768.0,71.66,71.66,71.66
53,54,[harrier-oss-v1-270m](https://huggingface.co/microsoft/harrier-oss-v1-270m),50%,0.1,0.268,640.0,32768.0,73.93,73.93,73.93
54,55,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),50%,0.011,0.107,384.0,512.0,73.68,73.68,73.68
55,56,[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base),100%,0.086,0.278,768.0,514.0,72.48,72.48,72.48
56,56,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),50%,0.358,0.494,896.0,512.0,70.37,70.37,70.37
57,58,[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct),50%,6.98,7.111,4096.0,32768.0,73.64,73.64,73.64
58,58,[F2LLM-v2-330M](https://huggingface.co/codefuse-ai/F2LLM-v2-330M),50%,0.198,0.334,896.0,40960.0,72.79,72.79,72.79
59,60,[BidirLM-270M-Embedding](https://huggingface.co/BidirLM/BidirLM-270M-Embedding),50%,0.1,0.268,640.0,512.0,72.2,72.2,72.2
60,60,[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B),50%,13.0,57.92,32768.0,32768.0,69.0,69.0,69.0
61,62,[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0),50%,0.113,0.305,768.0,8192.0,71.46,71.46,71.46
62,63,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,512.0,32000.0,68.3,68.3,68.3
63,64,[jasper_en_vision_language_v1](https://huggingface.co/infgrad/jasper_en_vision_language_v1),50%,1.332,1.565,8960.0,131072.0,60.67,60.67,60.67
64,65,[F2LLM-v2-160M](https://huggingface.co/codefuse-ai/F2LLM-v2-160M),50%,0.062,0.159,640.0,40960.0,69.05,69.05,69.05
65,66,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,6.477,7.099,4096.0,32768.0,67.81,67.81,67.81
66,67,[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R),50%,6.98,7.111,4096.0,32768.0,67.26,67.26,67.26
67,68,[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5),50%,1.307,1.54,8960.0,131072.0,57.36,57.36,57.36
68,69,[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small),100%,0.022,0.118,384.0,512.0,67.16,67.16,67.16
69,70,[F2LLM-v2-80M](https://huggingface.co/codefuse-ai/F2LLM-v2-80M),50%,0.032,0.08,320.0,40960.0,66.06,66.06,66.06
70,71,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100%,0.086,0.278,768.0,514.0,52.39,52.39,52.39
71,72,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),50%,7.022,7.153,4096.0,32768.0,49.9,49.9,49.9
72,73,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100%,0.086,0.278,768.0,512.0,50.01,50.01,50.01
73,74,[Arabic-MiniLM-L12-v2-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet),100%,0.022,0.118,384.0,512.0,46.57,46.57,46.57
74,75,[paraphrase-multilingual-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2),100%,0.022,0.118,384.0,512.0,48.1,48.1,48.1
75,76,[Arabic-labse-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka),⚠️ NA,0.086,0.471,768.0,512.0,45.94,45.94,45.94
76,77,[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1),50%,0.358,0.494,896.0,512.0,48.03,48.03,48.03
77,78,[static-similarity-mrl-multilingual-v1](https://huggingface.co/sentence-transformers/static-similarity-mrl-multilingual-v1),100%,0.0,0.108,1024.0,,41.95,41.95,41.95
78,79,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100%,0.086,0.471,768.0,512.0,42.94,42.94,42.94
79,80,[potion-multilingual-128M](https://huggingface.co/minishlab/potion-multilingual-128M),50%,0.0,0.128,256.0,,34.36,34.36,34.36
80,81,[text2vec-base-multilingual](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100%,0.022,0.118,384.0,256.0,30.76,30.76,30.76
81,82,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),⚠️ NA,0.304,0.56,1024.0,514.0,38.88,38.88,38.88
82,83,[STS-multilingual-mpnet-base-v2](https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2),100%,0.086,0.278,768.0,514.0,40.33,40.33,40.33
83,84,[Cohere-embed-english-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,1024.0,512.0,23.77,23.77,23.77
84,85,[sgpt-bloom-7b1-msmarco](https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco),⚠️ NA,6.041,7.068,4096.0,,21.45,21.45,21.45
85,86,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse),100%,7.022,7.153,4096.0,32768.0,24.22,24.22,24.22
86,87,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),100%,1.214,1.28,2048.0,2048.0,24.14,24.14,24.14
87,88,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),100%,1.214,1.28,2048.0,2048.0,23.77,23.77,23.77
88,89,[Euler-Legal-Embedding-V1](https://huggingface.co/Mira190/Euler-Legal-Embedding-V1),50%,6.946,7.567,4096.0,1536.0,,,
89,90,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,0.304,0.335,1024.0,512.0,17.34,17.34,17.34
90,91,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,17.12,17.12,17.12
91,92,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),100%,0.304,0.335,1024.0,512.0,16.96,16.96,16.96
92,92,[gemini-embedding-2-preview](https://ai.google.dev/gemini-api/docs/embeddings),50%,,,3072.0,2048.0,,,
93,94,[sentence_croissant_alpha_v0.2](https://huggingface.co/manu/sentence_croissant_alpha_v0.2),100%,1.214,1.28,2048.0,2048.0,20.34,20.34,20.34
94,95,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),100%,,0.137,768.0,8192.0,16.66,16.66,16.66
95,95,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),100%,,0.137,768.0,8192.0,17.96,17.96,17.96
96,95,[MoD-Embedding](https://huggingface.co/bflhc/MoD-Embedding),50%,3.634,4.022,2560.0,32768.0,,,
97,98,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,0.304,0.335,1024.0,512.0,16.66,16.66,16.66
98,99,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,0.086,0.109,768.0,512.0,16.47,16.47,16.47
99,100,[Cohere-embed-v4.0](https://docs.cohere.com/docs/cohere-embed),⚠️ NA,,,1536.0,128000.0,,,
100,101,[Cohere-embed-v4.0 (output_dtype=int8)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,
101,101,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),100%,0.086,0.109,768.0,512.0,16.19,16.19,16.19
102,103,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,0.304,0.335,1024.0,512.0,16.15,16.15,16.15
103,103,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),50%,0.086,0.125,768.0,512.0,15.74,15.74,15.74
104,105,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,0.304,0.335,1024.0,514.0,17.76,17.76,17.76
105,105,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,0.086,0.109,768.0,512.0,15.87,15.87,15.87
106,107,[Octen-Embedding-4B](https://huggingface.co/Octen/Octen-Embedding-4B),50%,3.634,4.022,2560.0,32768.0,,,
107,107,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),100%,0.022,0.033,512.0,512.0,15.06,15.06,15.06
108,107,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️ NA,0.022,0.033,384.0,512.0,15.11,15.11,15.11
109,110,[voyage-4-large (embed_dim=2048)](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,2048.0,32000.0,,,
110,111,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),100%,0.304,0.335,1024.0,512.0,15.34,15.34,15.34
111,112,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),50%,0.113,0.305,768.0,8192.0,,,
112,113,[Octen-Embedding-4B-INT8](https://huggingface.co/Octen/Octen-Embedding-4B-INT8),50%,3.634,4.022,1024.0,32768.0,,,
113,113,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),100%,0.086,0.109,768.0,512.0,14.68,14.68,14.68
114,115,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),50%,0.304,0.56,1024.0,514.0,,,
115,116,[Octen-Embedding-8B-INT8](https://huggingface.co/Octen/Octen-Embedding-8B-INT8),50%,6.946,7.567,1024.0,32768.0,,,
116,117,[voyage-4-large](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,
117,118,[udever-bloom-1b1](https://huggingface.co/izhx/udever-bloom-1b1),100%,0.68,1.065,,,14.01,14.01,14.01
118,119,[snowflake-arctic-embed-l](https://huggingface.co/Snowflake/snowflake-arctic-embed-l),100%,0.304,0.335,1024.0,512.0,12.57,12.57,12.57
119,120,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),50%,,0.435,4096.0,8192.0,18.62,18.62,18.62
120,121,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),100%,,0.137,768.0,8192.0,14.29,14.29,14.29
121,121,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),100%,0.022,0.033,384.0,512.0,13.6,13.6,13.6
122,123,[Cohere-embed-v4.0 (output_dtype=binary)](https://docs.cohere.com/docs/embeddings),⚠️ NA,,,1536.0,128000.0,,,
123,123,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,0.021,0.033,384.0,512.0,13.07,13.07,13.07
124,125,[voyage-4](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,
125,126,[Octen-Embedding-0.6B](https://huggingface.co/Octen/Octen-Embedding-0.6B),50%,0.44,0.596,1024.0,32768.0,,,
126,127,[embedder-100p](https://huggingface.co/deepfile/embedder-100p),⚠️ NA,0.086,0.278,768.0,514.0,17.93,17.93,17.93
127,128,[NoInstruct-small-Embedding-v0](https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0),⚠️ NA,0.022,0.033,384.0,512.0,12.94,12.94,12.94
128,129,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,0.086,0.109,,512.0,13.07,13.07,13.07
129,130,[voyage-3.5 (output_dtype=int8)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,
130,130,[Bulbasaur](https://huggingface.co/Mihaiii/Bulbasaur),⚠️ NA,0.006,0.017,384.0,512.0,9.82,9.82,9.82
131,132,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),100%,,0.137,768.0,8192.0,13.35,13.35,13.35
132,132,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,0.011,0.023,384.0,512.0,12.02,12.02,12.02
133,134,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),50%,0.011,0.03,384.0,512.0,11.87,11.87,11.87
134,135,[PIXIE-Rune-v1.0](https://huggingface.co/telepix/PIXIE-Rune-v1.0),50%,0.312,0.568,1024.0,6144.0,,,
135,135,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),100%,0.022,0.033,384.0,512.0,12.4,12.4,12.4
136,135,[Venusaur](https://huggingface.co/Mihaiii/Venusaur),⚠️ NA,0.004,0.016,384.0,512.0,8.88,8.88,8.88
137,138,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,1536.0,8191.0,,,
138,139,[snowflake-arctic-embed-m-v1.5](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5),100%,0.086,0.109,768.0,512.0,9.19,9.19,9.19
139,139,[Wartortle](https://huggingface.co/Mihaiii/Wartortle),100%,0.006,0.017,384.0,512.0,8.46,8.46,8.46
140,141,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),100%,0.089,0.112,,4096.0,12.14,12.14,12.14
141,142,[Squirtle](https://huggingface.co/Mihaiii/Squirtle),100%,0.004,0.016,384.0,512.0,8.01,8.01,8.01
142,142,[gte-micro-v4](https://huggingface.co/Mihaiii/gte-micro-v4),⚠️ NA,0.007,0.019,384.0,512.0,8.09,8.09,8.09
143,144,[voyage-4-lite](https://blog.voyageai.com/2026/01/15/voyage-4/),100%,,,1024.0,32000.0,,,
144,145,[gemma-2b-embeddings](https://huggingface.co/Jaume/gemma-2b-embeddings),100%,1.982,2.506,2048.0,8192.0,7.79,7.79,7.79
145,145,[all-MiniLM-L12-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2),100%,0.022,0.033,384.0,256.0,10.13,10.13,10.13
146,147,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),50%,0.304,0.56,1024.0,514.0,11.92,11.92,11.92
147,148,[snowflake-arctic-embed-m-long](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long),100%,,0.137,768.0,2048.0,11.65,11.65,11.65
148,148,[voyage-3.5 (output_dtype=binary)](https://blog.voyageai.com/2025/05/20/voyage-3-5/),100%,,,1024.0,32000.0,,,
149,148,[e5-large](https://huggingface.co/intfloat/e5-large),100%,0.304,0.335,1024.0,512.0,10.51,10.51,10.51
150,151,[all-mpnet-base-v2](https://huggingface.co/sentence-transformers/all-mpnet-base-v2),100%,0.086,0.109,768.0,384.0,10.42,10.42,10.42
151,152,[snowflake-arctic-embed-m](https://huggingface.co/Snowflake/snowflake-arctic-embed-m),100%,0.086,0.109,768.0,512.0,8.85,8.85,8.85
152,153,[baseline-bm25s](https://github.com/xhluca/bm25s),⚠️ NA,,,,,4.43,4.43,4.43
153,154,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),⚠️ NA,6.98,7.111,,32768.0,,,
154,154,[potion-base-8M](https://huggingface.co/minishlab/potion-base-8M),100%,0.0,0.008,256.0,,5.56,5.56,5.56
155,156,[bge-m3-unsupervised](https://huggingface.co/BAAI/bge-m3-unsupervised),50%,0.312,0.568,1024.0,8192.0,,,
156,157,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,0.404,0.435,4096.0,8192.0,,,
157,158,[e5-base](https://huggingface.co/intfloat/e5-base),100%,0.086,0.109,768.0,512.0,7.81,7.81,7.81
158,159,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),100%,0.093,0.109,768.0,512.0,,,
159,160,[M2V_base_output](https://huggingface.co/minishlab/M2V_base_output),100%,0.0,0.008,256.0,,5.14,5.14,5.14
160,161,[potion-base-4M](https://huggingface.co/minishlab/potion-base-4M),100%,0.0,0.004,128.0,,5.1,5.1,5.1
161,162,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),100%,0.313,0.335,1024.0,512.0,,,
162,163,[GIST-all-MiniLM-L6-v2](https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2),100%,0.011,0.023,384.0,512.0,8.36,8.36,8.36
163,164,[M2V_base_glove_subword](https://huggingface.co/minishlab/M2V_base_glove_subword),100%,0.0,0.103,256.0,,4.91,4.91,4.91
164,165,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),50%,0.11,0.149,768.0,8192.0,,,
165,166,[gte-micro](https://huggingface.co/Mihaiii/gte-micro),⚠️ NA,0.006,0.017,384.0,512.0,4.56,4.56,4.56
166,166,[slx-v0.1](https://huggingface.co/brahmairesearch/slx-v0.1),⚠️ NA,0.011,0.023,384.0,512.0,6.36,6.36,6.36
167,166,[all-MiniLM-L6-v2](https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2),100%,0.011,0.023,384.0,256.0,6.36,6.36,6.36
168,169,[e5-small](https://huggingface.co/intfloat/e5-small),100%,0.021,0.033,384.0,512.0,5.82,5.82,5.82
169,170,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,0.302,0.559,,,4.63,4.63,4.63
170,170,[mmlw-e5-base](https://huggingface.co/sdadas/mmlw-e5-base),50%,0.086,0.278,768.0,514.0,9.2,9.2,9.2
171,172,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),100%,0.304,0.335,1024.0,512.0,,,
172,173,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),⚠️ NA,0.113,0.137,768.0,8192.0,,,
173,174,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),100%,0.0,0.002,64.0,,4.16,4.16,4.16
174,175,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),100%,0.086,0.109,768.0,512.0,,,
175,175,[snowflake-arctic-embed-s](https://huggingface.co/Snowflake/snowflake-arctic-embed-s),100%,0.022,0.033,384.0,512.0,5.4,5.4,5.4
176,177,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),100%,0.023,0.033,512.0,512.0,,,
177,178,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),50%,0.028,0.048,384.0,8192.0,,,
178,179,[snowflake-arctic-embed-xs](https://huggingface.co/Snowflake/snowflake-arctic-embed-xs),100%,0.011,0.023,384.0,512.0,4.11,4.11,4.11
179,180,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),100%,0.086,0.102,768.0,512.0,,,
180,181,[rubert-base-cased-sentence](https://huggingface.co/DeepPavlov/rubert-base-cased-sentence),100%,0.015,0.107,768.0,512.0,4.03,4.03,4.03
