,Model,BelebeleRetrieval,MIRACLRetrievalHardNegatives
176,bge-small-zh-v1.5,,11.478
177,granite-embedding-small-english-r2,,10.684000000000001
178,snowflake-arctic-embed-xs,7.405666666666666,0.808
179,text2vec-base-chinese,,9.248000000000001
180,rubert-base-cased-sentence,7.587666666666666,0.475
181,cai-lunaris-text-embeddings,5.933,1.225
182,M2V_multilingual_output,,8.551
183,mmlw-e5-small,11.069333333333333,0.087
184,ru-en-RoSBERTa,5.576999999999999,0.661
185,mmlw-roberta-large,7.349333333333334,0.182
186,mmlw-roberta-base,7.951999999999999,0.13899999999999998
187,udever-bloom-7b1,18.884666666666668,
188,static-retrieval-mrl-en-v1,,6.744999999999999
189,Arabic-mpnet-base-all-nli-triplet,3.829333333333334,0.17700000000000002
190,ternary-weight-embedding,2.297,0.385
191,LaBSE-en-ru,4.160333333333333,0.075
192,udever-bloom-3b,12.183333333333335,
193,LaBSE-ru-turbo,4.127666666666666,0.059000000000000004
194,rubert-tiny-turbo,2.804333333333333,0.062
195,Arabert-all-nli-triplet-Matryoshka,2.679666666666667,0.044000000000000004
196,M2V_base_glove,2.0869999999999997,0.06899999999999999
197,silma-embeddding-matryoshka-v0.1,2.7983333333333333,0.025
198,Marbert-all-nli-triplet-Matryoshka,2.273333333333333,0.036000000000000004
199,jina-embeddings-v2-small-en,2.2003333333333335,0.031
200,multi-qa-MiniLM-L6-cos-v1,,2.624
201,German_Semantic_STS_V2,1.967,0.025
202,rubert-tiny2,1.857,0.016
203,deberta-v1-base,1.158,0.037
204,sbert_large_mt_nlu_ru,1.6340000000000001,0.0
205,rubert-tiny,1.5073333333333332,0.0
206,jina-embeddings-v2-base-en,1.3569999999999998,0.0
207,sbert_large_nlu_ru,1.2376666666666667,0.0
208,distilrubert-small-cased-conversational,1.1756666666666664,0.0
209,baseline-random-encoder,0.9693333333333334,0.0
210,USER-bge-m3,,0.413
211,USER-base,,0.336
212,rubert-base-cased,,0.301
213,jina-embedding-s-en-v1,,0.158
214,jina-embedding-b-en-v1,,0.083
