model_id,display_name,language_iso,lang_name,local_rank,local_ndcg
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,hin,Hindi,5,0.7763625000000001
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,hin,Hindi,11,0.7499425000000001
jinaai/jina-embeddings-v5-text-small,jina-v5-small,hin,Hindi,13,0.7421975000000001
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,hin,Hindi,16,0.714655
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,hin,Hindi,7,0.774845
zeroentropy/zembed-1,zembed-1,hin,Hindi,10,0.75169
GritLM/GritLM-7B,GritLM-7B,hin,Hindi,23,0.6416525
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,hin,Hindi,9,0.7517375
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,hin,Hindi,18,0.7001875
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,hin,Hindi,17,0.7094875
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,hin,Hindi,24,0.626975
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,hin,Hindi,15,0.7218800000000001
intfloat/multilingual-e5-small,ml-e5-small,ara,Arabic,25,0.48035
BAAI/bge-m3,bge-m3,ara,Arabic,20,0.5968033333333334
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,ara,Arabic,23,0.5636000000000001
Qwen/Qwen3-Embedding-4B,Qwen3-4B,ara,Arabic,6,0.7565200000000001
Qwen/Qwen3-Embedding-8B,Qwen3-8B,ara,Arabic,1,0.8271866666666666
nvidia/llama-embed-nemotron-8b,nemotron-8b,ara,Arabic,2,0.79753
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,ara,Arabic,21,0.58887
voyageai/voyage-3.5,voyage-3.5,ara,Arabic,19,0.60152
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,ara,Arabic,3,0.7879466666666666
google/embeddinggemma-300m,embeddinggemma-300m,ara,Arabic,18,0.61444
infly/inf-retriever-v1,inf-retriever-v1,ara,Arabic,9,0.7105899999999999
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,ara,Arabic,7,0.7372033333333334
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,ara,Arabic,5,0.7645966666666667
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,ara,Arabic,4,0.7792666666666666
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,ara,Arabic,10,0.70212
jinaai/jina-embeddings-v5-text-small,jina-v5-small,ara,Arabic,12,0.6880566666666666
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,ara,Arabic,17,0.6371866666666667
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,ara,Arabic,8,0.7150533333333332
zeroentropy/zembed-1,zembed-1,ara,Arabic,11,0.6881900000000001
GritLM/GritLM-7B,GritLM-7B,ara,Arabic,22,0.5786466666666668
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,ara,Arabic,13,0.6810666666666667
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,ara,Arabic,16,0.6489133333333333
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,ara,Arabic,14,0.6809666666666668
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,ara,Arabic,24,0.4939366666666666
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,ara,Arabic,15,0.6771699999999999
intfloat/multilingual-e5-small,ml-e5-small,zho,Chinese,25,0.6269899999999999
BAAI/bge-m3,bge-m3,zho,Chinese,16,0.7451166666666666
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,zho,Chinese,21,0.7293666666666666
Qwen/Qwen3-Embedding-4B,Qwen3-4B,zho,Chinese,3,0.7828733333333333
Qwen/Qwen3-Embedding-8B,Qwen3-8B,zho,Chinese,1,0.8028133333333334
nvidia/llama-embed-nemotron-8b,nemotron-8b,zho,Chinese,2,0.8012
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,zho,Chinese,20,0.7364766666666668
voyageai/voyage-3.5,voyage-3.5,zho,Chinese,22,0.7088599999999999
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,zho,Chinese,7,0.7688966666666667
google/embeddinggemma-300m,embeddinggemma-300m,zho,Chinese,8,0.7681566666666666
infly/inf-retriever-v1,inf-retriever-v1,zho,Chinese,15,0.7487266666666667
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,zho,Chinese,19,0.7398266666666666
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,zho,Chinese,14,0.7488333333333334
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,zho,Chinese,12,0.7570633333333333
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,zho,Chinese,9,0.76559
jinaai/jina-embeddings-v5-text-small,jina-v5-small,zho,Chinese,10,0.7630533333333333
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,zho,Chinese,5,0.77515
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,zho,Chinese,4,0.7767733333333333
zeroentropy/zembed-1,zembed-1,zho,Chinese,11,0.7623433333333334
GritLM/GritLM-7B,GritLM-7B,zho,Chinese,24,0.6696366666666665
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,zho,Chinese,6,0.7750400000000001
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,zho,Chinese,18,0.74411
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,zho,Chinese,17,0.74416
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,zho,Chinese,23,0.6880999999999999
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,zho,Chinese,13,0.7492899999999999
BAAI/bge-m3,bge-m3,deu,German,18,0.771705
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,deu,German,23,0.7564175
Qwen/Qwen3-Embedding-4B,Qwen3-4B,deu,German,4,0.821975
Qwen/Qwen3-Embedding-8B,Qwen3-8B,deu,German,1,0.8372125
nvidia/llama-embed-nemotron-8b,nemotron-8b,deu,German,2,0.830745
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,deu,German,22,0.7586725
voyageai/voyage-3.5,voyage-3.5,deu,German,21,0.7590399999999999
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,deu,German,5,0.80696
google/embeddinggemma-300m,embeddinggemma-300m,deu,German,12,0.7936775
infly/inf-retriever-v1,inf-retriever-v1,deu,German,7,0.80257
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,deu,German,16,0.7821125
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,deu,German,13,0.7927474999999999
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,deu,German,11,0.7940875000000001
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,deu,German,10,0.7944825
jinaai/jina-embeddings-v5-text-small,jina-v5-small,deu,German,8,0.7973075
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,deu,German,6,0.805645
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,deu,German,3,0.8251850000000001
zeroentropy/zembed-1,zembed-1,deu,German,15,0.7854924999999999
GritLM/GritLM-7B,GritLM-7B,deu,German,19,0.76248
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,deu,German,14,0.7884774999999999
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,deu,German,20,0.76001
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,deu,German,17,0.7741825
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,deu,German,24,0.7266475
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,deu,German,9,0.7952025
intfloat/multilingual-e5-small,ml-e5-small,spa,Spanish,25,0.63539
BAAI/bge-m3,bge-m3,spa,Spanish,19,0.7164933333333333
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,spa,Spanish,21,0.7137266666666666
Qwen/Qwen3-Embedding-4B,Qwen3-4B,spa,Spanish,3,0.7709633333333333
Qwen/Qwen3-Embedding-8B,Qwen3-8B,spa,Spanish,1,0.79541
nvidia/llama-embed-nemotron-8b,nemotron-8b,spa,Spanish,2,0.78573
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,spa,Spanish,18,0.7216633333333333
voyageai/voyage-3.5,voyage-3.5,spa,Spanish,23,0.6973666666666668
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,spa,Spanish,6,0.7549066666666665
google/embeddinggemma-300m,embeddinggemma-300m,spa,Spanish,8,0.7474
infly/inf-retriever-v1,inf-retriever-v1,spa,Spanish,9,0.7468866666666667
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,spa,Spanish,15,0.7281333333333334
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,spa,Spanish,14,0.7358933333333333
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,spa,Spanish,13,0.73958
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,spa,Spanish,12,0.74079
jinaai/jina-embeddings-v5-text-small,jina-v5-small,spa,Spanish,7,0.7501666666666668
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,spa,Spanish,5,0.7603666666666667
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,spa,Spanish,4,0.7687533333333333
zeroentropy/zembed-1,zembed-1,spa,Spanish,17,0.72465
GritLM/GritLM-7B,GritLM-7B,spa,Spanish,22,0.6977066666666666
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,spa,Spanish,10,0.7458266666666667
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,spa,Spanish,20,0.7164266666666667
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,spa,Spanish,16,0.7263266666666667
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,spa,Spanish,24,0.6713733333333334
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,spa,Spanish,11,0.74338
intfloat/multilingual-e5-small,ml-e5-small,rus,Russian,24,0.7135750000000001
BAAI/bge-m3,bge-m3,rus,Russian,7,0.816175
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,rus,Russian,22,0.7624850000000001
Qwen/Qwen3-Embedding-4B,Qwen3-4B,rus,Russian,3,0.832965
Qwen/Qwen3-Embedding-8B,Qwen3-8B,rus,Russian,1,0.8614850000000001
nvidia/llama-embed-nemotron-8b,nemotron-8b,rus,Russian,2,0.8589
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,rus,Russian,18,0.786265
voyageai/voyage-3.5,voyage-3.5,rus,Russian,21,0.7645649999999999
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,rus,Russian,6,0.817385
google/embeddinggemma-300m,embeddinggemma-300m,rus,Russian,12,0.80314
infly/inf-retriever-v1,inf-retriever-v1,rus,Russian,13,0.800935
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,rus,Russian,16,0.792565
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,rus,Russian,11,0.804185
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,rus,Russian,10,0.80489
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,rus,Russian,9,0.80751
jinaai/jina-embeddings-v5-text-small,jina-v5-small,rus,Russian,8,0.81423
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,rus,Russian,5,0.8206100000000001
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,rus,Russian,4,0.824125
zeroentropy/zembed-1,zembed-1,rus,Russian,19,0.7708649999999999
GritLM/GritLM-7B,GritLM-7B,rus,Russian,23,0.730845
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,rus,Russian,20,0.76998
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,rus,Russian,17,0.790535
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,rus,Russian,14,0.800235
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,rus,Russian,25,0.706555
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,rus,Russian,15,0.799825
intfloat/multilingual-e5-small,ml-e5-small,fra,French,23,0.681335
BAAI/bge-m3,bge-m3,fra,French,8,0.763755
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,fra,French,18,0.73804
Qwen/Qwen3-Embedding-4B,Qwen3-4B,fra,French,3,0.777055
Qwen/Qwen3-Embedding-8B,Qwen3-8B,fra,French,1,0.803995
nvidia/llama-embed-nemotron-8b,nemotron-8b,fra,French,2,0.79067
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,fra,French,16,0.75351
voyageai/voyage-3.5,voyage-3.5,fra,French,24,0.668555
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,fra,French,10,0.762885
google/embeddinggemma-300m,embeddinggemma-300m,fra,French,6,0.767865
infly/inf-retriever-v1,inf-retriever-v1,fra,French,19,0.7330099999999999
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,fra,French,13,0.75427
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,fra,French,17,0.75004
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,fra,French,14,0.7541100000000001
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,fra,French,12,0.7578400000000001
jinaai/jina-embeddings-v5-text-small,jina-v5-small,fra,French,5,0.770605
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,fra,French,4,0.7750950000000001
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,fra,French,7,0.7662100000000001
zeroentropy/zembed-1,zembed-1,fra,French,21,0.71409
GritLM/GritLM-7B,GritLM-7B,fra,French,25,0.65696
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,fra,French,20,0.729975
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,fra,French,11,0.7582500000000001
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,fra,French,15,0.75403
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,fra,French,22,0.7106600000000001
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,fra,French,9,0.763235
intfloat/multilingual-e5-small,ml-e5-small,kor,Korean,25,0.651605
BAAI/bge-m3,bge-m3,kor,Korean,8,0.79188
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,kor,Korean,22,0.7406999999999999
Qwen/Qwen3-Embedding-4B,Qwen3-4B,kor,Korean,4,0.81343
Qwen/Qwen3-Embedding-8B,Qwen3-8B,kor,Korean,2,0.83304
nvidia/llama-embed-nemotron-8b,nemotron-8b,kor,Korean,1,0.839055
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,kor,Korean,21,0.74392
voyageai/voyage-3.5,voyage-3.5,kor,Korean,20,0.74779
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,kor,Korean,11,0.7863450000000001
google/embeddinggemma-300m,embeddinggemma-300m,kor,Korean,7,0.795145
infly/inf-retriever-v1,inf-retriever-v1,kor,Korean,17,0.770775
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,kor,Korean,19,0.763325
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,kor,Korean,9,0.7918449999999999
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,kor,Korean,12,0.7806550000000001
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,kor,Korean,13,0.78037
jinaai/jina-embeddings-v5-text-small,jina-v5-small,kor,Korean,6,0.7973049999999999
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,kor,Korean,5,0.80416
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,kor,Korean,3,0.81768
zeroentropy/zembed-1,zembed-1,kor,Korean,18,0.769275
GritLM/GritLM-7B,GritLM-7B,kor,Korean,23,0.73122
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,kor,Korean,14,0.7782100000000001
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,kor,Korean,15,0.777355
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,kor,Korean,16,0.77277
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,kor,Korean,24,0.7092499999999999
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,kor,Korean,10,0.78729
BAAI/bge-m3,bge-m3,ben,Bengali,20,0.7240833333333333
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,ben,Bengali,22,0.6878433333333334
Qwen/Qwen3-Embedding-4B,Qwen3-4B,ben,Bengali,5,0.8273566666666667
Qwen/Qwen3-Embedding-8B,Qwen3-8B,ben,Bengali,1,0.8667633333333334
nvidia/llama-embed-nemotron-8b,nemotron-8b,ben,Bengali,2,0.8545866666666666
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,ben,Bengali,24,0.6444366666666667
voyageai/voyage-3.5,voyage-3.5,ben,Bengali,19,0.7267766666666667
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,ben,Bengali,4,0.8403133333333334
google/embeddinggemma-300m,embeddinggemma-300m,ben,Bengali,14,0.7471766666666667
infly/inf-retriever-v1,inf-retriever-v1,ben,Bengali,12,0.7690633333333334
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,ben,Bengali,7,0.8009833333333334
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,ben,Bengali,6,0.82371
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,ben,Bengali,3,0.84177
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,ben,Bengali,11,0.7705166666666666
jinaai/jina-embeddings-v5-text-small,jina-v5-small,ben,Bengali,10,0.7746599999999999
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,ben,Bengali,16,0.7328800000000001
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,ben,Bengali,8,0.7799666666666667
zeroentropy/zembed-1,zembed-1,ben,Bengali,13,0.7511833333333332
GritLM/GritLM-7B,GritLM-7B,ben,Bengali,21,0.7046033333333334
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,ben,Bengali,9,0.7776933333333332
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,ben,Bengali,18,0.7278966666666667
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,ben,Bengali,17,0.72803
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,ben,Bengali,23,0.64513
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,ben,Bengali,15,0.7428333333333333
intfloat/multilingual-e5-small,ml-e5-small,vie,Vietnamese,25,0.60826
BAAI/bge-m3,bge-m3,vie,Vietnamese,21,0.77475
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,vie,Vietnamese,20,0.780235
Qwen/Qwen3-Embedding-4B,Qwen3-4B,vie,Vietnamese,5,0.85516
Qwen/Qwen3-Embedding-8B,Qwen3-8B,vie,Vietnamese,1,0.889135
nvidia/llama-embed-nemotron-8b,nemotron-8b,vie,Vietnamese,3,0.86518
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,vie,Vietnamese,22,0.76572
voyageai/voyage-3.5,voyage-3.5,vie,Vietnamese,18,0.802
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,vie,Vietnamese,4,0.8622799999999999
google/embeddinggemma-300m,embeddinggemma-300m,vie,Vietnamese,17,0.804405
infly/inf-retriever-v1,inf-retriever-v1,vie,Vietnamese,9,0.838785
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,vie,Vietnamese,11,0.83046
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,vie,Vietnamese,8,0.84358
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,vie,Vietnamese,6,0.8498749999999999
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,vie,Vietnamese,16,0.8135
jinaai/jina-embeddings-v5-text-small,jina-v5-small,vie,Vietnamese,10,0.83318
perplexity-ai/pplx-embed-v1-0.6b,pplx-embed-0.6b,vie,Vietnamese,14,0.82279
perplexity-ai/pplx-embed-v1-4b,pplx-embed-4b,vie,Vietnamese,2,0.86557
zeroentropy/zembed-1,zembed-1,vie,Vietnamese,12,0.8256950000000001
GritLM/GritLM-7B,GritLM-7B,vie,Vietnamese,23,0.74101
Bytedance/Seed1.6-embedding-1215,Seed1.6-embed,vie,Vietnamese,7,0.844065
BidirLM/BidirLM-1B-Embedding,BidirLM-1B,vie,Vietnamese,19,0.800035
BidirLM/BidirLM-Omni-2.5B-Embedding,BidirLM-2.5B,vie,Vietnamese,15,0.815905
ibm-granite/granite-embedding-311m-multilingual-r2,granite-311m,vie,Vietnamese,24,0.69712
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,vie,Vietnamese,13,0.8237
intfloat/multilingual-e5-small,ml-e5-small,ind,Indonesian,24,0.664855
BAAI/bge-m3,bge-m3,ind,Indonesian,4,0.741165
Qwen/Qwen3-Embedding-0.6B,Qwen3-0.6B,ind,Indonesian,21,0.7094499999999999
Qwen/Qwen3-Embedding-4B,Qwen3-4B,ind,Indonesian,3,0.755925
Qwen/Qwen3-Embedding-8B,Qwen3-8B,ind,Indonesian,1,0.7781750000000001
nvidia/llama-embed-nemotron-8b,nemotron-8b,ind,Indonesian,2,0.77243
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,ind,Indonesian,16,0.71989
voyageai/voyage-3.5,voyage-3.5,ind,Indonesian,22,0.684715
tencent/KaLM-Embedding-Gemma3-12B-2511,KaLM-Gemma3-12B,ind,Indonesian,5,0.74075
google/embeddinggemma-300m,embeddinggemma-300m,ind,Indonesian,11,0.7289
infly/inf-retriever-v1,inf-retriever-v1,ind,Indonesian,14,0.72158
codefuse-ai/F2LLM-v2-4B,F2LLM-v2-4B,ind,Indonesian,18,0.71384
codefuse-ai/F2LLM-v2-8B,F2LLM-v2-8B,ind,Indonesian,17,0.716505
codefuse-ai/F2LLM-v2-14B,F2LLM-v2-14B,ind,Indonesian,15,0.7212149999999999
ICT-TIME-and-Querit/BOOM_4B_v1,BOOM-4B,ind,Indonesian,7,0.73668
