,Model,eng-Latn
91,snowflake-arctic-embed-l,68.943
92,e5-large,67.64049999999999
93,granite-embedding-125m-english,67.64
94,gte-large,66.349
95,potion-multilingual-128M,65.88350000000001
96,GIST-large-Embedding-v0,65.75800000000001
97,mmlw-e5-large,65.3295
98,snowflake-arctic-embed-m,64.92800000000001
99,UAE-Large-V1,63.989999999999995
100,e5-base-v2,63.73150000000001
101,mxbai-embed-large-v1,63.636
102,nomic-embed-text-v1-unsupervised,63.471999999999994
103,bge-large-en-v1.5,63.11199999999999
104,snowflake-arctic-embed-m-long,62.567499999999995
105,e5-base,61.016999999999996
106,gte-base,60.7055
107,stella-base-en-v2,60.2685
108,GIST-Embedding-v0,59.5835
109,snowflake-arctic-embed-m-v1.5,59.2775
110,LaBSE-en-ru,58.885
111,e5-base-4k,58.728500000000004
112,LaBSE-ru-turbo,58.6635
113,mmlw-e5-base,58.5805
114,bge-base-en-v1.5,57.562999999999995
115,e5-small-v2,57.272
116,embedder-100p,57.235499999999995
117,granite-embedding-30m-english,57.0305
118,Cohere-embed-english-light-v3.0,56.931
119,mmlw-roberta-large,56.16
120,nomic-embed-text-v1,55.83
121,snowflake-arctic-embed-s,55.7595
122,nomic-embed-text-v1-ablated,53.394
123,mmlw-roberta-base,52.517
124,sgpt-bloom-7b1-msmarco,52.09250000000001
125,e5-small,51.774
126,text2vec-base-multilingual,51.41
127,gte-small,51.298
128,nomic-embed-text-v1.5,50.001000000000005
129,bge-small-en-v1.5,49.995
130,GIST-small-Embedding-v0,49.657000000000004
131,MedEmbed-small-v0.1,48.8765
132,mmlw-e5-small,48.622
133,all-mpnet-base-v2,48.468500000000006
134,NoInstruct-small-Embedding-v0,48.387499999999996
135,snowflake-arctic-embed-xs,45.505
136,GIST-all-MiniLM-L6-v2,44.65
137,all-MiniLM-L12-v2,44.49150000000001
138,Ivysaur,42.962500000000006
139,all-MiniLM-L6-v2,42.055
140,slx-v0.1,42.055
141,baseline-bm25s,38.519000000000005
142,ru-en-RoSBERTa,34.6835
143,speed-embedding-7b-instruct,34.483
144,gte-micro-v4,33.798
145,LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,32.7485
146,Bulbasaur,30.588500000000003
147,German_Semantic_STS_V2,30.288499999999996
148,udever-bloom-7b1,27.2995
149,gte-micro,27.2385
150,Wartortle,25.1285
151,cai-lunaris-text-embeddings,23.683
152,udever-bloom-1b1,22.604
153,Venusaur,20.466
154,rubert-tiny-turbo,18.88
155,Squirtle,18.830999999999996
156,potion-base-8M,18.342
157,silma-embeddding-matryoshka-v0.1,17.9075
158,M2V_base_glove,16.842000000000002
159,potion-base-4M,14.9165
160,M2V_base_glove_subword,12.620500000000002
161,Arabert-all-nli-triplet-Matryoshka,11.3985
162,potion-base-2M,10.2785
163,M2V_base_output,9.918
164,rubert-tiny2,9.409
165,udever-bloom-3b,8.8265
166,rubert-base-cased-sentence,7.8774999999999995
167,Arabic-mpnet-base-all-nli-triplet,5.9115
168,rubert-tiny,5.9065
169,sbert_large_mt_nlu_ru,4.8485
170,Marbert-all-nli-triplet-Matryoshka,4.1434999999999995
171,udever-bloom-560m,3.123
172,jina-embeddings-v2-small-en,3.113
173,sbert_large_nlu_ru,2.424
174,distilrubert-small-cased-conversational,2.4
175,ternary-weight-embedding,2.284
176,deberta-v1-base,2.1465
177,gemma-2b-embeddings,1.651
178,baseline-random-encoder,1.052
179,jina-embeddings-v2-base-en,0.8505
