model_id,short_name,params_numeric,tier,dataset,query_type,ndcg_at_10,recall_at_10,mrr
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,ja_finance,factual,95.5,100.0,93.95
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,ja_finance,multi_hop,97.08,100.0,96.09
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,ja_finance,summarization,94.27,100.0,92.47
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,ja_finance,unanswerable,0.0,0.0,0.0
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,ja_law,factual,30.0,45.4,25.23
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,ja_law,multi_hop,27.93,41.62,23.73
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,ja_law,summarization,27.39,41.24,23.14
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,ja_law,unanswerable,0.0,0.0,0.0
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_finance,factual,74.02,78.61,72.52
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_finance,multi_hop,85.57,88.35,84.66
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_finance,summarization,97.74,100.0,96.94
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_finance,unanswerable,0.0,0.0,0.0
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_law,factual,67.16,79.53,63.28
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_law,multi_hop,57.43,78.66,50.76
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_law,summarization,59.21,76.4,53.72
Qwen/Qwen3-Embedding-4B,Qwen3-4B,4000000000,large,hi_law,unanswerable,0.0,0.0,0.0
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,ja_finance,factual,96.76,100.0,95.62
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,ja_finance,multi_hop,97.32,100.0,96.46
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,ja_finance,summarization,96.51,98.75,95.78
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,ja_finance,unanswerable,0.0,0.0,0.0
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,ja_law,factual,27.91,42.53,23.47
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,ja_law,multi_hop,27.28,40.46,23.18
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,ja_law,summarization,26.56,43.3,21.33
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,ja_law,unanswerable,0.0,0.0,0.0
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_finance,factual,70.59,76.3,68.75
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_finance,multi_hop,81.94,85.44,80.78
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_finance,summarization,98.98,100.0,98.64
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_finance,unanswerable,0.0,0.0,0.0
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_law,factual,68.43,80.7,64.6
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_law,multi_hop,59.77,75.61,54.83
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_law,summarization,57.63,77.53,51.51
Qwen/Qwen3-Embedding-8B,Qwen3-8B,8000000000,xlarge,hi_law,unanswerable,0.0,0.0,0.0
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,ja_finance,factual,92.19,99.43,89.77
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,ja_finance,multi_hop,92.77,99.4,90.55
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,ja_finance,summarization,92.76,98.75,90.75
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,ja_finance,unanswerable,0.0,0.0,0.0
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,ja_law,factual,19.04,32.18,15.09
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,ja_law,multi_hop,26.34,42.77,21.22
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,ja_law,summarization,26.09,40.21,21.62
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,ja_law,unanswerable,0.0,0.0,0.0
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_finance,factual,64.87,72.25,62.56
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_finance,multi_hop,75.61,80.58,74.03
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_finance,summarization,96.43,100.0,95.24
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_finance,unanswerable,0.0,0.0,0.0
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_law,factual,49.34,63.16,44.96
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_law,multi_hop,40.72,54.27,36.5
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_law,summarization,43.39,57.3,38.99
Salesforce/SFR-Embedding-Mistral,SFR-Mistral,7000000000,large,hi_law,unanswerable,0.0,0.0,0.0
BAAI/bge-m3,bge-m3,568000000,medium,ja_finance,factual,92.42,100.0,89.93
BAAI/bge-m3,bge-m3,568000000,medium,ja_finance,multi_hop,95.02,100.0,93.31
BAAI/bge-m3,bge-m3,568000000,medium,ja_finance,summarization,90.24,98.75,87.46
BAAI/bge-m3,bge-m3,568000000,medium,ja_finance,unanswerable,0.0,0.0,0.0
BAAI/bge-m3,bge-m3,568000000,medium,ja_law,factual,28.47,37.93,25.54
BAAI/bge-m3,bge-m3,568000000,medium,ja_law,multi_hop,21.85,36.99,17.21
BAAI/bge-m3,bge-m3,568000000,medium,ja_law,summarization,17.15,28.87,13.5
BAAI/bge-m3,bge-m3,568000000,medium,ja_law,unanswerable,0.0,0.0,0.0
BAAI/bge-m3,bge-m3,568000000,medium,hi_finance,factual,70.65,76.88,68.75
BAAI/bge-m3,bge-m3,568000000,medium,hi_finance,multi_hop,81.21,85.44,79.8
BAAI/bge-m3,bge-m3,568000000,medium,hi_finance,summarization,98.08,100.0,97.45
BAAI/bge-m3,bge-m3,568000000,medium,hi_finance,unanswerable,0.0,0.0,0.0
BAAI/bge-m3,bge-m3,568000000,medium,hi_law,factual,70.59,84.8,66.08
BAAI/bge-m3,bge-m3,568000000,medium,hi_law,multi_hop,56.94,73.17,51.92
BAAI/bge-m3,bge-m3,568000000,medium,hi_law,summarization,50.34,68.54,44.52
BAAI/bge-m3,bge-m3,568000000,medium,hi_law,unanswerable,0.0,0.0,0.0
intfloat/e5-large-v2,e5-large-v2,335000000,medium,ja_finance,factual,63.13,81.14,57.45
intfloat/e5-large-v2,e5-large-v2,335000000,medium,ja_finance,multi_hop,63.88,82.63,57.85
intfloat/e5-large-v2,e5-large-v2,335000000,medium,ja_finance,summarization,59.32,82.5,52.03
intfloat/e5-large-v2,e5-large-v2,335000000,medium,ja_finance,unanswerable,0.0,0.0,0.0
intfloat/e5-large-v2,e5-large-v2,335000000,medium,ja_law,factual,15.41,24.71,12.61
intfloat/e5-large-v2,e5-large-v2,335000000,medium,ja_law,multi_hop,7.14,12.14,5.64
intfloat/e5-large-v2,e5-large-v2,335000000,medium,ja_law,summarization,2.68,6.19,1.63
intfloat/e5-large-v2,e5-large-v2,335000000,medium,ja_law,unanswerable,0.0,0.0,0.0
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_finance,factual,20.13,28.9,17.44
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_finance,multi_hop,15.79,23.3,13.47
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_finance,summarization,24.67,36.73,20.9
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_finance,unanswerable,0.0,0.0,0.0
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_law,factual,24.3,33.92,21.3
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_law,multi_hop,13.1,25.61,9.42
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_law,summarization,10.68,17.98,8.55
intfloat/e5-large-v2,e5-large-v2,335000000,medium,hi_law,unanswerable,0.0,0.0,0.0
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,ja_finance,factual,70.27,90.86,63.69
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,ja_finance,multi_hop,77.89,91.62,73.49
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,ja_finance,summarization,79.36,90.0,76.12
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,ja_finance,unanswerable,0.0,0.0,0.0
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,ja_law,factual,9.3,16.67,7.02
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,ja_law,multi_hop,6.08,12.72,4.08
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,ja_law,summarization,6.39,14.43,3.96
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,ja_law,unanswerable,0.0,0.0,0.0
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_finance,factual,40.76,56.07,35.84
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_finance,multi_hop,52.38,66.02,48.01
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_finance,summarization,70.46,81.63,66.94
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_finance,unanswerable,0.0,0.0,0.0
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_law,factual,14.01,22.81,11.3
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_law,multi_hop,12.58,19.51,10.42
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_law,summarization,12.17,20.22,9.74
intfloat/e5-mistral-7b-instruct,e5-mistral-7b,7000000000,large,hi_law,unanswerable,0.0,0.0,0.0
intfloat/e5-small-v2,e5-small-v2,33000000,small,ja_finance,factual,47.87,67.43,41.75
intfloat/e5-small-v2,e5-small-v2,33000000,small,ja_finance,multi_hop,43.08,62.28,37.22
intfloat/e5-small-v2,e5-small-v2,33000000,small,ja_finance,summarization,53.09,82.5,43.96
intfloat/e5-small-v2,e5-small-v2,33000000,small,ja_finance,unanswerable,0.0,0.0,0.0
intfloat/e5-small-v2,e5-small-v2,33000000,small,ja_law,factual,13.14,24.71,9.62
intfloat/e5-small-v2,e5-small-v2,33000000,small,ja_law,multi_hop,7.63,15.61,5.27
intfloat/e5-small-v2,e5-small-v2,33000000,small,ja_law,summarization,3.57,8.25,2.23
intfloat/e5-small-v2,e5-small-v2,33000000,small,ja_law,unanswerable,0.0,0.0,0.0
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_finance,factual,9.86,16.76,7.78
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_finance,multi_hop,6.64,13.59,4.64
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_finance,summarization,17.4,24.49,15.12
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_finance,unanswerable,0.0,0.0,0.0
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_law,factual,6.49,13.45,4.4
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_law,multi_hop,5.29,9.15,4.16
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_law,summarization,1.63,4.49,0.8
intfloat/e5-small-v2,e5-small-v2,33000000,small,hi_law,unanswerable,0.0,0.0,0.0
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,ja_finance,factual,88.23,98.29,84.93
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,ja_finance,multi_hop,88.96,98.2,85.92
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,ja_finance,summarization,92.63,100.0,90.15
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,ja_finance,unanswerable,0.0,0.0,0.0
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,ja_law,factual,24.67,36.78,20.97
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,ja_law,multi_hop,14.26,24.28,11.18
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,ja_law,summarization,12.59,20.62,10.15
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,ja_law,unanswerable,0.0,0.0,0.0
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_finance,factual,62.76,68.21,60.92
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_finance,multi_hop,72.1,78.64,70.01
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_finance,summarization,96.05,100.0,94.78
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_finance,unanswerable,0.0,0.0,0.0
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_law,factual,52.02,66.08,47.65
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_law,multi_hop,38.16,54.27,33.15
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_law,summarization,36.5,50.56,32.07
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,small,hi_law,unanswerable,0.0,0.0,0.0
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,ja_finance,factual,90.03,99.43,86.93
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,ja_finance,multi_hop,92.78,98.2,91.0
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,ja_finance,summarization,87.35,95.0,84.87
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,ja_finance,unanswerable,0.0,0.0,0.0
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,ja_law,factual,26.55,41.95,21.94
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,ja_law,multi_hop,18.54,31.21,14.7
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,ja_law,summarization,19.65,37.11,14.4
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,ja_law,unanswerable,0.0,0.0,0.0
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_finance,factual,69.76,75.14,68.04
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_finance,multi_hop,75.96,81.55,74.06
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_finance,summarization,94.72,100.0,92.93
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_finance,unanswerable,0.0,0.0,0.0
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_law,factual,70.06,85.38,65.34
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_law,multi_hop,52.29,69.51,46.95
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_law,summarization,45.78,56.18,42.56
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,medium,hi_law,unanswerable,0.0,0.0,0.0
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,ja_finance,factual,96.03,100.0,94.71
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,ja_finance,multi_hop,97.74,100.0,96.98
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,ja_finance,summarization,94.04,100.0,92.02
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,ja_finance,unanswerable,0.0,0.0,0.0
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,ja_law,factual,24.39,36.78,20.61
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,ja_law,multi_hop,26.67,41.62,22.15
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,ja_law,summarization,21.33,39.18,16.09
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,ja_law,unanswerable,0.0,0.0,0.0
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_finance,factual,66.54,71.68,64.88
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_finance,multi_hop,72.97,77.67,71.4
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_finance,summarization,98.98,100.0,98.64
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_finance,unanswerable,0.0,0.0,0.0
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_law,factual,71.71,84.8,67.57
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_law,multi_hop,51.72,64.63,47.63
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_law,summarization,46.88,66.29,40.81
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,small,hi_law,unanswerable,0.0,0.0,0.0
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,ja_finance,factual,89.59,98.29,86.79
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,ja_finance,multi_hop,91.61,97.01,89.83
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,ja_finance,summarization,78.02,97.5,71.69
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,ja_finance,unanswerable,0.0,0.0,0.0
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,ja_law,factual,27.42,39.66,23.65
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,ja_law,multi_hop,27.2,46.24,21.41
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,ja_law,summarization,15.87,28.87,11.99
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,ja_law,unanswerable,0.0,0.0,0.0
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_finance,factual,67.0,71.68,65.48
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_finance,multi_hop,80.75,84.47,79.55
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_finance,summarization,97.47,100.0,96.6
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_finance,unanswerable,0.0,0.0,0.0
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_law,factual,39.1,53.22,34.78
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_law,multi_hop,43.94,58.54,39.48
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_law,summarization,43.59,66.29,36.57
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,xlarge,hi_law,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,ja_finance,factual,81.69,92.57,78.2
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,ja_finance,multi_hop,81.31,94.61,77.0
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,ja_finance,summarization,78.02,91.25,74.04
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,ja_finance,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,ja_law,factual,24.16,37.36,20.14
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,ja_law,multi_hop,11.73,23.12,8.25
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,ja_law,summarization,10.02,18.56,7.45
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,ja_law,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_finance,factual,64.43,69.94,62.72
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_finance,multi_hop,64.89,73.79,62.05
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_finance,summarization,96.45,97.96,95.92
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_finance,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_law,factual,68.16,83.63,63.31
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_law,multi_hop,43.76,59.76,38.75
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_law,summarization,40.83,57.3,35.77
intfloat/multilingual-e5-base,ml-e5-base,278000000,medium,hi_law,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,ja_finance,factual,91.0,98.86,88.5
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,ja_finance,multi_hop,92.25,98.2,90.28
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,ja_finance,summarization,93.35,98.75,91.58
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,ja_finance,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,ja_law,factual,21.15,33.91,17.29
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,ja_law,multi_hop,21.06,37.57,16.04
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,ja_law,summarization,26.02,44.33,20.37
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,ja_law,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,hi_finance,factual,67.55,70.52,66.61
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,hi_finance,multi_hop,76.25,78.64,75.44
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,hi_finance,summarization,99.25,100.0,98.98
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,hi_finance,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,hi_law,factual,53.74,69.59,48.81
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,hi_law,multi_hop,41.22,59.15,35.72
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,hi_law,summarization,43.83,64.04,37.51
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,medium,hi_law,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,ja_finance,factual,89.09,97.71,86.22
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,ja_finance,multi_hop,88.28,98.2,85.06
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,ja_finance,summarization,88.44,98.75,85.02
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,ja_finance,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,ja_law,factual,30.22,45.98,25.36
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,ja_law,multi_hop,23.17,35.26,19.4
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,ja_law,summarization,18.95,30.93,15.23
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,ja_law,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_finance,factual,66.19,70.52,64.77
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_finance,multi_hop,69.81,78.64,66.89
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_finance,summarization,95.09,100.0,93.49
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_finance,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_law,factual,67.37,79.53,63.5
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_law,multi_hop,48.63,63.41,44.0
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_law,summarization,50.93,67.42,45.77
intfloat/multilingual-e5-large,ml-e5-large,560000000,medium,hi_law,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,ja_finance,factual,87.25,97.71,83.88
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,ja_finance,multi_hop,83.52,96.41,79.4
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,ja_finance,summarization,76.8,92.5,71.82
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,ja_finance,unanswerable,0.0,0.0,0.0
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,ja_law,factual,30.3,47.7,24.95
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,ja_law,multi_hop,13.05,23.7,9.74
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,ja_law,summarization,10.11,17.53,7.83
intfloat/multilingual-e5-small,ml-e5-small,118000000,small,ja_law,unanswerable,0.0,0.0,0.0
