model_id,short_name,params_numeric,dim,tier,dataset,ndcg_at_10,recall_at_10,mrr,source
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,ja_finance,46.96,68.25,40.38,own_eval
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,ja_law,8.9,17.57,6.31,own_eval
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,hi_finance,9.98,16.92,7.89,own_eval
intfloat/e5-small-v2,e5-small-v2,33000000,384,small,hi_law,5.01,9.91,3.55,own_eval
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,ja_finance,89.35,98.58,86.31,own_eval
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,ja_law,17.98,28.38,14.79,own_eval
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,hi_finance,70.74,76.31,68.9,own_eval
ibm-granite/granite-embedding-107m-multilingual,granite-107m,107000000,768,small,hi_law,43.4,58.25,38.77,own_eval
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,ja_finance,90.61,98.1,88.15,own_eval
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,ja_law,21.92,36.71,17.47,own_eval
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,hi_finance,75.49,80.92,73.7,own_eval
microsoft/harrier-oss-v1-0.6b,harrier-0.6b,596000000,1024,medium,hi_law,58.09,73.11,53.45,own_eval
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,ja_finance,96.33,100.0,95.1,own_eval
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,ja_law,24.61,39.19,20.22,own_eval
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,hi_finance,73.47,77.85,72.04,own_eval
jinaai/jina-embeddings-v5-text-nano,jina-v5-nano,212000000,1024,small,hi_law,58.77,73.11,54.24,own_eval
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,ja_finance,88.19,97.63,85.13,own_eval
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,ja_law,24.81,39.86,20.23,own_eval
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,hi_finance,75.95,80.0,74.63,own_eval
nvidia/llama-embed-nemotron-8b,nemotron-8b,7500000000,4096,xlarge,hi_law,41.92,58.02,36.97,own_eval
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,ja_finance,80.84,93.13,76.94,own_eval
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,ja_law,16.22,27.7,12.72,own_eval
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,hi_finance,69.4,75.38,67.51,own_eval
intfloat/multilingual-e5-base,ml-e5-base,278000000,768,medium,hi_law,52.98,68.87,48.03,own_eval
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,1024,medium,ja_finance,91.94,98.58,89.79,own_eval
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,1024,medium,ja_law,22.18,37.61,17.48,own_eval
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,1024,medium,hi_finance,75.09,77.54,74.29,own_eval
intfloat/multilingual-e5-large-instruct,ml-e5-large-i,560000000,1024,medium,hi_law,46.82,64.39,41.37,own_eval
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,ja_finance,88.64,98.1,85.53,own_eval
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,ja_law,25.01,38.51,20.82,own_eval
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,hi_finance,71.7,77.54,69.77,own_eval
intfloat/multilingual-e5-large,ml-e5-large,560000000,1024,medium,hi_law,56.67,70.75,52.24,own_eval
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,ja_finance,83.79,96.21,79.82,own_eval
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,ja_law,19.17,31.76,15.28,own_eval
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,hi_finance,71.17,77.85,69.04,own_eval
intfloat/multilingual-e5-small,ml-e5-small,118000000,384,small,hi_law,58.02,71.7,53.77,own_eval
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake-l-v2,568000000,1024,medium,ja_finance,75.33,88.63,71.1,own_eval
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake-l-v2,568000000,1024,medium,ja_law,12.02,21.85,8.97,own_eval
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake-l-v2,568000000,1024,medium,hi_finance,77.17,81.54,75.74,own_eval
Snowflake/snowflake-arctic-embed-l-v2.0,snowflake-l-v2,568000000,1024,medium,hi_law,44.77,63.21,39.15,own_eval
BM25,BM25,0,0,baseline,ja_finance,50.33,63.03,46.27,bm25_baseline
BM25,BM25,0,0,baseline,ja_law,30.96,47.07,26.05,bm25_baseline
BM25,BM25,0,0,baseline,hi_finance,92.31,96.62,90.93,bm25_baseline
BM25,BM25,0,0,baseline,hi_law,78.98,89.39,75.68,bm25_baseline
